"uns_male","n_chick"
"BlueCloud-18_uns1",3
"BlueCloud-18_uns2",1
"Boyer-02_uns1",4
"Boyer-09_uns1",1
"Cooks-02_uns1",5
"Cooks-04.2_uns1",2
"Cooks-04_uns1",2
"Cooks-15_uns1",1
"Cooks-29_uns1",4
"MakeBelieve-34_uns1",1
"MakeBelieve-74_uns1",2
"Speedwell-01_uns1",1
"UrbanFarm-05_uns1",4
"UrbanFarm-08_uns1",3
