band,site,nest,type,FamilyID,brood,mom_band,dad_band,nestling_num,seqID,Note
2850-57608,Urban Farm Girlz,4,mom,UrbanFarm-07,,,,,CO_57608,first brood (nest 4) fledged but was not banded
2850-57976,Urban Farm Girlz,4,dad,UrbanFarm-07,,,,,CO_57976,first brood (nest 4) fledged but was not banded
2881-33947,Urban Farm Girlz,7,kid,UrbanFarm-07,2,2850-57608,2850-57976,05-Jan,CO_33947,first brood (nest 4) fledged but was not banded
2881-33948,Urban Farm Girlz,7,kid,UrbanFarm-07,2,2850-57608,2850-57976,05-Feb,CO_33948,first brood (nest 4) fledged but was not banded
2881-33949,Urban Farm Girlz,7,kid,UrbanFarm-07,2,2850-57608,2850-57976,05-Mar,CO_33949,first brood (nest 4) fledged but was not banded
2881-33950,Urban Farm Girlz,7,kid,UrbanFarm-07,2,2850-57608,2850-57976,05-Apr,CO_33950,first brood (nest 4) fledged but was not banded
2881-33951,Urban Farm Girlz,7,kid,UrbanFarm-07,2,2850-57608,2850-57976,05-May,CO_33951,first brood (nest 4) fledged but was not banded
2811-83173,Urban Farm Girlz,8.2,kid,UrbanFarm-08,2,2850-57764,2850-57765,03-Jan,CO_83173,
2811-83174,Urban Farm Girlz,8.2,kid,UrbanFarm-08,2,2850-57764,2850-57765,03-Feb,CO_83174,
2811-83175,Urban Farm Girlz,8.2,kid,UrbanFarm-08,2,2850-57764,2850-57765,03-Mar,CO_83175,
