"building","n.male","n.female","clutch.per.site","sample.type"
"Blue Cloud main",7,4,"7","focal nests"
"Blue Cloud pony shed",1,1,"0","sires only"
"Boyer",5,6,"15","focal nests"
"CHR",32,0,"0","sires only"
"Cathys est",1,1,"2","focal nests"
"Cooks",7,6,"9","focal nests"
"Green Mill est",1,0,"0","sires only"
"Jays est",1,1,"2","focal nests"
"Karens est",1,1,"1","focal nests"
"Make Believe",6,6,"10","focal nests"
"Nixon est",1,1,"1","focal nests"
"Plumbumpy est",1,1,"1","focal nests"
"Quick est",1,0,"0","sires only"
"Red Wagon porch est",1,1,"1","focal nests"
"Speedwell est",1,1,"2","focal nests"
"Struthers main",2,2,"4","focal nests"
"Struthers round",1,1,"1","focal nests"
"Urban Farm Girlz Red Barn",1,1,"1","focal nests"
"Urban Farm Girlz Sheep Shed",2,2,"3","focal nests"
