"mom","site","nest","fert.start","fert.end","active.start","active.end","attempt","ci","BarnNest","dad","matID"
"2850-57746","CHR",6,2022-07-14,2022-07-24,2022-07-14,2022-08-25,2,2022-07-21,"CHR-6","2850-57582","CHR-6_2850-57746_2850-57582_2"
"2850-57846","CHR",52,2022-06-29,2022-07-09,2022-06-29,2022-08-10,2,2022-07-06,"CHR-52","2850-57742","CHR-52_2850-57846_2850-57742_2"
"2850-57853","Cooks",8,2022-06-25,2022-07-05,2022-06-25,2022-08-06,2,2022-07-02,"Cooks-8","2850-57638","Cooks-8_2850-57853_2850-57638_2"
"2850-57869","Blue Cloud",17,2022-06-29,2022-07-08,2022-06-29,2022-08-09,2,2022-07-06,"Blue Cloud-17","2850-57659","Blue Cloud-17_2850-57869_2850-57659_2"
"2850-57870","Blue Cloud",24,2022-06-15,2022-06-25,2022-06-15,2022-07-27,2,2022-06-22,"Blue Cloud-24","2850-57565","Blue Cloud-24_2850-57870_2850-57565_2"
"2850-57871","Blue Cloud",14,2022-06-20,2022-06-29,2022-06-20,2022-07-31,2,2022-06-27,"Blue Cloud-14","2850-57614","Blue Cloud-14_2850-57871_2850-57614_2"
"2850-57872","Make Believe",48,2022-07-12,2022-07-21,2022-07-12,2022-08-22,2,2022-07-19,"Make Believe-48","2850-57873","Make Believe-48_2850-57872_2850-57873_2"
"2850-57874","Make Believe",8,2022-07-09,2022-07-19,2022-07-09,2022-08-20,2,2022-07-16,"Make Believe-8","2850-57875","Make Believe-8_2850-57874_2850-57875_2"
"2850-57876","Make Believe",62,2022-07-07,2022-07-15,2022-07-07,2022-08-16,2,2022-07-14,"Make Believe-62","2850-57750","Make Believe-62_2850-57876_2850-57750_2"
"2850-57879","CHR",112,2022-07-22,2022-08-01,2022-07-22,2022-09-02,2,2022-07-29,"CHR-112","2850-57647","CHR-112_2850-57879_2850-57647_2"
"2850-57883","CHR",99,2022-07-19,2022-07-28,2022-07-19,2022-08-29,2,2022-07-26,"CHR-99","2850-57578","CHR-99_2850-57883_2850-57578_2"
"2850-57885","Blue Cloud",26,2022-07-02,2022-07-11,2022-07-02,2022-08-12,2,2022-07-09,"Blue Cloud-26","2870-64905","Blue Cloud-26_2850-57885_2870-64905_2"
"2870-64908","CHR",101,2022-08-03,2022-08-12,2022-08-03,2022-09-13,2,2022-08-10,"CHR-101","2850-57733","CHR-101_2870-64908_2850-57733_2"
"2870-65003","CHR",150,2022-07-22,2022-08-01,2022-07-22,2022-09-02,2,2022-07-29,"CHR-150","2850-57577","CHR-150_2870-65003_2850-57577_2"
"2640-97358","CHR",32,2022-08-04,2022-08-12,2022-08-04,2022-09-13,3,2022-08-11,"CHR-32","2850-57731","CHR-32_2640-97358_2850-57731_3"
"2850-57586","CHR",149,2022-07-17,2022-07-27,2022-07-17,2022-08-28,3,2022-07-24,"CHR-149","2850-57669","CHR-149_2850-57586_2850-57669_3"
"2850-57637","Cooks",22,2022-07-16,2022-07-25,2022-07-16,2022-08-26,3,2022-07-23,"Cooks-22","2850-57633","Cooks-22_2850-57637_2850-57633_3"
"2850-57667","Cathy's",2,2022-07-25,2022-08-03,2022-07-25,2022-09-04,3,2022-08-01,"Cathy's-2","2850-57666","Cathy's-2_2850-57667_2850-57666_3"
"2850-57741","Erica's",3,2022-07-17,2022-07-27,2022-07-17,2022-08-28,3,2022-07-24,"Erica's-3","2811-00632","Erica's-3_2850-57741_2811-00632_3"
