"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_82991",0.99,0.01,0,0.005,69680,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82991","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82992",0.981,0.019,0,0.01,65573,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82992","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82993",0.989,0.011,0,0.006,65962,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82993","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82996",0.987,0.012,0.001,0.007,65352,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82996","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_38691","CO_82999",0.99,0.008,0.002,0.006,66074,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82999","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_38691","CO_82961",0.12,0.822,0.059,0.47,67611,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82961","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_38691","CO_82998",0.989,0.011,0,0.005,67657,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82998","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_38691","CO_83001",0.975,0.015,0.009,0.017,65978,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83001","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_38691","CO_83005",0.978,0.013,0.009,0.016,64095,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83005","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_38691","CO_82997",0.984,0.016,0,0.008,65405,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82997","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_38691","CO_83003",0.984,0.014,0.002,0.009,67626,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83003","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_38691","CO_83000",0.988,0.012,0,0.006,71217,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83000","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_38691","CO_83004",0.97,0.03,0.001,0.015,64638,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83004","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2"
"CO_38691","CO_83002",0.98,0.02,0.001,0.01,68090,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83002","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_38691","CO_83008",0.985,0.015,0,0.008,65287,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83008","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_38691","CO_83006",0.97,0.03,0,0.015,67922,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83006","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2"
"CO_38691","CO_83011",0.989,0.011,0,0.006,79497,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83011","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_38691","CO_83009",0.986,0.014,0,0.007,71404,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83009","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_38691","CO_83010",0.988,0.012,0,0.006,70755,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83010","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_38691","CO_83012",0.983,0.016,0.001,0.009,73026,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83012","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_38691","CO_82962",0.148,0.789,0.063,0.458,61099,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82962","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_38691","CO_83013",0.992,0.008,0,0.004,76509,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83013","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2"
"CO_38691","CO_83014",0.987,0.011,0.001,0.007,66465,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83014","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2"
"CO_38691","CO_83023",0.99,0.009,0.001,0.005,62591,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83023","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_38691","CO_83024",0.99,0.009,0,0.005,71391,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83024","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_38691","CO_83015",0.992,0.008,0,0.004,64779,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83015","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2"
"CO_38691","CO_83016",0.987,0.012,0.001,0.007,61445,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83016","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2"
"CO_38691","CO_83025",0.99,0.01,0,0.005,69178,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83025","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_38691","CO_83017",0.989,0.011,0,0.005,58878,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83017","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2"
"CO_38691","CO_83026",0.963,0.036,0.001,0.019,63511,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83026","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_38691","CO_83027",0.978,0.02,0.001,0.012,62738,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83027","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_38691","CO_83028",0.954,0.044,0.002,0.024,65231,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83028","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_38691","CO_83047",0.985,0.014,0.001,0.008,60755,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83047","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_38691","CO_83049",0.991,0.009,0,0.005,77622,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83049","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_38691","CO_83048",0.988,0.012,0,0.006,64818,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83048","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_38691","CO_83050",0.988,0.012,0,0.006,69687,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83050","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_38691","CO_83204",0.991,0.009,0,0.005,68398,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83204","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_38691","CO_83219",0.989,0.01,0.001,0.006,70022,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83219","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2"
"CO_38691","CO_83201",0.985,0.015,0.001,0.008,57826,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83201","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_38691","CO_83203",0.986,0.013,0,0.007,72385,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83203","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_38691","CO_83202",0.989,0.011,0,0.006,63199,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83202","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_38691","CO_83220",0.989,0.01,0,0.006,63426,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83220","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2"
"CO_38691","CO_83218",0.988,0.012,0,0.006,60920,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83218","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2"
"CO_38691","CO_83221",0.984,0.016,0,0.008,67333,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83221","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2"
"CO_38691","CO_34131",0.992,0.007,0.001,0.005,64495,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2"
"CO_38691","CO_39033",0.992,0.004,0.004,0.006,69348,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39033","Cooks","kid","Cooks-24",6,"1","Cooks_6_1"
"CO_38691","CO_39031",0.993,0.004,0.003,0.005,54176,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39031","Cooks","kid","Cooks-24",6,"1","Cooks_6_1"
"CO_38691","CO_34130",0.985,0.015,0.001,0.008,70523,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2881-34130","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2"
"CO_38691","CO_34129",0.99,0.01,0,0.005,62812,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2881-34129","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2"
"CO_38691","CO_39032",0.989,0.01,0,0.005,64614,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39032","Cooks","kid","Cooks-24",6,"1","Cooks_6_1"
"CO_38691","CO_39038",0.988,0.012,0,0.006,63707,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39038","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1"
"CO_38691","CO_39040",0.99,0.01,0,0.005,66825,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39040","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1"
"CO_38691","CO_39039",0.985,0.015,0,0.008,63080,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39039","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1"
"CO_38691","CO_39041",0.989,0.011,0,0.006,66255,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39041","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1"
"CO_38691","CO_39045",0.987,0.013,0,0.007,60578,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39045","Cooks","kid","Cooks-24",6,"1","Cooks_6_1"
"CO_38691","CO_82963",0.989,0.01,0.001,0.006,66100,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82963","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_38691","CO_82964",0.986,0.012,0.002,0.008,68108,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82964","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_38691","CO_82966",0.977,0.021,0.002,0.013,58654,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82966","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_38691","CO_82967",0.975,0.025,0.001,0.013,63800,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82967","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_38691","CO_82970",0.979,0.018,0.003,0.012,59678,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82970","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_38691","CO_82969",0.978,0.021,0.001,0.012,59363,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82969","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_38691","CO_82965",0.983,0.016,0,0.008,62689,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82965","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_38691","CO_82971",0.983,0.016,0.001,0.009,61150,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82971","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_38691","CO_82973",0.985,0.015,0,0.008,57495,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82973","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_38691","CO_82972",0.982,0.018,0,0.009,63385,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82972","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_38691","CO_82975",0.987,0.013,0,0.006,61286,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82975","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_38691","CO_82979",0.988,0.001,0.011,0.011,58205,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82979","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_38691","CO_82977",0.981,0.018,0,0.009,61572,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_38691","CO_82974",0.985,0.015,0.001,0.008,57046,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82974","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_38691","CO_82976",0.991,0.009,0,0.005,56698,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82976","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_38691","CO_82980",0.986,0.01,0.004,0.009,58688,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82980","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_38691","CO_82982",0.988,0.007,0.004,0.008,61734,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82982","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_38691","CO_82978",0.983,0.016,0,0.008,59418,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82978","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_38691","CO_82981",0.984,0.016,0,0.008,62514,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82981","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_38691","CO_82983",0.989,0.01,0.001,0.006,63027,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82983","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_38691","CO_82985",0.979,0.019,0.003,0.012,61055,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82985","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_38691","CO_82986",0.974,0.023,0.004,0.015,57723,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82986","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_38691","CO_82987",0.98,0.018,0.001,0.01,57645,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82987","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_38691","CO_82989",0.975,0.02,0.005,0.015,60396,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82989","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_38691","CO_82984",0.974,0.025,0.001,0.014,53794,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82984","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_38691","CO_82988",0.98,0.02,0,0.01,63572,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_38691","CO_83018",0.986,0.013,0,0.007,56282,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83018","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_38691","CO_83029",0.986,0.007,0.008,0.011,60491,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83029","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_38691","CO_82990",0.982,0.017,0.001,0.009,69756,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_38691","CO_83019",0.985,0.015,0,0.008,56865,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83019","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
