"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_57853",0.99,0.01,0,0.005,52570,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2850-57853","Cooks","mom","Cooks-27",NA,NA,NA
"CO_34131","CO_63488",0.994,0.006,0.001,0.003,61360,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2510-63488","Make Believe","dad","MakeBelieve-17",NA,NA,NA
"CO_34131","CO_57912",0.987,0.012,0.001,0.007,58582,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2850-57912","Cooks","dad","Cooks-27",NA,NA,NA
"CO_34131","CO_57901",0.99,0.01,0,0.005,52915,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2850-57901","Blue Cloud","dad","BlueCloud-09",NA,NA,NA
"CO_34131","CO_57917",0.987,0.012,0.001,0.007,51198,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2850-57917","Alishas","dad","none",NA,NA,NA
"CO_34131","CO_82963",0.993,0.006,0.001,0.004,60585,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82963","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_34131","CO_82964",0.993,0.007,0,0.004,62470,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82964","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_34131","CO_57915",0.988,0.011,0,0.006,52181,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2850-57915","Alishas","dad","none",NA,NA,NA
"CO_34131","CO_82969",0.99,0.005,0.006,0.008,54447,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82969","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_34131","CO_82965",0.994,0.002,0.004,0.005,57480,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82965","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_34131","CO_82967",0.994,0.006,0,0.003,58490,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82967","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_34131","CO_82916",0.989,0.01,0.001,0.006,53813,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82916","Make Believe","dad","MakeBelieve-61",NA,NA,NA
"CO_34131","CO_82970",0.99,0.007,0.003,0.007,54630,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82970","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_34131","CO_82966",0.993,0.007,0,0.003,53714,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82966","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1"
"CO_34131","CO_82972",0.988,0.006,0.006,0.009,58150,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82972","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_34131","CO_82975",0.992,0.007,0.002,0.005,56235,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82975","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_34131","CO_82977",0.989,0.009,0.002,0.006,56461,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_34131","CO_82974",0.993,0.007,0,0.004,52361,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82974","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_34131","CO_82971",0.991,0.009,0,0.005,56124,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82971","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_34131","CO_82976",0.993,0.006,0,0.003,51956,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82976","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_34131","CO_82973",0.991,0.009,0,0.005,52737,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82973","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_34131","CO_82978",0.982,0.01,0.008,0.013,54389,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82978","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_34131","CO_82980",0.989,0.009,0.002,0.007,53818,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82980","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_34131","CO_82979",0.991,0.008,0.001,0.005,53393,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82979","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
