"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_39152",0.991,0.009,0,0.005,62410,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39152","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
"CO_38691","CO_39029",0.979,0.02,0.001,0.011,57408,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39029","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2"
"CO_38691","CO_39156",0.984,0.015,0,0.008,73076,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39156","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39030",0.982,0.017,0.002,0.01,66812,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39030","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2"
"CO_38691","CO_39157",0.986,0.014,0,0.007,63940,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39157","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39042",0.988,0.012,0,0.006,67897,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39042","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39044",0.989,0.011,0,0.006,65283,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39044","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39154",0.985,0.014,0,0.007,64815,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39154","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
"CO_38691","CO_39155",0.986,0.014,0,0.007,63990,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39155","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39153",0.987,0.013,0,0.007,64431,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39153","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
