"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_57611","CO_83001",0.213,0.676,0.111,0.449,63162,"2850-57611","Schaaps","mom","Schaaps-71",NA,"","","2811-83001","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_57611","CO_83002",0.184,0.761,0.056,0.436,65248,"2850-57611","Schaaps","mom","Schaaps-71",NA,"","","2811-83002","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_57611","CO_83005",0.202,0.728,0.07,0.434,61340,"2850-57611","Schaaps","mom","Schaaps-71",NA,"","","2811-83005","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_57611","CO_83003",0.169,0.776,0.054,0.442,64880,"2850-57611","Schaaps","mom","Schaaps-71",NA,"","","2811-83003","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2"
"CO_57613","CO_82991",0.161,0.777,0.062,0.451,69664,"2850-57613","Blue Cloud","mom","BlueCloud-19",NA,"","","2811-82991","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_57613","CO_82993",0.158,0.787,0.055,0.449,65950,"2850-57613","Blue Cloud","mom","BlueCloud-19",NA,"","","2811-82993","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_57613","CO_82992",0.161,0.77,0.069,0.454,65608,"2850-57613","Blue Cloud","mom","BlueCloud-19",NA,"","","2811-82992","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_57613","CO_82994",0.158,0.786,0.056,0.449,67674,"2850-57613","Blue Cloud","mom","BlueCloud-19",NA,"","","2811-82994","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_57635","CO_83049",0.115,0.86,0.025,0.455,69032,"2850-57635","Make Believe","mom","MakeBelieve-17",NA,"","","2811-83049","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_57635","CO_83048",0.166,0.777,0.057,0.446,57690,"2850-57635","Make Believe","mom","MakeBelieve-17",NA,"","","2811-83048","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_57635","CO_83050",0.179,0.754,0.067,0.444,62000,"2850-57635","Make Believe","mom","MakeBelieve-17",NA,"","","2811-83050","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_57635","CO_83047",0.189,0.721,0.09,0.451,54042,"2850-57635","Make Believe","mom","MakeBelieve-17",NA,"","","2811-83047","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2"
"CO_57854","CO_83024",0.158,0.785,0.057,0.45,58413,"2850-57854","Cooks","mom","Cooks-18",NA,"","","2811-83024","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_57854","CO_83023",0.192,0.739,0.069,0.439,51227,"2850-57854","Cooks","mom","Cooks-18",NA,"","","2811-83023","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_57854","CO_83025",0.195,0.703,0.102,0.453,56598,"2850-57854","Cooks","mom","Cooks-18",NA,"","","2811-83025","Cooks","kid","Cooks-18",1,"2","Cooks_1_2"
"CO_57904","CO_82996",0.159,0.795,0.047,0.444,54919,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-82996","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57904","CO_82998",0.183,0.736,0.08,0.449,56792,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-82998","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57904","CO_82997",0.164,0.776,0.06,0.448,54922,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-82997","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57904","CO_82999",0.199,0.73,0.07,0.436,55439,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-82999","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57904","CO_83000",0.154,0.783,0.063,0.455,59703,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-83000","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57904","CO_83202",0.228,0.675,0.097,0.435,52944,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-83202","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57904","CO_83203",0.155,0.785,0.06,0.452,60712,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-83203","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57904","CO_83201",0.24,0.642,0.118,0.439,48555,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-83201","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57904","CO_83204",0.152,0.789,0.059,0.453,57391,"2850-57904","Schaaps","mom","Schaaps-67",NA,"","","2811-83204","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57905","CO_83004",0.17,0.747,0.083,0.456,58718,"2850-57905","Schaaps","mom","Schaaps-24",NA,"","","2811-83004","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2"
"CO_57905","CO_83006",0.186,0.728,0.086,0.45,61671,"2850-57905","Schaaps","mom","Schaaps-24",NA,"","","2811-83006","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2"
"CO_06912","CO_82988",0.294,0.587,0.119,0.412,57290,"2811-06912","Schaaps","dad","Schaaps-54",NA,NA,NA,"2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_06912","CO_82990",0.26,0.619,0.121,0.43,62959,"2811-06912","Schaaps","dad","Schaaps-54",NA,NA,NA,"2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_57505","CO_82970",0.326,0.568,0.106,0.39,57952,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-82970","Cooks","kid","Cooks-23",22,"1","Cooks_22_1"
"CO_57505","CO_83018",0.33,0.552,0.118,0.394,54527,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-83018","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_57505","CO_83020",0.387,0.457,0.156,0.385,50823,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-83020","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_57505","CO_82977",0.304,0.577,0.119,0.408,59602,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_57505","CO_83022",0.336,0.532,0.132,0.398,55870,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-83022","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_57505","CO_83019",0.348,0.509,0.143,0.397,55065,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"2811-83019","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_57505","CO_E17",0.33,0.553,0.118,0.394,58761,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E17","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_57505","CO_E16",0.265,0.654,0.082,0.408,70721,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E16","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_57505","CO_E19",0.291,0.617,0.092,0.401,65211,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E19","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
