"dist","near_rank","BarnName_1","BarnName_2"
4822.171759,27,"Blue Cloud Middle Shed","Martes est"
4895.888307,28,"Blue Cloud Middle Shed","Ericas"
5288.067559,29,"Blue Cloud Middle Shed","Dome House est"
5299.365942,30,"Blue Cloud Middle Shed","Quick est"
5366.224006,31,"Blue Cloud Middle Shed","Urban Farm Girlz Sheep Shed"
5405.816766,32,"Blue Cloud Middle Shed","Urban Farm Girlz Red Barn"
5442.881442,33,"Blue Cloud Middle Shed","Urban Farm Girls Chicken coop"
5861.833044,34,"Blue Cloud Middle Shed","Grizz est"
6218.216346,35,"Blue Cloud Middle Shed","James Ditch est"
6335.802989,36,"Blue Cloud Middle Shed","Schaaps"
7534.498162,37,"Blue Cloud Middle Shed","Cargill est"
8126.824831,38,"Blue Cloud Middle Shed","Hepp awning"
8131.940467,39,"Blue Cloud Middle Shed","Cooks"
8588.558352,40,"Blue Cloud Middle Shed","Reinarz Garage est"
8623.5855,41,"Blue Cloud Middle Shed","Reinarz shed est"
8774.645289,42,"Blue Cloud Middle Shed","Alishas est"
9130.390141,43,"Blue Cloud Middle Shed","Sol y Sombra est"
52.87267263,1,"Blue Cloud wash room","Blue Cloud Middle Shed"
62.45916201,2,"Blue Cloud wash room","Blue Cloud pony shed"
86.33132477,3,"Blue Cloud wash room","Blue Cloud Gazebo"
116.1169953,4,"Blue Cloud wash room","Blue Cloud main"
310.2362909,5,"Blue Cloud wash room","Nixon est"
899.1529676,6,"Blue Cloud wash room","Green Mill est"
914.42837,7,"Blue Cloud wash room","Jays est"
1040.971462,8,"Blue Cloud wash room","Starlight est"
1193.685977,9,"Blue Cloud wash room","Struthers back shed"
1226.390882,10,"Blue Cloud wash room","Struthers main"
1265.919094,11,"Blue Cloud wash room","Struthers round"
1383.613594,12,"Blue Cloud wash room","McCauley est"
2194.076336,13,"Blue Cloud wash room","Jims Green Barn est"
2281.62597,14,"Blue Cloud wash room","Speedwell est"
3111.68969,15,"Blue Cloud wash room","Mayas est"
3132.210005,16,"Blue Cloud wash room","Red Wagon porch est"
3661.800532,17,"Blue Cloud wash room","Karens est"
3784.462198,18,"Blue Cloud wash room","Make Believe"
3824.134193,19,"Blue Cloud wash room","Make Believe Shed"
4042.916177,20,"Blue Cloud wash room","CHR"
