"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_E03","2850-57615_2850-57608","E03","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected",0.336,0.531,0.133,0.398,58785,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.277,0.621,0.102,0.412,65117,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_E01","2850-57615_2850-57608","E01","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected",0.348,0.503,0.149,0.4,49987,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.276,0.617,0.107,0.416,55498,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_E04","2850-57615_2850-57608","E04","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected",0.364,0.472,0.164,0.4,54041,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.305,0.588,0.107,0.401,59988,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_E02","2850-57615_2850-57608","E02","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected",0.37,0.482,0.148,0.389,54563,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.309,0.559,0.132,0.412,60486,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_82979","2850-57614_2850-57610","2811-82979","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2",0.366,0.492,0.142,0.388,53627,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.41,0.364,0.226,0.408,40942,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_82983","2850-57614_2850-57610","2811-82983","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2",0.336,0.525,0.139,0.401,58166,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.418,0.37,0.212,0.397,44430,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_82980","2850-57614_2850-57610","2811-82980","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2",0.387,0.436,0.177,0.395,54194,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.499,0.236,0.265,0.383,41395,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_82981","2850-57614_2850-57610","2811-82981","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2",0.361,0.494,0.145,0.392,57730,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.41,0.37,0.219,0.404,44062,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_82982","2850-57614_2850-57610","2811-82982","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2",0.379,0.458,0.163,0.392,56987,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.361,0.468,0.171,0.405,43612,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_E51","2850-57614_2850-57610","E51","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected",0.33,0.532,0.139,0.405,62837,"2850-57614","Blue Cloud","dad","BlueCloud-14",0.366,0.488,0.145,0.39,48028,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_83406","2850-57901_2850-57612","2811-83406","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1",0.292,0.58,0.128,0.418,55018,"2850-57901","Blue Cloud","dad","BlueCloud-09",0.293,0.599,0.108,0.407,65205,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_83404","2850-57901_2850-57612","2811-83404","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1",0.325,0.527,0.148,0.411,53864,"2850-57901","Blue Cloud","dad","BlueCloud-09",0.314,0.576,0.11,0.398,63823,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_83205","2850-57836_2640-97347","2811-83205","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1",0.288,0.622,0.09,0.401,62929,"2850-57836","Make Believe","dad","MakeBelieve-26",0.292,0.593,0.114,0.411,62498,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_83209","2850-57836_2640-97347","2811-83209","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1",0.281,0.618,0.101,0.41,66149,"2850-57836","Make Believe","dad","MakeBelieve-26",0.249,0.696,0.054,0.403,65720,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_E05","2850-57836_2640-97347","E05","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected",0.31,0.569,0.121,0.405,59838,"2850-57836","Make Believe","dad","MakeBelieve-26",0.326,0.562,0.111,0.392,59460,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_E07","2850-57836_2640-97347","E07","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected",0.309,0.595,0.096,0.394,65750,"2850-57836","Make Believe","dad","MakeBelieve-26",0.298,0.606,0.096,0.399,65195,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_E09","2850-57836_2640-97347","E09","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected",0.362,0.508,0.131,0.385,56541,"2850-57836","Make Believe","dad","MakeBelieve-26",0.368,0.464,0.169,0.4,56086,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_E08","2850-57836_2640-97347","E08","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected",0.339,0.552,0.109,0.385,60582,"2850-57836","Make Believe","dad","MakeBelieve-26",0.296,0.597,0.106,0.405,60062,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_E06","2850-57836_2640-97347","E06","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected",0.371,0.476,0.152,0.391,56612,"2850-57836","Make Believe","dad","MakeBelieve-26",0.332,0.531,0.137,0.403,56095,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_83215","2850-57912_2850-57853","2811-83215","Cooks","kid","Cooks-27",29,"2","Cooks_29_2",0.274,0.604,0.122,0.424,54964,"2850-57912","Cooks","dad","Cooks-27",0.282,0.597,0.12,0.419,49357,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_83041","2510-63488_2640-97596","2811-83041","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2",0.266,0.627,0.107,0.421,59837,"2510-63488","Make Believe","dad","MakeBelieve-17",0.288,0.582,0.131,0.421,56138,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_83042","2510-63488_2640-97596","2811-83042","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2",0.256,0.664,0.079,0.411,63526,"2510-63488","Make Believe","dad","MakeBelieve-17",0.283,0.603,0.115,0.416,59636,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_E23","2850-57518_2640-97385","E23","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected",0.336,0.525,0.139,0.401,55150,"2850-57518","Make Believe","dad","MakeBelieve-69",0.325,0.529,0.146,0.411,56801,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_E20","2850-57518_2640-97385","E20","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected",0.308,0.57,0.122,0.407,52462,"2850-57518","Make Believe","dad","MakeBelieve-69",0.299,0.584,0.117,0.409,54041,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_E22","2850-57518_2640-97385","E22","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected",0.293,0.59,0.117,0.412,57639,"2850-57518","Make Believe","dad","MakeBelieve-69",0.288,0.612,0.101,0.406,59381,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_E21","2850-57518_2640-97385","E21","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected",0.342,0.506,0.152,0.405,58279,"2850-57518","Make Believe","dad","MakeBelieve-69",0.297,0.577,0.126,0.414,59919,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_E24","2850-57518_2640-97385","E24","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected",0.312,0.569,0.119,0.404,57115,"2850-57518","Make Believe","dad","MakeBelieve-69",0.333,0.517,0.149,0.408,58836,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_39029","2850-57546_2850-57559","2811-39029","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2",0.212,0.682,0.106,0.447,49125,"2850-57546","Schaaps","dad","Schaaps-98",0.183,0.717,0.1,0.459,56888,"2850-57559","Schaaps","mom","Schaaps-98","medium"
"CO_39030","2850-57546_2850-57559","2811-39030","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2",0.135,0.819,0.046,0.456,57312,"2850-57546","Schaaps","dad","Schaaps-98",0.157,0.755,0.088,0.466,66155,"2850-57559","Schaaps","mom","Schaaps-98","medium"
"CO_39043","2850-57615_2850-57608","2811-39043","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1",0.24,0.678,0.082,0.421,56473,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.235,0.696,0.069,0.417,62469,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_39050","2850-57615_2850-57608","2811-39050","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1",0.25,0.683,0.067,0.408,53862,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.248,0.657,0.095,0.423,59720,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_39152","2850-57701_2850-57604","2811-39152","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1",0.293,0.576,0.131,0.419,52428,"2850-57701","Schaaps","dad","Schaaps-110",0.191,0.745,0.063,0.436,57577,"2850-57604","Schaaps","mom","Schaaps-110","medium"
"CO_39153","2850-57701_2850-57604","2811-39153","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1",0.28,0.627,0.093,0.407,54170,"2850-57701","Schaaps","dad","Schaaps-110",0.198,0.727,0.075,0.438,59443,"2850-57604","Schaaps","mom","Schaaps-110","medium"
"CO_39154","2850-57701_2850-57604","2811-39154","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1",0.284,0.618,0.098,0.407,54431,"2850-57701","Schaaps","dad","Schaaps-110",0.161,0.774,0.065,0.452,59815,"2850-57604","Schaaps","mom","Schaaps-110","medium"
"CO_39155","2850-57563_2850-57561","2811-39155","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1",0.163,0.783,0.054,0.445,69671,"2850-57563","Schaaps","dad","Schaaps-74",0.218,0.7,0.082,0.432,58986,"2850-57561","Schaaps","mom","Schaaps-74","medium"
"CO_39156","2850-57563_2850-57561","2811-39156","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1",0.146,0.816,0.038,0.446,79656,"2850-57563","Schaaps","dad","Schaaps-74",0.142,0.816,0.042,0.45,67322,"2850-57561","Schaaps","mom","Schaaps-74","medium"
"CO_39157","2850-57563_2850-57561","2811-39157","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1",0.161,0.805,0.034,0.437,69671,"2850-57563","Schaaps","dad","Schaaps-74",0.177,0.77,0.053,0.438,58876,"2850-57561","Schaaps","mom","Schaaps-74","medium"
"CO_39158","2850-57606_2850-57611","2811-39158","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1",0.176,0.757,0.067,0.445,55693,"2850-57606","Schaaps","dad","Schaaps-71",0.198,0.725,0.077,0.44,62642,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_39159","2850-57606_2850-57611","2811-39159","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1",0.189,0.716,0.094,0.452,55357,"2850-57606","Schaaps","dad","Schaaps-71",0.193,0.72,0.087,0.447,62228,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_39177","2850-57606_2850-57611","2811-39177","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1",0.182,0.71,0.108,0.463,50968,"2850-57606","Schaaps","dad","Schaaps-71",0.196,0.718,0.086,0.445,57241,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_39184","2850-57624_2850-57617","2811-39184","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1",0.24,0.68,0.081,0.421,67708,"2850-57624","Urban Farm Girlz","dad","UrbanFarm-04",0.119,0.835,0.046,0.464,77009,"2850-57617","Urban Farm Girlz","mom","UrbanFarm-04","small"
"CO_39185","2850-57624_2850-57617","2811-39185","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1",0.243,0.655,0.102,0.429,64297,"2850-57624","Urban Farm Girlz","dad","UrbanFarm-04",0.128,0.82,0.052,0.462,73127,"2850-57617","Urban Farm Girlz","mom","UrbanFarm-04","small"
"CO_39186","2850-57624_2850-57617","2811-39186","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1",0.259,0.626,0.115,0.428,59323,"2850-57624","Urban Farm Girlz","dad","UrbanFarm-04",0.135,0.825,0.04,0.453,67453,"2850-57617","Urban Farm Girlz","mom","UrbanFarm-04","small"
"CO_39187","2850-57563_2850-57905","2811-39187","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1",0.151,0.8,0.048,0.449,67094,"2850-57563","Schaaps","dad","Schaaps-74",0.126,0.825,0.05,0.462,56029,"2850-57905","Schaaps","mom","Schaaps-24","medium"
"CO_39188","2850-57554_2850-57905","2811-39188","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1",0.141,0.808,0.052,0.456,69325,"2850-57554","Schaaps","dad","Schaaps-24",0.149,0.795,0.057,0.454,65137,"2850-57905","Schaaps","mom","Schaaps-24","medium"
"CO_39189","2850-57563_2850-57905","2811-39189","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1",0.168,0.775,0.057,0.445,71057,"2850-57563","Schaaps","dad","Schaaps-74",0.179,0.725,0.096,0.458,59345,"2850-57905","Schaaps","mom","Schaaps-24","medium"
"CO_39190","2850-57602_2850-57854","2811-39190","Cooks","kid","Cooks-18",18,"1","Cooks_18_1",0.203,0.74,0.057,0.427,68416,"2850-57602","Cooks","dad","Cooks-18",0.192,0.74,0.068,0.438,58404,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_39191","2850-57602_2850-57854","2811-39191","Cooks","kid","Cooks-18",18,"1","Cooks_18_1",0.181,0.761,0.058,0.439,65369,"2850-57602","Cooks","dad","Cooks-18",0.165,0.761,0.073,0.454,55649,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_39192","2850-57602_2850-57854","2811-39192","Cooks","kid","Cooks-18",18,"1","Cooks_18_1",0.229,0.705,0.065,0.418,63435,"2850-57602","Cooks","dad","Cooks-18",0.176,0.737,0.088,0.456,54079,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_39193","2850-57602_2850-57854","2811-39193","Cooks","kid","Cooks-18",18,"1","Cooks_18_1",0.229,0.704,0.067,0.419,64661,"2850-57602","Cooks","dad","Cooks-18",0.163,0.752,0.085,0.461,55049,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_39198","2850-57538_2850-57611","2811-39198","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1",0.035,0.728,0.237,0.601,57017,"2850-57538","Schaaps","dad","Schaaps-80",0.403,0.565,0.032,0.315,65993,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_83013","2850-57615_2850-57608","2811-83013","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2",0.214,0.732,0.054,0.42,67286,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.194,0.766,0.04,0.423,74637,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_83015","2850-57615_2850-57608","2811-83015","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2",0.264,0.622,0.115,0.425,56944,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.239,0.671,0.091,0.426,63256,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_83017","2850-57615_2850-57608","2811-83017","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2",0.275,0.639,0.086,0.406,51860,"2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",0.216,0.722,0.062,0.423,57452,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_34129","2850-57836_2640-97347","2881-34129","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2",0.343,0.53,0.126,0.392,60041,"2850-57836","Make Believe","dad","MakeBelieve-26",0.276,0.623,0.101,0.412,59562,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_34130","2850-57836_2640-97347","2881-34130","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2",0.301,0.603,0.095,0.397,67280,"2850-57836","Make Believe","dad","MakeBelieve-26",0.241,0.682,0.077,0.418,66906,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_34131","2850-57836_2640-97347","2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2",0.321,0.56,0.119,0.399,61666,"2850-57836","Make Believe","dad","MakeBelieve-26",0.314,0.58,0.106,0.396,61184,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_39031","2850-57557_2850-57609","2811-39031","Cooks","kid","Cooks-24",6,"1","Cooks_6_1",0.381,0.431,0.188,0.404,48523,"2850-57557","Cooks","dad","Cooks-24",0.371,0.449,0.18,0.404,46847,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_39032","2850-57557_2850-57609","2811-39032","Cooks","kid","Cooks-24",6,"1","Cooks_6_1",0.322,0.545,0.133,0.405,57814,"2850-57557","Cooks","dad","Cooks-24",0.346,0.515,0.139,0.397,55853,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_39033","2850-57557_2850-57609","2811-39033","Cooks","kid","Cooks-24",6,"1","Cooks_6_1",0.287,0.603,0.11,0.411,62094,"2850-57557","Cooks","dad","Cooks-24",0.293,0.598,0.109,0.408,59916,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_39038","2850-57538_2850-57556","2811-39038","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1",0.27,0.635,0.095,0.413,52823,"2850-57538","Schaaps","dad","Schaaps-80",0.292,0.593,0.115,0.411,62283,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_39039","2850-57538_2850-57556","2811-39039","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1",0.318,0.515,0.167,0.425,52205,"2850-57538","Schaaps","dad","Schaaps-80",0.315,0.563,0.123,0.404,61632,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_39040","2850-57538_2850-57556","2811-39040","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1",0.308,0.579,0.113,0.403,55362,"2850-57538","Schaaps","dad","Schaaps-80",0.274,0.646,0.08,0.403,65336,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_39041","2850-57538_2850-57556","2811-39041","Schaaps","kid","Schaaps-80",59,"1","Schaaps_59_1",0.315,0.568,0.117,0.401,54988,"2850-57538","Schaaps","dad","Schaaps-80",0.274,0.636,0.09,0.408,64754,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_39045","2850-57557_2850-57609","2811-39045","Cooks","kid","Cooks-24",6,"1","Cooks_6_1",0.319,0.537,0.144,0.413,54375,"2850-57557","Cooks","dad","Cooks-24",0.323,0.57,0.108,0.393,52440,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_82963","2350-21085_2640-97596","2811-82963","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1",0.332,0.53,0.137,0.403,57925,"2350-21085","Make Believe","dad","MakeBelieve-20",0.293,0.57,0.137,0.422,58911,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_82964","2350-21085_2640-97596","2811-82964","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1",0.304,0.567,0.129,0.412,59821,"2350-21085","Make Believe","dad","MakeBelieve-20",0.283,0.621,0.097,0.407,60778,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_82965","2350-21085_2640-97596","2811-82965","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1",0.338,0.509,0.153,0.407,55061,"2350-21085","Make Believe","dad","MakeBelieve-20",0.312,0.559,0.13,0.409,55886,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_82966","2350-21085_2640-97596","2811-82966","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1",0.365,0.47,0.165,0.4,51472,"2350-21085","Make Believe","dad","MakeBelieve-20",0.341,0.505,0.154,0.406,52306,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_82967","2350-21085_2640-97596","2811-82967","Make Believe","kid","MakeBelieve-20",70,"1","Make Believe_70_1",0.316,0.549,0.135,0.409,55995,"2350-21085","Make Believe","dad","MakeBelieve-20",0.283,0.615,0.101,0.409,56884,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_83033","2850-57557_2850-57609","2811-83033","Cooks","kid","Cooks-24",33,"2","Cooks_33_2",0.359,0.5,0.142,0.391,52889,"2850-57557","Cooks","dad","Cooks-24",0.397,0.424,0.179,0.391,51080,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_83034","2850-57557_2850-57609","2811-83034","Cooks","kid","Cooks-24",33,"2","Cooks_33_2",0.384,0.435,0.182,0.399,52914,"2850-57557","Cooks","dad","Cooks-24",0.401,0.46,0.139,0.369,51069,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_83035","2850-57557_2850-57609","2811-83035","Cooks","kid","Cooks-24",33,"2","Cooks_33_2",0.381,0.442,0.176,0.398,53890,"2850-57557","Cooks","dad","Cooks-24",0.364,0.508,0.128,0.382,52063,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_83036","2850-57557_2850-57609","2811-83036","Cooks","kid","Cooks-24",33,"2","Cooks_33_2",0.267,0.619,0.114,0.423,61950,"2850-57557","Cooks","dad","Cooks-24",0.283,0.628,0.089,0.403,59757,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_83037","2850-57552_2850-57551","2811-83037","Struthers","kid","Struthers-20",10,"2","Struthers_10_2",0.323,0.563,0.114,0.396,65998,"2850-57552","Struthers","dad","Struthers-20",0.306,0.613,0.08,0.387,61784,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83038","2850-57552_2850-57551","2811-83038","Struthers","kid","Struthers-20",10,"2","Struthers_10_2",0.329,0.559,0.112,0.391,61798,"2850-57552","Struthers","dad","Struthers-20",0.338,0.521,0.14,0.401,57734,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83039","2850-57552_2850-57551","2811-83039","Struthers","kid","Struthers-20",10,"2","Struthers_10_2",0.312,0.607,0.081,0.384,61030,"2850-57552","Struthers","dad","Struthers-20",0.341,0.538,0.121,0.39,57198,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83040","2850-57552_2850-57551","2811-83040","Struthers","kid","Struthers-20",10,"2","Struthers_10_2",0.326,0.577,0.097,0.386,65462,"2850-57552","Struthers","dad","Struthers-20",0.328,0.566,0.106,0.389,61340,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83043","2850-57518_2640-97596","2811-83043","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2",0.317,0.57,0.113,0.398,59974,"2850-57518","Make Believe","dad","MakeBelieve-69",0.287,0.607,0.106,0.409,60143,"2640-97596","Make Believe","mom","MakeBelieve-20","medium"
"CO_83206","2850-57518_2640-97347","2811-83206","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1",0.266,0.635,0.099,0.416,62459,"2850-57518","Make Believe","dad","MakeBelieve-69",0.281,0.623,0.096,0.408,66774,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_83207","2850-57518_2640-97347","2811-83207","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1",0.339,0.501,0.16,0.41,47946,"2850-57518","Make Believe","dad","MakeBelieve-69",0.361,0.469,0.17,0.404,51093,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_83208","2850-57518_2640-97347","2811-83208","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1",0.273,0.632,0.095,0.411,58043,"2850-57518","Make Believe","dad","MakeBelieve-69",0.255,0.652,0.093,0.419,62041,"2640-97347","Make Believe","mom","MakeBelieve-26","medium"
"CO_83210","2640-97548_2850-57551","2811-83210","Struthers","kid","Struthers-20",20,"1","Struthers_20_1",0.305,0.604,0.091,0.393,62508,"2640-97548","Blue Cloud","dad","BlueCloud-18",0.346,0.55,0.105,0.379,58173,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83211","2640-97548_2850-57551","2811-83211","Struthers","kid","Struthers-20",20,"1","Struthers_20_1",0.314,0.595,0.091,0.389,64254,"2640-97548","Blue Cloud","dad","BlueCloud-18",0.312,0.587,0.102,0.395,59799,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83212","2850-57552_2850-57551","2811-83212","Struthers","kid","Struthers-20",20,"1","Struthers_20_1",0.335,0.574,0.091,0.378,67124,"2850-57552","Struthers","dad","Struthers-20",0.327,0.57,0.103,0.388,62845,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83213","2850-57552_2850-57551","2811-83213","Struthers","kid","Struthers-20",20,"1","Struthers_20_1",0.358,0.505,0.137,0.39,59524,"2850-57552","Struthers","dad","Struthers-20",0.348,0.546,0.105,0.378,55658,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_83401","2640-97548_2640-97385","2811-83401","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1",0.292,0.586,0.122,0.415,63729,"2640-97548","Blue Cloud","dad","BlueCloud-18",0.258,0.65,0.092,0.417,59803,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_83402","2640-97548_2640-97385","2811-83402","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1",0.338,0.536,0.127,0.395,60510,"2640-97548","Blue Cloud","dad","BlueCloud-18",0.252,0.665,0.083,0.416,56871,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_83403","2640-97548_2640-97385","2811-83403","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1",0.32,0.561,0.118,0.399,64754,"2640-97548","Blue Cloud","dad","BlueCloud-18",0.292,0.584,0.124,0.416,60738,"2640-97385","Make Believe","mom","MakeBelieve-69","medium"
"CO_E43","2850-57552_2850-57551","E43","Struthers","egg","Struthers-20",20,"collected","Struthers-20_collected",0.341,0.563,0.096,0.377,64353,"2850-57552","Struthers","dad","Struthers-20",0.36,0.524,0.116,0.378,60203,"2850-57551","Struthers","mom","Struthers-20","small"
