"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_83221","2850-57701_2850-57604","2811-83221","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2",0.273,0.648,0.079,0.403,56575,"2850-57701","Schaaps","dad","Schaaps-110",0.188,0.739,0.073,0.443,62103,"2850-57604","Schaaps","mom","Schaaps-110","medium"
"CO_83218","2850-57701_2850-57604","2811-83218","Schaaps","kid","Schaaps-110",64,"2","Schaaps_64_2",0.316,0.526,0.157,0.42,51236,"2850-57701","Schaaps","dad","Schaaps-110",0.216,0.704,0.08,0.432,56189,"2850-57604","Schaaps","mom","Schaaps-110","medium"
"CO_82991","2850-57565_2850-57613","2811-82991","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2",0.21,0.726,0.064,0.427,66222,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.161,0.777,0.062,0.451,69664,"2850-57613","Blue Cloud","mom","BlueCloud-19","medium"
"CO_82993","2850-57565_2850-57613","2811-82993","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2",0.201,0.727,0.072,0.435,62685,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.158,0.787,0.055,0.449,65950,"2850-57613","Blue Cloud","mom","BlueCloud-19","medium"
"CO_82992","2850-57565_2850-57613","2811-82992","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2",0.224,0.675,0.1,0.438,62430,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.161,0.77,0.069,0.454,65608,"2850-57613","Blue Cloud","mom","BlueCloud-19","medium"
"CO_82994","2850-57565_2850-57613","2811-82994","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2",0.2,0.732,0.068,0.434,64363,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.158,0.786,0.056,0.449,67674,"2850-57613","Blue Cloud","mom","BlueCloud-19","medium"
"CO_83049","2510-63488_2850-57635","2811-83049","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2",0.163,0.809,0.028,0.433,73844,"2510-63488","Make Believe","dad","MakeBelieve-17",0.115,0.86,0.025,0.455,69032,"2850-57635","Make Believe","mom","MakeBelieve-17","medium"
"CO_83048","2510-63488_2850-57635","2811-83048","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2",0.239,0.66,0.101,0.431,61638,"2510-63488","Make Believe","dad","MakeBelieve-17",0.166,0.777,0.057,0.446,57690,"2850-57635","Make Believe","mom","MakeBelieve-17","medium"
"CO_83050","2850-57836_2850-57635","2811-83050","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2",0.249,0.672,0.078,0.415,66625,"2850-57836","Make Believe","dad","MakeBelieve-26",0.179,0.754,0.067,0.444,62000,"2850-57635","Make Believe","mom","MakeBelieve-17","medium"
"CO_83047","2850-57518_2850-57635","2811-83047","Make Believe","kid","MakeBelieve-17",37,"2","Make Believe_37_2",0.206,0.741,0.054,0.424,54056,"2850-57518","Make Believe","dad","MakeBelieve-69",0.189,0.721,0.09,0.451,54042,"2850-57635","Make Believe","mom","MakeBelieve-17","medium"
"CO_83024","2850-57602_2850-57854","2811-83024","Cooks","kid","Cooks-18",1,"2","Cooks_1_2",0.224,0.711,0.065,0.421,68485,"2850-57602","Cooks","dad","Cooks-18",0.158,0.785,0.057,0.45,58413,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_83023","2850-57602_2850-57854","2811-83023","Cooks","kid","Cooks-18",1,"2","Cooks_1_2",0.238,0.67,0.091,0.427,60059,"2850-57602","Cooks","dad","Cooks-18",0.192,0.739,0.069,0.439,51227,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_83025","2850-57602_2850-57854","2811-83025","Cooks","kid","Cooks-18",1,"2","Cooks_1_2",0.218,0.702,0.08,0.431,66386,"2850-57602","Cooks","dad","Cooks-18",0.195,0.703,0.102,0.453,56598,"2850-57854","Cooks","mom","Cooks-18","medium"
"CO_82996","2850-57701_2850-57904","2811-82996","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2",0.271,0.652,0.077,0.403,54901,"2850-57701","Schaaps","dad","Schaaps-110",0.159,0.795,0.047,0.444,54919,"2850-57904","Schaaps","mom","Schaaps-67","medium"
"CO_82998","2850-57701_2850-57904","2811-82998","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2",0.255,0.658,0.087,0.416,56890,"2850-57701","Schaaps","dad","Schaaps-110",0.183,0.736,0.08,0.449,56792,"2850-57904","Schaaps","mom","Schaaps-67","medium"
"CO_82999","2850-57701_2850-57904","2811-82999","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2",0.265,0.647,0.088,0.412,55577,"2850-57701","Schaaps","dad","Schaaps-110",0.199,0.73,0.07,0.436,55439,"2850-57904","Schaaps","mom","Schaaps-67","medium"
"CO_82988","2811-06912_2850-57603","2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2",0.294,0.587,0.119,0.412,57290,"2811-06912","Schaaps","dad","Schaaps-54",0.285,0.591,0.123,0.419,56076,"2850-57603","Schaaps","mom","Schaaps-54","medium"
