"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","Brood_ind2","site_cat","fert","fert_type"
"Schaaps_24_1","2850-57554","2850-57905","Schaaps","Schaaps","Schaaps-24","Schaaps-24","1","medium",1,"wp"
"Schaaps_24_1","2850-57563","2850-57905","Schaaps","Schaaps","Schaaps-74","Schaaps-24","1","medium",2,"ep_same"
"Schaaps_28_2","2850-57554","2850-57905","Schaaps","Schaaps","Schaaps-24","Schaaps-24","2","medium",1,"wp"
"Schaaps_28_2",NA,"2850-57905",NA,"Schaaps",NA,"Schaaps-24","2","medium",1,"ep_unsampled"
"Schaaps_32_1","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","1","medium",2,"wp"
"Schaaps_32_1","2850-57701","2850-57553","Schaaps","Schaaps","Schaaps-110","Schaaps-108","1","medium",1,"ep_same"
"Schaaps_33_2","2811-06912","2850-57603","Schaaps","Schaaps","Schaaps-54","Schaaps-54","1","medium",2,"wp"
"Schaaps_33_2",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54","1","medium",1,"ep_unsampled"
"Schaaps_36_1","2850-57554","2850-57559","Schaaps","Schaaps","Schaaps-24","Schaaps-98","1","medium",3,"ep_same"
"Schaaps_59_1","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","1","medium",4,"wp"
"Schaaps_64_2","2850-57701","2850-57604","Schaaps","Schaaps","Schaaps-110","Schaaps-110","2","medium",4,"wp"
"Schaaps_67_1","2850-57562","2850-57904","Schaaps","Schaaps","Schaaps-67","Schaaps-67","1","medium",4,"wp"
"Schaaps_71_1","2850-57538","2850-57611","Schaaps","Schaaps","Schaaps-80","Schaaps-71","1","medium",1,"ep_same"
"Schaaps_71_1","2850-57606","2850-57611","Schaaps","Schaaps","Schaaps-71","Schaaps-71","1","medium",3,"wp"
"Schaaps_74_1","2850-57563","2850-57561","Schaaps","Schaaps","Schaaps-74","Schaaps-74","1","medium",3,"wp"
"Schaaps_80_2","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","2","medium",1,"wp"
"Schaaps_80_2",NA,"2850-57556",NA,"Schaaps",NA,"Schaaps-80","2","medium",2,"ep_unsampled"
"Schaaps_97_2","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","2","medium",3,"wp"
"Schaaps_97_2",NA,"2850-57553",NA,"Schaaps",NA,"Schaaps-108","2","medium",1,"ep_unsampled"
"Schaaps_98_2","2850-57546","2850-57559","Schaaps","Schaaps","Schaaps-98","Schaaps-98","2","medium",2,"wp"
"Struthers-20_collected","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20","collected","small",5,"wp"
"Struthers_10_2","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20","2","small",4,"wp"
"Struthers_20_1","2640-97548","2850-57551","Blue Cloud","Struthers","BlueCloud-18","Struthers-20","1","small",2,"ep_diff"
"Struthers_20_1","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20","1","small",2,"wp"
"Urban Farm Girlz_2.2_2","2850-57615","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02","2","small",3,"wp"
"Urban Farm Girlz_2.2_2",NA,"2850-57608",NA,"Urban Farm Girlz",NA,"UrbanFarm-02","2","small",2,"ep_unsampled"
"Urban Farm Girlz_4_1","2850-57624","2850-57617","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-04","UrbanFarm-04","1","small",3,"wp"
"Urban Farm Girlz_5_1","2850-57615","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02","1","small",2,"wp"
"Urban Farm Girlz_5_1",NA,"2850-57608",NA,"Urban Farm Girlz",NA,"UrbanFarm-02","1","small",2,"ep_unsampled"
"UrbanFarm-02_collected","2850-57615","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02","collected","small",4,"wp"
