Year,Band,Site,Sex,Type,FamilyID,Nest._1,Tissue,Seq.ID,Nest..,Brood..,clutch_id
2022,2850-57666,Cathy's,M,dad,Cathys-02,#N/A,blood,CO-57666,NA,NA,NA
2022,2850-57667,Cathy's,F,mom,Cathys-02,2,blood,CO-57667,NA,NA,NA
2022,2811-83208,CHR,M,dad,CHR-004,4.2,blood,CO-83208,NA,NA,NA
2022,2811-83277,CHR,,kid,CHR-004,4,blood,CO-83277,4,1,CHR_4_1
2022,2811-83278,CHR,,kid,CHR-004,4,blood,CO-83278,4,1,CHR_4_1
2022,2811-83279,CHR,,kid,CHR-004,4,blood,CO-83279,4,1,CHR_4_1
2022,2811-83437,CHR,,kid,CHR-004,4.2,blood,CO-83437,4,2,CHR_4_2
2022,2811-83438,CHR,,kid,CHR-004,4.2,blood,CO-83438,4,2,CHR_4_2
2022,2850-57585,CHR,F,mom,CHR-004,4,blood,CO-57585,NA,NA,NA
2022,2811-83142,CHR,,kid,CHR-011,101,blood,CO-83142,101,2,CHR_101_2
2022,2811-83143,CHR,,kid,CHR-011,101,blood,CO-83143,101,2,CHR_101_2
2022,2811-83144,CHR,,kid,CHR-011,101,blood,CO-83144,101,2,CHR_101_2
2022,2811-83145,CHR,,kid,CHR-011,101,blood,CO-83145,101,2,CHR_101_2
2022,2850-57733,CHR,M,dad,CHR-011,11,blood,CO-57733,NA,NA,NA
2022,2811-83241,CHR,,kid,CHR-025,25,blood,CO-83241,25,1,CHR_25_1
2022,2811-83242,CHR,,kid,CHR-025,25,blood,CO-83242,25,1,CHR_25_1
2022,2811-83243,CHR,,kid,CHR-025,25,blood,CO-83243,25,1,CHR_25_1
2022,2811-83244,CHR,,kid,CHR-025,25,blood,CO-83244,25,1,CHR_25_1
2022,2850-57650,CHR,F,mom,CHR-025,25,blood,CO-57650,NA,NA,NA
2022,2850-57881,CHR,M,dad,CHR-025,25,blood,CO-57881,NA,NA,NA
2022,2881-33655,CHR,,kid,CHR-025,95,blood,CO-33655,95,2,CHR_95_2
2022,2881-33656,CHR,,kid,CHR-025,95,blood,CO-33656,95,2,CHR_95_2
2022,2881-33657,CHR,,kid,CHR-025,95,blood,CO-33657,95,2,CHR_95_2
2022,2640-97331,CHR,F,mom,CHR-029,29,blood,CO-97331,NA,NA,NA
2022,2850-57808,CHR,M,dad,CHR-029,29,blood,CO-57808,NA,NA,NA
2022,2881-34001,CHR,,kid,CHR-029,29,blood,CO-34001,29,1,CHR_29_1
2022,2881-34002,CHR,,kid,CHR-029,29,blood,CO-34002,29,1,CHR_29_1
2022,2881-34003,CHR,,kid,CHR-029,29,blood,CO-34003,29,1,CHR_29_1
2022,2881-34004,CHR,,kid,CHR-029,29,blood,CO-34004,29,1,CHR_29_1
2022,2881-34094,CHR,,kid,CHR-029,27,blood,CO-34094,27,2,CHR_27_2
2022,2881-34095,CHR,,kid,CHR-029,27,blood,CO-34095,27,2,CHR_27_2
2022,2881-34096,CHR,,kid,CHR-029,27,blood,CO-34096,27,2,CHR_27_2
2022,2881-34097,CHR,,kid,CHR-029,27,blood,CO-34097,27,2,CHR_27_2
2022,T017,CHR,,kid,CHR-029,29,tissue,CO-T017,29,1,CHR_29_1
2022,2640-97358,CHR,F,mom,CHR-032,32,blood,CO-97358,NA,NA,NA
2022,2811-83061,CHR,,kid,CHR-032,32,blood,CO-83061,32,1,CHR_32_1
2022,2811-83062,CHR,,kid,CHR-032,32,blood,CO-83062,32,1,CHR_32_1
