"location1","location2","mom1","dad2","attempt1","attempt2","rest.SI","pairwise"
"CHR-32","CHR-32","2640-97358","2850-57731","1","1",0.170967741935484,"2640-97358_2850-57731"
"CHR-32","CHR-102","2640-97358","2640-97589","1","1",0.145161290322581,"2640-97358_2640-97589"
"CHR-32","CHR-96","2640-97358","2850-57806","1","1",0.151612903225806,"2640-97358_2850-57806"
"CHR-32","CHR-58","2640-97358","2850-57579","1","1",0.170967741935484,"2640-97358_2850-57579"
"CHR-32","CHR-97","2640-97358","2850-57589","1","1",0.170967741935484,"2640-97358_2850-57589"
"CHR-32","CHR-7","2640-97358","unb-CHR-7and9","1","1",0.170967741935484,"2640-97358_unb-CHR-7and9"
"CHR-32","CHR-4","2640-97358","2811-83208","1","1",0.170967741935484,"2640-97358_2811-83208"
"CHR-32","CHR-33","2640-97358","2850-57669","1","1",0.170967741935484,"2640-97358_2850-57669"
"CHR-32","CHR-86","2640-97358","2850-57653","1","1",0.170967741935484,"2640-97358_2850-57653"
"CHR-32","CHR-133","2640-97358","2850-57570","1","1",0.170967741935484,"2640-97358_2850-57570"
"CHR-32","CHR-39","2640-97358","2850-57620","1","1",0.170967741935484,"2640-97358_2850-57620"
"CHR-32","CHR-25","2640-97358","2850-57881","1","1",0.167741935483871,"2640-97358_2850-57881"
"CHR-32","CHR-66","2640-97358","2850-57581","1","1",0.164516129032258,"2640-97358_2850-57581"
"CHR-32","CHR-80","2640-97358","2850-57580","1","1",0.170967741935484,"2640-97358_2850-57580"
"CHR-32","CHR-82","2640-97358","2850-57745","1","1",0.170967741935484,"2640-97358_2850-57745"
"CHR-32","CHR-78","2640-97358","2850-57744","1","1",0.170967741935484,"2640-97358_2850-57744"
"CHR-32","CHR-73","2640-97358","2850-57671","1","1",0.170967741935484,"2640-97358_2850-57671"
"CHR-32","CHR-77","2640-97358","unb-CHR-77","1","1",0.135483870967742,"2640-97358_unb-CHR-77"
"CHR-32","CHR-93","2640-97358","2640-97588","1","1",0.138709677419355,"2640-97358_2640-97588"
"CHR-32","CHR-37","2640-97358","2850-57806","1","1",0.151612903225806,"2640-97358_2850-57806"
"CHR-32","CHR-43","2640-97358","2850-57567","1","1",0.170967741935484,"2640-97358_2850-57567"
"CHR-32","CHR-76","2640-97358","unb-CHR-76and12","1","1",0.170967741935484,"2640-97358_unb-CHR-76and12"
"CHR-32","CHR-74","2640-97358","2850-57582","1","1",0.170967741935484,"2640-97358_2850-57582"
"CHR-32","CHR-110","2640-97358","2850-57742","1","1",0.161290322580645,"2640-97358_2850-57742"
"CHR-32","CHR-112","2640-97358","2850-57647","1","1",0.170967741935484,"2640-97358_2850-57647"
"CHR-32","CHR-99","2640-97358","2850-57578","1","1",0.170967741935484,"2640-97358_2850-57578"
"CHR-32","CHR-11","2640-97358","2850-57733","1","1",0.170967741935484,"2640-97358_2850-57733"
"CHR-32","CHR-148","2640-97358","2850-57582","1","1",0.170967741935484,"2640-97358_2850-57582"
"CHR-32","CHR-128","2640-97358","2850-57577","1","1",0.170967741935484,"2640-97358_2850-57577"
"CHR-32","CHR-145","2640-97358","unb-CHR-145","1","1",0.170967741935484,"2640-97358_unb-CHR-145"
