"","dAIC","df"
"prop.dur.fertile.quad",0,5
"prop.dur.fertile",0.0302244088229031,4
"prop.dur.active",1.81516358414171,4
"prop.dur.active.quad",2.75063075823255,5
"prop.dur.ci.diff",3.56105174996799,4
"prop.dur.ci.diff.quad",5.27544345951276,5
