"Year","Band","Site","Sex","Type","FamilyID","Tissue","Seq.ID","Nest","Brood","clutch_id","New2023","Notes"
2021,"E17","Cooks","","egg","Cooks-23","egg","CO-E17",23,"collected","Cooks-23_collected","No",""
2021,"E18","Cooks","","egg","Cooks-23","egg","CO-E18",23,"collected","Cooks-23_collected","No",""
2021,"E19","Cooks","","egg","Cooks-23","egg","CO-E19",23,"collected","Cooks-23_collected","No",""
2021,"2640-97370","Cooks","F","mom","Cooks-23","blood","CO-97370",NA,NA,NA,"No",""
2021,"2850-57505","Cooks","M","dad","Cooks-23","blood","CO-57505",NA,NA,NA,"No",""
2021,"2811-39031","Cooks","","kid","Cooks-24","blood","CO-39031",6,"1","Cooks_6_1","No",""
2021,"2811-39032","Cooks","","kid","Cooks-24","blood","CO-39032",6,"1","Cooks_6_1","No",""
2021,"2811-39033","Cooks","","kid","Cooks-24","blood","CO-39033",6,"1","Cooks_6_1","No",""
2021,"2811-39045","Cooks","","kid","Cooks-24","blood","CO-39045",6,"1","Cooks_6_1","No",""
2021,"2811-83033","Cooks","","kid","Cooks-24","blood","CO-83033",33,"2","Cooks_33_2","No",""
2021,"2811-83034","Cooks","","kid","Cooks-24","blood","CO-83034",33,"2","Cooks_33_2","No",""
2021,"2811-83035","Cooks","","kid","Cooks-24","blood","CO-83035",33,"2","Cooks_33_2","No",""
2021,"2811-83036","Cooks","","kid","Cooks-24","blood","CO-83036",33,"2","Cooks_33_2","No",""
2021,"E75","Cooks","","egg","Cooks-24","egg","CO-E75",24,"collected","Cooks-24_collected","No",""
2021,"E76","Cooks","","egg","Cooks-24","egg","CO-E76",24,"collected","Cooks-24_collected","No",""
2021,"E77","Cooks","","egg","Cooks-24","egg","CO-E77",24,"collected","Cooks-24_collected","No",""
2021,"E78","Cooks","","egg","Cooks-24","egg","CO-E78",24,"collected","Cooks-24_collected","No",""
2021,"E79","Cooks","","egg","Cooks-24","egg","CO-E79",24,"collected","Cooks-24_collected","No",""
2021,"2850-57557","Cooks","M","dad","Cooks-24","blood","CO-57557",NA,NA,NA,"No",""
2021,"2850-57609","Cooks","F","mom","Cooks-24","blood","CO-57609",NA,NA,NA,"No",""
2021,"2811-83214","Cooks","","kid","Cooks-27","blood","CO-83214",29,"2","Cooks_29_2","No",""
2021,"2811-83215","Cooks","","kid","Cooks-27","blood","CO-83215",29,"2","Cooks_29_2","No",""
2021,"2811-83216","Cooks","","kid","Cooks-27","blood","CO-83216",29,"2","Cooks_29_2","No",""
2021,"2811-83217","Cooks","","kid","Cooks-27","blood","CO-83217",29,"2","Cooks_29_2","No",""
2021,"E52","Cooks","","egg","Cooks-27","egg","CO-E52",27,"collected","Cooks-27_collected","No",""
2021,"E53","Cooks","","egg","Cooks-27","egg","CO-E53",27,"collected","Cooks-27_collected","No",""
2021,"E54","Cooks","","egg","Cooks-27","egg","CO-E54",27,"collected","Cooks-27_collected","No",""
2021,"E55","Cooks","","egg","Cooks-27","egg","CO-E55",27,"collected","Cooks-27_collected","No",""
2021,"2850-57853","Cooks","F","mom","Cooks-27","blood","CO-57853",NA,NA,NA,"No",""
2021,"2850-57912","Cooks","M","dad","Cooks-27","blood","CO-57912",NA,NA,NA,"No",""
2021,"E60","Cooks","","egg","Cooks-31","egg","CO-E60",31,"collected","Cooks-31_collected","No",""
2021,"E61","Cooks","","egg","Cooks-31","egg","CO-E61",31,"collected","Cooks-31_collected","No",""
2021,"E63","Cooks","","egg","Cooks-31","egg","CO-E63",31,"collected","Cooks-31_collected","No",""
2021,"E64","Cooks","","egg","Cooks-31","egg","CO-E64",31,"collected","Cooks-31_collected","No",""
2021,"2850-57558","Cooks","F","mom","Cooks-31","blood","CO-57558",NA,NA,NA,"No",""
2021,"2850-57633","Cooks","M","dad","Cooks-31","blood","CO-57633",NA,NA,NA,"No",""
2021,"2811-82977","Hepp (near Cook)","","kid","Cooks-31","blood","CO-82977",1,"1","Hepp (near Cook)_1_1","No",""
2021,"2811-82978","Hepp (near Cook)","","kid","Cooks-31","blood","CO-82978",1,"1","Hepp (near Cook)_1_1","No",""
2021,"2850-57620","Jims","M","dad","Jims-01","blood","CO-57620",NA,NA,NA,"No",""
2021,"2811-83047","Make Believe","","kid","MakeBelieve-17","blood","CO-83047",37,"2","Make Believe_37_2","Yes",""
2021,"2811-83048","Make Believe","","kid","MakeBelieve-17","blood","CO-83048",37,"2","Make Believe_37_2","Yes",""
2021,"2811-83049","Make Believe","","kid","MakeBelieve-17","blood","CO-83049",37,"2","Make Believe_37_2","Yes",""
2021,"2811-83050","Make Believe","","kid","MakeBelieve-17","blood","CO-83050",37,"2","Make Believe_37_2","Yes",""
2021,"2510-63488","Make Believe","M","dad","MakeBelieve-17","blood","CO-63488",NA,NA,NA,"No",""
2021,"2850-57635","Make Believe","","mom","MakeBelieve-17","blood","CO-57635",NA,"","","Yes",""
2021,"2811-82963","Make Believe","","kid","MakeBelieve-20","blood","CO-82963",70,"1","Make Believe_70_1","No",""
2021,"2811-82964","Make Believe","","kid","MakeBelieve-20","blood","CO-82964",70,"1","Make Believe_70_1","No",""
2021,"2811-82965","Make Believe","","kid","MakeBelieve-20","blood","CO-82965",70,"1","Make Believe_70_1","No",""
2021,"2811-82966","Make Believe","","kid","MakeBelieve-20","blood","CO-82966",70,"1","Make Believe_70_1","No",""
2021,"2811-82967","Make Believe","","kid","MakeBelieve-20","blood","CO-82967",70,"1","Make Believe_70_1","No",""
2021,"2811-83041","Make Believe","","kid","MakeBelieve-20","blood","CO-83041",73,"2","Make Believe_73_2","No",""
2021,"2811-83042","Make Believe","","kid","MakeBelieve-20","blood","CO-83042",73,"2","Make Believe_73_2","No",""
2021,"2811-83043","Make Believe","","kid","MakeBelieve-20","blood","CO-83043",73,"2","Make Believe_73_2","No",""
2021,"2350-21085","Make Believe","M","dad","MakeBelieve-20","blood","CO-21085",NA,NA,NA,"No",""
2021,"2640-97596","Make Believe","F","mom","MakeBelieve-20","blood","CO-97596",NA,NA,NA,"No",""
2021,"2811-83205","Make Believe","","kid","MakeBelieve-26","blood","CO-83205",34,"1","Make Believe_34_1","No",""
2021,"2811-83206","Make Believe","","kid","MakeBelieve-26","blood","CO-83206",34,"1","Make Believe_34_1","No",""
2021,"2811-83207","Make Believe","","kid","MakeBelieve-26","blood","CO-83207",34,"1","Make Believe_34_1","No",""
2021,"2811-83208","Make Believe","","kid","MakeBelieve-26","blood","CO-83208",34,"1","Make Believe_34_1","No",""
2021,"2811-83209","Make Believe","","kid","MakeBelieve-26","blood","CO-83209",34,"1","Make Believe_34_1","No",""
2021,"2881-34129","Make Believe","","kid","MakeBelieve-26","blood","CO-34129",38,"2","Make Believe_38_2","No",""
2021,"2881-34130","Make Believe","","kid","MakeBelieve-26","blood","CO-34130",38,"2","Make Believe_38_2","No",""
2021,"2881-34131","Make Believe","","kid","MakeBelieve-26","blood","CO-34131",38,"2","Make Believe_38_2","No",""
2021,"E05","Make Believe","","egg","MakeBelieve-26","egg","CO-E05",26,"collected","MakeBelieve-26_collected","No",""
2021,"E06","Make Believe","","egg","MakeBelieve-26","egg","CO-E06",26,"collected","MakeBelieve-26_collected","No",""
2021,"E07","Make Believe","","egg","MakeBelieve-26","egg","CO-E07",26,"collected","MakeBelieve-26_collected","No",""
2021,"E08","Make Believe","","egg","MakeBelieve-26","egg","CO-E08",26,"collected","MakeBelieve-26_collected","No",""
2021,"E09","Make Believe","","egg","MakeBelieve-26","egg","CO-E09",26,"collected","MakeBelieve-26_collected","No",""
2021,"2640-97347","Make Believe","F","mom","MakeBelieve-26","blood","CO-97347",NA,NA,NA,"No",""
2021,"2850-57836","Make Believe","M","dad","MakeBelieve-26","blood","CO-57836",NA,NA,NA,"No",""
2021,"2811-82916","Make Believe","M","dad","MakeBelieve-61","blood","CO-82916",NA,NA,NA,"No",""
2021,"2811-83401","Make Believe","","kid","MakeBelieve-69","blood","CO-83401",14,"1","Make Believe_14_1","No",""
2021,"2811-83402","Make Believe","","kid","MakeBelieve-69","blood","CO-83402",14,"1","Make Believe_14_1","No",""
2021,"2811-83403","Make Believe","","kid","MakeBelieve-69","blood","CO-83403",14,"1","Make Believe_14_1","No",""
2021,"E20","Make Believe","","egg","MakeBelieve-69","egg","CO-E20",69,"collected","MakeBelieve-69_collected","No",""
2021,"E21","Make Believe","","egg","MakeBelieve-69","egg","CO-E21",69,"collected","MakeBelieve-69_collected","No",""
2021,"E22","Make Believe","","egg","MakeBelieve-69","egg","CO-E22",69,"collected","MakeBelieve-69_collected","No",""
2021,"E23","Make Believe","","egg","MakeBelieve-69","egg","CO-E23",69,"collected","MakeBelieve-69_collected","No",""
2021,"E24","Make Believe","","egg","MakeBelieve-69","egg","CO-E24",69,"collected","MakeBelieve-69_collected","No",""
2021,"2640-97385","Make Believe","F","mom","MakeBelieve-69","blood","CO-97385",NA,NA,NA,"No",""
2021,"2850-57518","Make Believe","M","dad","MakeBelieve-69","blood","CO-57518",NA,NA,NA,"No",""
2021,"2850-57555","Reinarz","F","mom","Reinarz-01","blood","CO-57555",NA,NA,NA,"No",""
2021,"2850-57619","Reinarz","M","dad","Reinarz-01","blood","CO-57619",NA,NA,NA,"No",""
2021,"E80","Reinarz","","egg","Reinarz-01","egg","CO-E80",1,"collected","Reinarz-01_collected","No",""
2021,"E81","Reinarz","","egg","Reinarz-01","egg","CO-E81",1,"collected","Reinarz-01_collected","No",""
2021,"E82","Reinarz","","egg","Reinarz-01","egg","CO-E82",1,"collected","Reinarz-01_collected","No",""
2021,"E83","Reinarz","","egg","Reinarz-01","egg","CO-E83",1,"collected","Reinarz-01_collected","No",""
2021,"E84","Reinarz","","egg","Reinarz-01","egg","CO-E84",1,"collected","Reinarz-01_collected","No",""
2021,"2811-82974","Schaaps","","kid","Schaaps-108","blood","CO-82974",32,"1","Schaaps_32_1","No",""
2021,"2811-82975","Schaaps","","kid","Schaaps-108","blood","CO-82975",32,"1","Schaaps_32_1","No",""
2021,"2811-82976","Schaaps","","kid","Schaaps-108","blood","CO-82976",32,"1","Schaaps_32_1","No",""
