"","N","mean","sd"
"dist",8677,6015.07130007011,3244.68770374251
"pat.clutch.size",8677,5.81721793246514,2.79704010304577
"fert",8677,0.00288118013138181,0.0810033684509798
"prop.fert",8677,0.000439480230882789,0.0123568894549949
