"","N","mean","sd"
"process.dist.m",1050,11.0923924114399,7.02886854490536
"dur.fertile",1050,2.82380952380952,3.72613534586893
"rest.SI.chr",1050,0.236546990643765,0.0812095209821033
"shared_fert",1050,0.120952380952381,0.585525313601804
"pat.clutch.size",1050,3.54761904761905,1.02871964422052
"prop.fert",1050,0.0334920634920635,0.157457610991205
