"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled"
"2850-57846","2850-57881","2850-57846_2850-57881",2,"CHR",52,"CHR-52",0,11,9.461416016,"CHR_52_2",1,NA,0,2,"no",17.29,13.03171486,0.551398233,659.167,26141.62,21.79884679,0.448054925,642.4716667,43728.48667,24.82876869,0.459428468,642.151,49806.51,29.76354271,0.472972655,659.167,59705.66667,118.1666667,79.83333333,80,79.83333333,0.564019367350756,-0.96234197733198,-0.610003960994292,-0.0749913095473616,0.427067334079523,16.55,11.73463277,0.535560863,644.7453333,23539.67333,21.93833167,0.494146676,611.004,44008.29333,26.56095214,0.438684751,643.7343333,53281.27,31.59365071,0.464706779,610.6836667,63376.86333,119.6666667,84.83333333,85.83333333,84.83333333,-0.578702317633627,-0.50589447430401,-0.16810517715307,1.18609965478082,2.07463465843017
"2850-57879","2640-97588","2850-57879_2640-97588",1,"CHR",112,"CHR-112",0,11,11.55530626,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.319841925842042,-0.476208334764261,-1.69766351362466,-0.205448702771064,1.26592444166638
"2850-57879","2640-97588","2850-57879_2640-97588",2,"CHR",112,"CHR-112",0,11,11.55530626,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.319841925842042,-0.476208334764261,-1.69766351362466,-0.205448702771064,1.26592444166638
"2850-57879","2640-97589","2850-57879_2640-97589",1,"CHR",112,"CHR-112",0,11,0.210376542,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.19349574731726,-0.485157035237985,-1.19530341502793,-0.873224078908396,-0.0887940343031473
"2850-57879","2640-97589","2850-57879_2640-97589",2,"CHR",112,"CHR-112",0,11,0.210376542,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.19349574731726,-0.485157035237985,-1.19530341502793,-0.873224078908396,-0.0887940343031473
"2850-57879","2811-83208","2850-57879_2811-83208",1,"CHR",112,"CHR-112",0,11,16.66361176,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.9,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,118,87,89.5,87,-0.319841925842042,1.29226422972124,-0.358985457287731,1.14387146976213,0.422378957559541
"2850-57879","2811-83208","2850-57879_2811-83208",2,"CHR",112,"CHR-112",0,11,16.66361176,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.9,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,118,87,89.5,87,-0.319841925842042,1.29226422972124,-0.358985457287731,1.14387146976213,0.422378957559541
"2850-57879","2850-57567","2850-57879_2850-57567",1,"CHR",112,"CHR-112",0,11,8.20278258,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.49218081789379,-0.807622320284185,0.735008293751907,0.0720854814091001,-0.862562200968701
"2850-57879","2850-57567","2850-57879_2850-57567",2,"CHR",112,"CHR-112",0,0,8.20278258,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.49218081789379,-0.807622320284185,0.735008293751907,0.0720854814091001,-0.862562200968701
"2850-57879","2850-57570","2850-57879_2850-57570",1,"CHR",112,"CHR-112",0,6,5.501847625,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.51,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,121.5,90,NA,90,0.038580154548733,0.805857959623855,0.0628528876022267,0.95505100493699,-0.400464277668821
