"female","male","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled","pat.clutch.size"
"2850-57664","2850-57676",20.15,14.39181954,0.510762963,611.004,28869.99,20.95414423,0.465707742,610.6836667,42034.01333,25.09655866,0.438692358,611.004,50343.69667,29.02535726,0.435062902,611.004,58224.86667,114.5,74,74,74,-0.680071959437579,-0.794642905922718,-1.23547699982234,-0.200998762655426,0.340342376421901,15.04,12.13272848,0.48765255,653.7273333,24338.25333,11.56205716,0.497269884,644.0546667,23193.48667,29.82227983,0.475489058,611.004,59823.49333,24.87789963,0.471451969,611.004,49905.06667,115.1666667,74.16666667,71.5,74.16666667,-2.20467644207562,-0.532740513409871,-2.18904796979264,1.22305969596194,0.472953256261305,3
"2850-57670","2850-57671",18.2,19.57938518,0.470545396,598.0346667,39276.24667,27.12702227,0.458456098,634.4516667,54416.80667,24.27453971,0.4589917,618.3906667,48694.72667,21.16678132,0.479551687,604.4223333,42460.56333,118.8333333,NA,80,80,0.884548860281968,0.694313099743855,-0.218925723356669,-0.345575936624839,-0.969456767952663,17.53,16.28350449,0.48181303,667.733,32664.71,28.84180791,0.479499655,593.4133333,57856.66667,23.68146062,0.459973843,641.034,47505.01,25.7482569,0.475226128,607.0326667,51651.00333,117.8333333,75.83333333,83.16666667,75.83333333,-1.96094579430279,0.571272240341928,0.738660220509044,0.144833557453636,0.660629034048076,5
"2850-57672","2850-57673",15.52,13.89017614,0.538874579,611.004,27863.69333,35.84661682,0.403076843,611.004,71908.31333,35.58468594,0.423710215,621.6993333,71382.88,44.24337488,0.411525886,611.004,88752.21,119.8333333,77.83333333,78,77.83333333,0.319546896736232,-0.938626617159767,1.21701953793439,1.64365920097656,2.87674930433574,16.42,10.84304919,0.510941546,631.6946667,21751.15667,23.8083001,0.490864516,611.004,47759.45,25.12981888,0.475219286,611.004,50410.41667,29.45398804,0.462833294,611.004,59084.7,121.1666667,86,86.33333333,86,-0.47418883645404,-0.875766102114083,-0.114167013777566,0.399141277718927,1.45969856324056,4
"2850-57700","2870-64915",18.41,23.54235626,0.486719105,654.042,47225.96667,33.71179295,0.457311168,630.0866667,67625.85667,33.7028448,0.429778508,628.404,67607.90667,32.97698571,0.423956395,582.1216667,66151.83333,115.3333333,73.5,72.66666667,73.5,-0.810457027747541,1.83178103737345,0.865456147889201,1.31267988002468,0.998965465670332,16.13,17.296557,0.511786214,611.004,34696.89333,40.0972898,0.40323729,627.0583333,80435.16333,37.77161349,0.386328777,611.004,75769.85667,30.36117979,0.457614333,611.004,60904.52667,119.8333333,92.5,91.66666667,92.5,0.476360693662194,0.840721347825874,2.64567653063407,2.61883101617572,1.65531698702071,4
"2850-57730","2640-97588",19.1,15.70236623,0.531579294,611.004,31498.94667,12.82672316,0.51832543,611.004,25730.40667,23.21604354,0.47011436,611.004,46571.38333,25.31275341,0.478724512,611.004,50777.38333,117,78.5,79,78.5,0.493393655352081,-0.418484510983941,-2.57390296734437,-0.531744862433722,-0.278442169691642,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.327950447205388,-0.607889525035993,-1.69870577771304,-0.287874870450448,1.03914087582914,5
"2850-57735","2850-57806",17.4,15.02817049,0.511186426,611.004,30146.51,30.99803589,0.422869341,611.004,62182.06,33.99968096,0.416986865,611.004,68203.36,30.60939349,0.449029891,611.004,61402.44333,116,78.5,79.66666667,78.5,0.493393655352081,-0.61199489055917,0.418553878723239,1.36488759755325,0.604355769503945,15.88,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,120.1666667,83.83333333,86,83.83333333,-0.791038680313578,-0.766188968724348,-1.73121899508845,-0.844654382153754,-1.1015839465002,4
"2850-57736","2850-57567",18.71,18.82615819,0.485608418,674.418,37765.27333,20.40757062,0.477924978,611.3883333,40937.58667,19.58981555,0.466811049,627.366,39297.17,26.68112828,0.478086775,621.0033333,53522.34333,117.1666667,73,74.83333333,73,-0.940842096057504,0.478118852148628,-1.3254868942877,-1.16952796337438,-0.0503733379346185,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.88999846127377,-0.951018094883241,0.317511799070068,-0.100737880763292,-1.28206916379613,5
"2850-57746","2850-57582",16.91,16.74286308,0.495003601,658.0916667,33586.18333,19.18283317,0.480290485,642.151,38480.76333,22.0371552,0.479027413,665.8,44206.53333,18.33031073,0.470432651,665.8,36770.60333,115.8333333,78,NA,78,0.363008587042119,-0.119836909932159,-1.52717699897877,-0.7390884335554,-1.4422150361416,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.108592863332411,NA,0.68054809534039,0.340497342347155,-2.54815265729939,2
"2850-57749","2850-57675",NA,19.41171319,0.489887349,663.8033333,38939.89667,30.77948986,0.453449047,609.081,61743.65667,21.0645098,0.459944133,642.0943333,42255.40667,30.16000166,0.448755313,608.7603333,60500.96333,118,NA,NA,NA,NA,0.64618720913969,0.382563657577868,-0.910157875697031,0.529455044624913,16.13,21.83237454,0.479320618,646.7306667,43795.74333,30.69659189,0.449354193,597.0816667,61577.36333,23.809111,0.463668452,633.779,47761.07667,29.3981572,0.45677817,609.081,58972.70333,120.5,87.66666667,90.16666667,87.66666667,-0.230458187218827,2.04714645984995,1.05291627246548,0.167246849817363,1.44765971817928,4
"2850-57846","2850-57742",17.29,13.03171486,0.551398233,659.167,26141.62,21.79884679,0.448054925,642.4716667,43728.48667,24.82876869,0.459428468,642.151,49806.51,29.76354271,0.472972655,659.167,59705.66667,118.1666667,79.83333333,80,79.83333333,0.841087169976081,-1.18502563496347,-1.09637114676035,-0.24809781928904,0.463376712182198,16.98,13.00562645,0.511030769,671.763,26089.28667,26.1463443,0.49002744,625.0783333,52449.56667,26.30566135,0.456120566,609.081,52769.15667,22.8044882,0.51172569,659.167,45745.80333,118,93,92,93,0.54947988828652,-0.300569350889335,0.281967817833205,0.605599739133584,0.0258620257862253,4
