"","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_belly_avg_bright","fem_vent_avg_bright","fem_TS","fem_mean_rwl","pat.clutch.size"
"fem_mass_1","1 ","","","","","","",""
"fem_throat_avg_bright"," 0.10    ","1 ","","","","","",""
"fem_breast_avg_bright","-0.06    "," 0.25    ","1 ","","","","",""
"fem_belly_avg_bright","-0.21    "," 0.15    "," 0.54*** ","1 ","","","",""
"fem_vent_avg_bright","-0.13    "," 0.25    "," 0.57****"," 0.58****","1 ","","",""
"fem_TS","-0.03    ","-0.16    ","-0.10    ","-0.03    ","-0.07    ","1 ","",""
"fem_mean_rwl"," 0.09    ","-0.33*   "," 0.16    "," 0.03    "," 0.11    "," 0.44**  ","1 ",""
"pat.clutch.size"," 0.07    "," 0.04    "," 0.12    ","-0.07    "," 0.19    "," 0.12    "," 0.13    ","1 "
