"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled"
"2640-97331","2850-57577","2640-97331_2850-57577",2,"CHR",27,"CHR-27",0,10,13.569444,0,24,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.232630044426981,1.80573194047972,0.737715377164354,1.04502048301344,1.47939806751422
"2640-97331","2850-57577","2640-97331_2850-57577",1,"CHR",29,"CHR-29",0,0,12.51519135,0,23,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.232630044426981,1.80573194047972,0.737715377164354,1.04502048301344,1.47939806751422
"2640-97331","2850-57578","2640-97331_2850-57578",2,"CHR",27,"CHR-27",0,10,3.704275342,0,21,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.330122304413543,-0.882870324808829,-1.49188574528399,-0.374834477619313,-2.37479887454678
"2640-97331","2850-57578","2640-97331_2850-57578",1,"CHR",29,"CHR-29",0,0,2.800078,0,19,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.330122304413543,-0.882870324808829,-1.49188574528399,-0.374834477619313,-2.37479887454678
"2640-97331","2850-57579","2640-97331_2850-57579",1,"CHR",29,"CHR-29",0,5,5.951304253,5,6,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.622599082910845,-0.749043190899379,0.0503087508346794,-0.838956234350139,0.37083286253875
"2640-97331","2850-57579","2640-97331_2850-57579",2,"CHR",27,"CHR-27",0,10,5.784839798,0,-17,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.622599082910845,-0.749043190899379,0.0503087508346794,-0.838956234350139,0.37083286253875
"2640-97331","2850-57580","2640-97331_2850-57580",2,"CHR",27,"CHR-27",0,8,10.75579679,0,-34,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.2,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,117.5,87.83333333,NA,87.83333333,-0.206085123318973,-1.32798210392354,0.508120833367745,0.0150687031458652,1.73834162958958
"2640-97331","2850-57580","2640-97331_2850-57580",1,"CHR",29,"CHR-29",0,0,11.78128134,0,14,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.2,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,117.5,87.83333333,NA,87.83333333,-0.206085123318973,-1.32798210392354,0.508120833367745,0.0150687031458652,1.73834162958958
"2640-97331","2850-57581","2640-97331_2850-57581",1,"CHR",29,"CHR-29",0,7,12.40409686,7,4,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.5,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,116,82.5,83,82.5,-0.986023198824319,-0.434571614980667,-0.938587554762546,0.734215334884986,-0.659003473806166
"2640-97331","2850-57581","2640-97331_2850-57581",2,"CHR",27,"CHR-27",0,10,12.46090579,5,5,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.5,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,116,82.5,83,82.5,-0.986023198824319,-0.434571614980667,-0.938587554762546,0.734215334884986,-0.659003473806166
