Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2811-83080,Blue Cloud,,kid,BlueCloud-22,478,,22,blood,478,45.52,CO 2022 Field Box 2,,,CO-83080,478,22,1,Blue Cloud_22_1
Y,2022,2850-57614,Blue Cloud,M,dad,BlueCloud-22,350,,22,blood,350,21.055,Colorado Field Blood 2022 Box 1,,,CO-57614,350,NA,NA,NA
Y,2022,2850-57871,Blue Cloud,F,mom,BlueCloud-22,409,,22,blood,409,21.449,Colorado Field Blood 2022 Box 1,,,CO-57871,409,NA,NA,NA
Y,2022,2881-33609,Blue Cloud,,kid,BlueCloud-22,692,,14,blood,692,104.167,CO 2022 Field Box 5,,,CO-33609,692,14,2,Blue Cloud_14_2
Y,2022,2881-33610,Blue Cloud,,kid,BlueCloud-22,693,,14,blood,693,71.21,CO 2022 Field Box 5,,,CO-33610,693,14,2,Blue Cloud_14_2
Y,2022,2881-33611,Blue Cloud,,kid,BlueCloud-22,694,,14,blood,694,65.121,CO 2022 Field Box 5,,,CO-33611,694,14,2,Blue Cloud_14_2
Y,2022,2881-33612,Blue Cloud,,kid,BlueCloud-22,695,,14,blood,695,70.602,CO 2022 Field Box 5,,,CO-33612,695,14,2,Blue Cloud_14_2
Y,2022,2870-64905,Blue Cloud,M,dad,BlueCloud-26,414,,#N/A,blood,414,36.681,Colorado Field Blood 2022 Box 1,,,CO-64905,414,NA,NA,NA
Y,2022,2881-34088,Boyer,,kid,Boyer-05,592,,5,blood,592,79.489,CO 2022 Field Box 4,,,CO-34088,592,5,2,Boyer's_5_2
Y,2022,2881-34089,Boyer,,kid,Boyer-05,593,,5,blood,593,223.018,CO 2022 Field Box 4,,,CO-34089,593,5,2,Boyer's_5_2
Y,2022,2850-57685,Boyer,F,mom,Boyer-05-07,678,,5 or 7,blood,678,30.679,CO 2022 Field Box 5,,,CO-57685,678,NA,NA,NA
Y,2022,2850-57686,Boyer,M,dad,Boyer-05-07,547,,5 or 7,blood,547,32.249,CO 2022 Field Box 3,,,CO-57686,547,NA,NA,NA
Y,2022,2850-57688,Boyer,F,mom,Boyer-05-07,679,,5 or 7,blood,679,23.543,CO 2022 Field Box 5,,,CO-57688,679,NA,NA,NA
Y,2022,2850-57689,Boyer,M,dad,Boyer-05-07,548,,5 or 7,blood,548,23.873,CO 2022 Field Box 3,,,CO-57689,548,NA,NA,NA
Y,2022,2881-33637,Boyer,,kid,Boyer-05-07,715,,7,blood,715,78.98,CO 2022 Field Box 5,,,CO-33637,715,7,2,Boyer's_7_2
Y,2022,2881-33638,Boyer,,kid,Boyer-05-07,716,,7,blood,716,114.896,CO 2022 Field Box 5,,,CO-33638,716,7,2,Boyer's_7_2
Y,2022,2881-33639,Boyer,,kid,Boyer-05-07,717,,7,blood,717,136.943,CO 2022 Field Box 5,,,CO-33639,717,7,2,Boyer's_7_2
Y,2022,2881-33640,Boyer,,kid,Boyer-05-07,718,,7,blood,718,40.601,CO 2022 Field Box 5,,,CO-33640,718,7,2,Boyer's_7_2
Y,2022,2881-33641,Boyer,,kid,Boyer-05-07,719,,7,blood,719,40.687,CO 2022 Field Box 5,,,CO-33641,719,7,2,Boyer's_7_2
