"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57643","CO_33947",0.263,0.63,0.107,0.422,56370,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2881-33947","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1
"CO_57643","CO_33948",0.209,0.722,0.069,0.43,60040,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2881-33948","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1
"CO_57643","CO_83174",0.229,0.674,0.097,0.434,60603,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2811-83174","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1
"CO_57643","CO_83175",0.228,0.68,0.092,0.432,56386,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2811-83175","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1
"CO_06861","CO_83181",0.2,0.738,0.063,0.432,66270,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","2811-83181","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_06861","CO_83183",0.181,0.748,0.071,0.445,67845,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","2811-83183","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_06861","CO_83179",0.2,0.727,0.073,0.436,65475,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","2811-83179","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_06861","CO_E106",0.134,0.835,0.031,0.448,80646,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","E106","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_06861","CO_E109",0.148,0.809,0.043,0.447,80412,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","E109","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_06861","CO_E107",0.15,0.815,0.034,0.442,80153,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","E107","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_06861","CO_E105",0.199,0.745,0.056,0.428,65312,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","E105","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_06861","CO_E108",0.207,0.737,0.056,0.424,58553,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","E108","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_06861","CO_83182",0.196,0.749,0.055,0.43,78033,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","2811-83182","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,0
"CO_06861","CO_83180",0.237,0.7,0.063,0.413,73461,"2811-06861","Boyer",9,"mom","Boyer-09",NA,"Boyer_9_","2811-83180","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_57518","CO_E138",0.063,0.919,0.018,0.478,88761,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E138","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1
"CO_57518","CO_E139",0.067,0.917,0.017,0.475,88402,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E139","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1
"CO_57518","CO_E160",0.071,0.91,0.019,0.474,88554,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E160","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57518","CO_E157",0.071,0.906,0.023,0.476,87994,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E157","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57518","CO_E158",0.086,0.892,0.022,0.468,88119,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E158","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57518","CO_E159",0.134,0.816,0.05,0.458,65953,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E159","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57518","CO_E161",0.127,0.846,0.026,0.449,69417,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",NA,"Make Believe_69_","E161","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57574","CO_E088",0.136,0.82,0.044,0.454,74589,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E088","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57574","CO_E086",0.159,0.801,0.04,0.44,74257,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E086","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57574","CO_E087",0.337,0.428,0.234,0.448,27511,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E087","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57574","CO_E114",0.204,0.726,0.07,0.433,61848,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E114","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1
"CO_57574","CO_E115",0.255,0.622,0.123,0.434,54511,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E115","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1
"CO_57574","CO_E113",0.218,0.685,0.098,0.44,55493,"2850-57574","Cooks",2,"dad","Cooks-02",NA,"Cooks_2_","E113","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1
"CO_57575","CO_E086",0.611,0,0.389,0.389,76721,"2850-57575","Cooks",4,"mom","Cooks-04",NA,"Cooks_4_","E086","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57575","CO_E088",0.119,0.861,0.02,0.45,77064,"2850-57575","Cooks",4,"mom","Cooks-04",NA,"Cooks_4_","E088","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57575","CO_E085",0.22,0.695,0.085,0.433,59841,"2850-57575","Cooks",4,"mom","Cooks-04",NA,"Cooks_4_","E085","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57575","CO_E089",0.197,0.732,0.071,0.437,58997,"2850-57575","Cooks",4,"mom","Cooks-04",NA,"Cooks_4_","E089","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57575","CO_E087",0.301,0.577,0.122,0.411,28502,"2850-57575","Cooks",4,"mom","Cooks-04",NA,"Cooks_4_","E087","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57638","CO_E102",0.142,0.816,0.042,0.45,76722,"2850-57638","Cooks",29,"dad","Cooks-29",NA,"Cooks_29_","E102","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_57638","CO_E103",0.131,0.836,0.033,0.451,77058,"2850-57638","Cooks",29,"dad","Cooks-29",NA,"Cooks_29_","E103","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_57638","CO_E104",0.234,0.665,0.102,0.434,61753,"2850-57638","Cooks",29,"dad","Cooks-29",NA,"Cooks_29_","E104","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_57638","CO_E111",0.189,0.732,0.079,0.445,60127,"2850-57638","Cooks",29,"dad","Cooks-29",NA,"Cooks_29_","E111","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1
"CO_57638","CO_E112",0.17,0.757,0.073,0.451,60595,"2850-57638","Cooks",29,"dad","Cooks-29",NA,"Cooks_29_","E112","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1
"CO_57642","CO_E085",0.222,0.699,0.08,0.429,61000,"2850-57642","Cooks",4,"dad","Cooks-04",NA,"Cooks_4_","E085","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57642","CO_E089",0.206,0.715,0.079,0.436,60072,"2850-57642","Cooks",4,"dad","Cooks-04",NA,"Cooks_4_","E089","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1
"CO_57659","CO_83148",0.16,0.779,0.061,0.451,62393,"2850-57659","Blue Cloud",4,"dad","BlueCloud-04",NA,"Blue Cloud_4_","2811-83148","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,1
"CO_57674","CO_83152",0.133,0.833,0.034,0.451,78224,"2850-57674","Struthers",3,"dad","Struthers-03",NA,"Struthers_3_","2811-83152","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57674","CO_83154",0.202,0.713,0.085,0.441,65560,"2850-57674","Struthers",3,"dad","Struthers-03",NA,"Struthers_3_","2811-83154","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57674","CO_83153",0.146,0.81,0.045,0.449,70088,"2850-57674","Struthers",3,"dad","Struthers-03",NA,"Struthers_3_","2811-83153","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57674","CO_83178",0.243,0.671,0.086,0.421,65403,"2850-57674","Struthers",3,"dad","Struthers-03",NA,"Struthers_3_","2811-83178","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
"CO_57683","CO_83152",0.147,0.806,0.046,0.449,74887,"2850-57683","Struthers",3,"mom","Struthers-03",NA,"Struthers_3_","2811-83152","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57683","CO_83153",0.171,0.776,0.053,0.441,66978,"2850-57683","Struthers",3,"mom","Struthers-03",NA,"Struthers_3_","2811-83153","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57683","CO_83154",0.214,0.712,0.074,0.43,62753,"2850-57683","Struthers",3,"mom","Struthers-03",NA,"Struthers_3_","2811-83154","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1
"CO_57685","CO_83171",0.183,0.756,0.061,0.439,70296,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","2811-83171","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1
"CO_57685","CO_E156",0.133,0.865,0.002,0.434,76835,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","E156","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57685","CO_E153",0.181,0.754,0.064,0.442,58560,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","E153","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57685","CO_E155",0.207,0.75,0.043,0.418,60969,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","E155","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57685","CO_E152",0.185,0.761,0.054,0.435,62500,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","E152","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57685","CO_83172",0.234,0.695,0.071,0.418,74188,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","2811-83172","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1
"CO_57685","CO_E154",0.188,0.747,0.065,0.439,58147,"2850-57685","Boyer",13,"mom","Boyer-05",NA,"Boyer_13_","E154","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57764","CO_83174",0.155,0.795,0.05,0.447,64071,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08",NA,"Urban Farm Girlz_8_","2811-83174","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1
"CO_57764","CO_83173",0.179,0.734,0.087,0.454,64322,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08",NA,"Urban Farm Girlz_8_","2811-83173","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,0
"CO_57764","CO_83175",0.182,0.72,0.097,0.457,59588,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08",NA,"Urban Farm Girlz_8_","2811-83175","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1
"CO_57771","CO_33722",0.219,0.697,0.084,0.433,70895,"2850-57771","Cooks",4.2,"mom","Cooks-04.2",NA,"Cooks_4.2_","2881-33722","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1",1,0
"CO_57869","CO_E118",0.113,0.863,0.024,0.456,78794,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18",NA,"Blue Cloud_18_","E118","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1
"CO_57869","CO_E117",0.179,0.758,0.063,0.442,60668,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18",NA,"Blue Cloud_18_","E117","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1
"CO_57869","CO_E116",0.162,0.791,0.048,0.443,59403,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18",NA,"Blue Cloud_18_","E116","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1
"CO_57869","CO_E119",0.158,0.787,0.056,0.449,59041,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18",NA,"Blue Cloud_18_","E119","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1
"CO_57871","CO_E120",0.224,0.703,0.073,0.424,59998,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22",NA,"Blue Cloud_22_","E120","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1
"CO_57871","CO_E121",0.217,0.697,0.086,0.435,59823,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22",NA,"Blue Cloud_22_","E121","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1
"CO_57871","CO_E122",0.215,0.713,0.072,0.429,58904,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22",NA,"Blue Cloud_22_","E122","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1
"CO_57877","CO_E098",0.178,0.771,0.05,0.436,73871,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",NA,"Make Believe_31_","E098","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57877","CO_E097",0.16,0.792,0.048,0.444,71258,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",NA,"Make Believe_31_","E097","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57877","CO_E096",0.135,0.834,0.031,0.448,72839,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",NA,"Make Believe_31_","E096","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57877","CO_E095",0.142,0.83,0.028,0.443,74984,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",NA,"Make Believe_31_","E095","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57877","CO_E132",0.171,0.772,0.057,0.443,74785,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",NA,"Make Believe_31_","E132","Make Believe",17,"egg","MakeBelieve-17","collected","Make Believe_17_collected",1,1
"CO_57932","CO_E129",0.145,0.796,0.058,0.456,75882,"2850-57932","Cooks",18,"mom","Cooks-18",NA,"Cooks_18_","E129","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0
"CO_57932","CO_E130",0.159,0.78,0.061,0.451,74415,"2850-57932","Cooks",18,"mom","Cooks-18",NA,"Cooks_18_","E130","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0
"CO_57932","CO_E131",0.138,0.823,0.04,0.451,75452,"2850-57932","Cooks",18,"mom","Cooks-18",NA,"Cooks_18_","E131","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0
"CO_57932","CO_E128",0.212,0.709,0.079,0.434,61178,"2850-57932","Cooks",18,"mom","Cooks-18",NA,"Cooks_18_","E128","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0
"CO_57934","CO_E145",0.239,0.657,0.104,0.433,53068,"2850-57934","Boyer",3,"mom","Boyer-03",NA,"Boyer_3_","E145","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1
"CO_57934","CO_E147",0.173,0.785,0.042,0.434,69756,"2850-57934","Boyer",3,"mom","Boyer-03",NA,"Boyer_3_","E147","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1
"CO_57934","CO_E146",0.169,0.773,0.057,0.444,69737,"2850-57934","Boyer",3,"mom","Boyer-03",NA,"Boyer_3_","E146","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1
"CO_57934","CO_E144",0.127,0.84,0.033,0.453,70697,"2850-57934","Boyer",3,"mom","Boyer-03",NA,"Boyer_3_","E144","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1
"CO_57935","CO_83477",0.164,0.77,0.065,0.451,65640,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","2811-83477","Boyer",14.2,"kid","Boyer-14","1","Boyer_14.2_1",1,1
"CO_57935","CO_83478",0.22,0.687,0.093,0.436,59853,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","2811-83478","Boyer",14.2,"kid","Boyer-14","1","Boyer_14.2_1",1,1
"CO_57935","CO_E140",0.153,0.802,0.045,0.446,75653,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","E140","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1
"CO_57935","CO_E141",0.185,0.754,0.062,0.438,63615,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","E141","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1
"CO_57935","CO_E142",0.252,0.638,0.11,0.429,55598,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","E142","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1
"CO_57935","CO_E143",0.175,0.763,0.062,0.443,62143,"2850-57935","Boyer",14,"dad","Boyer-14",NA,"Boyer_14_","E143","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1
"CO_57937","CO_E134",0.151,0.797,0.052,0.45,75442,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",NA,"Make Believe_74_","E134","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57937","CO_E135",0.162,0.811,0.027,0.432,73862,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",NA,"Make Believe_74_","E135","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57937","CO_E133",0.208,0.743,0.049,0.42,55722,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",NA,"Make Believe_74_","E133","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57937","CO_33813",0.248,0.694,0.058,0.405,58370,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",NA,"Make Believe_74_","2881-33813","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1
"CO_57937","CO_E136",0.269,0.615,0.116,0.423,57336,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",NA,"Make Believe_74_","E136","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57938","CO_E138",0.127,0.843,0.031,0.452,76953,"2850-57938","Make Believe",34,"mom","MakeBelieve-34",NA,"Make Believe_34_","E138","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1
"CO_57938","CO_E139",0.128,0.841,0.031,0.452,76658,"2850-57938","Make Believe",34,"mom","MakeBelieve-34",NA,"Make Believe_34_","E139","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1
"CO_57938","CO_E137",0.203,0.704,0.094,0.445,54739,"2850-57938","Make Believe",34,"mom","MakeBelieve-34",NA,"Make Believe_34_","E137","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,0
"CO_57939","CO_E135",0.143,0.817,0.04,0.448,74759,"2850-57939","Make Believe",74,"mom","MakeBelieve-74",NA,"Make Believe_74_","E135","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57939","CO_E134",0.14,0.837,0.023,0.441,76382,"2850-57939","Make Believe",74,"mom","MakeBelieve-74",NA,"Make Believe_74_","E134","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57939","CO_E136",0.226,0.687,0.087,0.431,57938,"2850-57939","Make Believe",74,"mom","MakeBelieve-74",NA,"Make Believe_74_","E136","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57939","CO_E133",0.289,0.59,0.12,0.415,56410,"2850-57939","Make Believe",74,"mom","MakeBelieve-74",NA,"Make Believe_74_","E133","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1
"CO_57939","CO_33813",0.295,0.599,0.107,0.406,59047,"2850-57939","Make Believe",74,"mom","MakeBelieve-74",NA,"Make Believe_74_","2881-33813","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1
"CO_57941","CO_E157",0.158,0.798,0.043,0.442,72643,"2850-57941","Make Believe",69,"mom","MakeBelieve-69",NA,"Make Believe_69_","E157","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57941","CO_E160",0.161,0.794,0.045,0.442,73073,"2850-57941","Make Believe",69,"mom","MakeBelieve-69",NA,"Make Believe_69_","E160","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57941","CO_E158",0.168,0.787,0.044,0.438,72738,"2850-57941","Make Believe",69,"mom","MakeBelieve-69",NA,"Make Believe_69_","E158","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57941","CO_E159",0.235,0.695,0.07,0.417,54457,"2850-57941","Make Believe",69,"mom","MakeBelieve-69",NA,"Make Believe_69_","E159","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57941","CO_E161",0.201,0.735,0.064,0.432,57398,"2850-57941","Make Believe",69,"mom","MakeBelieve-69",NA,"Make Believe_69_","E161","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1
"CO_57943","CO_83156",0.157,0.79,0.053,0.448,72649,"2850-57943","Struthers",23,"mom","Struthers-23",NA,"Struthers_23_","2811-83156","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1
"CO_57943","CO_83155",0.188,0.742,0.07,0.441,67453,"2850-57943","Struthers",23,"mom","Struthers-23",NA,"Struthers_23_","2811-83155","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1
"CO_57944","CO_83159",0.596,0.001,0.404,0.404,65735,"2850-57944","Plumbumpy",1,"dad","Plum-01",NA,"Plumbumpy_1_","2811-83159","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57944","CO_83160",0.188,0.75,0.062,0.437,70177,"2850-57944","Plumbumpy",1,"dad","Plum-01",NA,"Plumbumpy_1_","2811-83160","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57944","CO_83157",0.181,0.738,0.08,0.45,69537,"2850-57944","Plumbumpy",1,"dad","Plum-01",NA,"Plumbumpy_1_","2811-83157","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57944","CO_83161",0.188,0.736,0.076,0.444,61930,"2850-57944","Plumbumpy",1,"dad","Plum-01",NA,"Plumbumpy_1_","2811-83161","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57944","CO_83158",0.155,0.775,0.069,0.457,62602,"2850-57944","Plumbumpy",1,"dad","Plum-01",NA,"Plumbumpy_1_","2811-83158","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57945","CO_83158",0.19,0.748,0.063,0.437,61047,"2850-57945","Plumbumpy",1,"mom","Plum-01",NA,"Plumbumpy_1_","2811-83158","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57945","CO_83160",0.167,0.761,0.072,0.453,68500,"2850-57945","Plumbumpy",1,"mom","Plum-01",NA,"Plumbumpy_1_","2811-83160","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57945","CO_83157",0.156,0.799,0.046,0.445,67917,"2850-57945","Plumbumpy",1,"mom","Plum-01",NA,"Plumbumpy_1_","2811-83157","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57945","CO_83161",0.196,0.735,0.069,0.437,60442,"2850-57945","Plumbumpy",1,"mom","Plum-01",NA,"Plumbumpy_1_","2811-83161","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57945","CO_83159",0.206,0.715,0.079,0.436,64245,"2850-57945","Plumbumpy",1,"mom","Plum-01",NA,"Plumbumpy_1_","2811-83159","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1
"CO_57946","CO_83195",0.187,0.73,0.083,0.448,62098,"2850-57946","Blue Cloud",28,"mom","Nixon-01",NA,"Blue Cloud_28_","2811-83195","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
"CO_57946","CO_83193",0.233,0.64,0.127,0.447,60971,"2850-57946","Blue Cloud",28,"mom","Nixon-01",NA,"Blue Cloud_28_","2811-83193","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
"CO_57946","CO_83194",0.161,0.755,0.084,0.462,60792,"2850-57946","Blue Cloud",28,"mom","Nixon-01",NA,"Blue Cloud_28_","2811-83194","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
"CO_57946","CO_83196",0.192,0.73,0.078,0.443,62602,"2850-57946","Blue Cloud",28,"mom","Nixon-01",NA,"Blue Cloud_28_","2811-83196","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
"CO_57947","CO_83195",0.205,0.699,0.096,0.445,63335,"2850-57947","Blue Cloud",28,"dad","Nixon-01",NA,"Blue Cloud_28_","2811-83195","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
"CO_57947","CO_83193",0.19,0.716,0.094,0.452,62212,"2850-57947","Blue Cloud",28,"dad","Nixon-01",NA,"Blue Cloud_28_","2811-83193","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1
