"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57688","CO_34136",0.225,0.721,0.054,0.415,62878,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","2881-34136","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1
"CO_57688","CO_E126",0.155,0.816,0.029,0.437,77364,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","E126","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57688","CO_E124",0.149,0.82,0.031,0.441,77986,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","E124","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57688","CO_E125",0.259,0.655,0.086,0.413,57696,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","E125","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57688","CO_E123",0.227,0.7,0.074,0.423,60616,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","E123","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57688","CO_E127",0.235,0.673,0.092,0.429,57621,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","E127","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57688","CO_34138",0.228,0.717,0.055,0.413,74488,"2850-57688","Boyer",5,"mom","Boyer-13",NA,"Boyer_5_","2881-34138","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1
"CO_64906","CO_83171",0.204,0.731,0.065,0.43,63151,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83171","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1
"CO_64906","CO_83179",0.247,0.669,0.085,0.419,57410,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83179","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_64906","CO_83181",0.262,0.65,0.088,0.413,58009,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83181","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_64906","CO_83183",0.225,0.683,0.092,0.434,59364,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83183","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_64906","CO_E105",0.246,0.663,0.09,0.422,57358,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","E105","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_64906","CO_E106",0.169,0.792,0.039,0.435,70560,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","E106","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_64906","CO_E109",0.176,0.785,0.039,0.431,70359,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","E109","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_64906","CO_E107",0.174,0.786,0.04,0.433,70169,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","E107","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_64906","CO_E108",0.266,0.638,0.096,0.415,51421,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","E108","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1
"CO_64906","CO_83172",0.265,0.634,0.101,0.418,66628,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83172","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1
"CO_64906","CO_83180",0.289,0.617,0.094,0.403,64350,"2870-64906","Boyer",9,"dad","Boyer-09",NA,"Boyer_9_","2811-83180","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1
"CO_57686","CO_33820",0.225,0.702,0.073,0.424,72782,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","2881-33820","Boyer",16,"kid","Boyer-05","2","Boyer_16_2",1,1
"CO_57686","CO_33819",0.216,0.733,0.051,0.418,73132,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","2881-33819","Boyer",16,"kid","Boyer-05","2","Boyer_16_2",1,1
"CO_57686","CO_34136",0.237,0.673,0.09,0.426,63814,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","2881-34136","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1
"CO_57686","CO_34137",0.209,0.735,0.056,0.423,62893,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","2881-34137","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1
"CO_57686","CO_E127",0.216,0.735,0.049,0.416,58575,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E127","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
