"genetic_fam","band_dad","band_mom","site_dad","site_ind2","FamilyID_dad","FamilyID_mom","FamilyID_ind2","site_type","fert","fert_type"
"2870-64906_2850-57685","2870-64906","2850-57685","Boyer","Boyer","Boyer-09","Boyer-05","Boyer-05","medium",2,"ep_same"
"2870-65014_2850-57687","2870-65014","2850-57687","Boyer","Boyer","Boyer-02","Boyer-02","Boyer-02","medium",3,"wp"
"2870-65016_2850-57685","2870-65016","2850-57685","Boyer","Boyer","Boyer-03","Boyer-05","Boyer-05","medium",1,"ep_same"
"2870-65016_2850-57934","2870-65016","2850-57934","Boyer","Boyer","Boyer-03","Boyer-03","Boyer-03","medium",5,"wp"
"NA_2811-06861",NA,"2811-06861",NA,"Boyer",NA,"Boyer-09","Boyer-09","medium",1,"ep_unsampled"
"NA_2850-57575",NA,"2850-57575",NA,"Cooks",NA,"Cooks-04","Cooks-04","medium",2,"ep_unsampled"
"NA_2850-57629",NA,"2850-57629",NA,"Urban Farm Girlz",NA,"UrbanFarm-05","UrbanFarm-05","small",4,"ep_unsampled"
"NA_2850-57685",NA,"2850-57685",NA,"Boyer",NA,"Boyer-05","Boyer-05","medium",1,"ep_unsampled"
"NA_2850-57687",NA,"2850-57687",NA,"Boyer",NA,"Boyer-02","Boyer-02","medium",3,"ep_unsampled"
"NA_2850-57764",NA,"2850-57764",NA,"Urban Farm Girlz",NA,"UrbanFarm-08","UrbanFarm-08","small",1,"ep_unsampled"
"NA_2850-57771",NA,"2850-57771",NA,"Cooks",NA,"Cooks-04.2","Cooks-04.2","medium",2,"ep_unsampled"
"NA_2850-57853",NA,"2850-57853",NA,"Cooks",NA,"Cooks-29","Cooks-29","medium",1,"ep_unsampled"
"NA_2850-57869",NA,"2850-57869",NA,"Blue Cloud",NA,"BlueCloud-18","BlueCloud-18","medium",4,"ep_unsampled"
"NA_2850-57931",NA,"2850-57931",NA,"Cooks",NA,"Cooks-02","Cooks-02","medium",1,"ep_unsampled"
"NA_2850-57932",NA,"2850-57932",NA,"Cooks",NA,"Cooks-18","Cooks-18","medium",4,"ep_unsampled"
"NA_2850-57934",NA,"2850-57934",NA,"Boyer",NA,"Boyer-03","Boyer-03","medium",2,"ep_unsampled"
"NA_2850-57938",NA,"2850-57938",NA,"Make Believe",NA,"MakeBelieve-34","MakeBelieve-34","medium",1,"ep_unsampled"
"NA_2850-57939",NA,"2850-57939",NA,"Make Believe",NA,"MakeBelieve-74","MakeBelieve-74","medium",2,"ep_unsampled"
"NA_2850-57948",NA,"2850-57948",NA,"Cooks",NA,"Cooks-15","Cooks-15","medium",4,"ep_unsampled"
"NA_2850-57950",NA,"2850-57950",NA,"Speedwell",NA,"Speedwell-01","Speedwell-01","solitary",1,"ep_unsampled"
