"Ind2","genetic_fam","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","band_dad","site_dad","nest_dad","type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","band_mom","site_mom","nest_mom","type_mom","FamilyID_mom","site_type"
"CO_E126","2850-57686_2850-57688","E126","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1,0.166,0.805,0.029,0.431,78456,"2850-57686","Boyer",13,"dad","Boyer-13",0.155,0.816,0.029,0.437,77364,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_E124","2850-57686_2850-57688","E124","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1,0.174,0.797,0.03,0.428,79110,"2850-57686","Boyer",13,"dad","Boyer-13",0.149,0.82,0.031,0.441,77986,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_E125","2850-57686_2850-57688","E125","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1,0.254,0.657,0.089,0.418,58487,"2850-57686","Boyer",13,"dad","Boyer-13",0.259,0.655,0.086,0.413,57696,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_E123","2850-57686_2850-57688","E123","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1,0.24,0.706,0.054,0.407,61505,"2850-57686","Boyer",13,"dad","Boyer-13",0.227,0.7,0.074,0.423,60616,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_E127","2850-57686_2850-57688","E127","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1,0.216,0.735,0.049,0.416,58575,"2850-57686","Boyer",13,"dad","Boyer-13",0.235,0.673,0.092,0.429,57621,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_34138","2850-57686_2850-57688","2881-34138","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1,0.21,0.742,0.047,0.418,75512,"2850-57686","Boyer",13,"dad","Boyer-13",0.228,0.717,0.055,0.413,74488,"2850-57688","Boyer",5,"mom","Boyer-13","medium"
"CO_83171","2870-64906_2850-57685","2811-83171","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1,0.204,0.731,0.065,0.43,63151,"2870-64906","Boyer",9,"dad","Boyer-09",0.183,0.756,0.061,0.439,70296,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_83179","2870-64906_2811-06861","2811-83179","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1,0.247,0.669,0.085,0.419,57410,"2870-64906","Boyer",9,"dad","Boyer-09",0.2,0.727,0.073,0.436,65475,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_83181","2870-64906_2811-06861","2811-83181","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1,0.262,0.65,0.088,0.413,58009,"2870-64906","Boyer",9,"dad","Boyer-09",0.2,0.738,0.063,0.432,66270,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_83183","2870-64906_2811-06861","2811-83183","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1,0.225,0.683,0.092,0.434,59364,"2870-64906","Boyer",9,"dad","Boyer-09",0.181,0.748,0.071,0.445,67845,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_E105","2870-64906_2811-06861","E105","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1,0.246,0.663,0.09,0.422,57358,"2870-64906","Boyer",9,"dad","Boyer-09",0.199,0.745,0.056,0.428,65312,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_E106","2870-64906_2811-06861","E106","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1,0.169,0.792,0.039,0.435,70560,"2870-64906","Boyer",9,"dad","Boyer-09",0.134,0.835,0.031,0.448,80646,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_E109","2870-64906_2811-06861","E109","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1,0.176,0.785,0.039,0.431,70359,"2870-64906","Boyer",9,"dad","Boyer-09",0.148,0.809,0.043,0.447,80412,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_E107","2870-64906_2811-06861","E107","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1,0.174,0.786,0.04,0.433,70169,"2870-64906","Boyer",9,"dad","Boyer-09",0.15,0.815,0.034,0.442,80153,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
