"Ind2","genetic_fam","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","band_dad","site_dad","nest_dad","type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","band_mom","site_mom","nest_mom","type_mom","FamilyID_mom","site_type"
"CO_83374","NA_2850-57629","2811-83374","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,0.722,0.092,0.453,59144,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","small"
"CO_33951","2850-57643_2850-57608","2881-33951","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1,0.199,0.738,0.063,0.432,63559,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.143,0.806,0.051,0.454,71448,"2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07","small"
"CO_33950","2850-57643_2850-57608","2881-33950","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1,0.231,0.691,0.078,0.424,61113,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.154,0.811,0.035,0.441,68577,"2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07","small"
"CO_33947","2850-57643_2850-57608","2881-33947","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1,0.263,0.63,0.107,0.422,56370,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.184,0.744,0.072,0.444,63315,"2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07","small"
"CO_33948","2850-57643_2850-57608","2881-33948","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1,0.209,0.722,0.069,0.43,60040,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.172,0.766,0.062,0.445,67328,"2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07","small"
"CO_83174","2850-57643_2850-57764","2811-83174","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1,0.229,0.674,0.097,0.434,60603,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.155,0.795,0.05,0.447,64071,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08","small"
"CO_83175","2850-57643_2850-57764","2811-83175","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,1,0.228,0.68,0.092,0.432,56386,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",0.182,0.72,0.097,0.457,59588,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08","small"
"CO_83182","NA_2811-06861","2811-83182","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196,0.749,0.055,0.43,78033,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_E138","2850-57518_2850-57938","E138","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1,0.063,0.919,0.018,0.478,88761,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.127,0.843,0.031,0.452,76953,"2850-57938","Make Believe",34,"mom","MakeBelieve-34","medium"
"CO_E139","2850-57518_2850-57938","E139","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,1,0.067,0.917,0.017,0.475,88402,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.128,0.841,0.031,0.452,76658,"2850-57938","Make Believe",34,"mom","MakeBelieve-34","medium"
"CO_E160","2850-57518_2850-57941","E160","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1,0.071,0.91,0.019,0.474,88554,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.161,0.794,0.045,0.442,73073,"2850-57941","Make Believe",69,"mom","MakeBelieve-69","medium"
"CO_E157","2850-57518_2850-57941","E157","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1,0.071,0.906,0.023,0.476,87994,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.158,0.798,0.043,0.442,72643,"2850-57941","Make Believe",69,"mom","MakeBelieve-69","medium"
"CO_E158","2850-57518_2850-57941","E158","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1,0.086,0.892,0.022,0.468,88119,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.168,0.787,0.044,0.438,72738,"2850-57941","Make Believe",69,"mom","MakeBelieve-69","medium"
"CO_E159","2850-57518_2850-57941","E159","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1,0.134,0.816,0.05,0.458,65953,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.235,0.695,0.07,0.417,54457,"2850-57941","Make Believe",69,"mom","MakeBelieve-69","medium"
"CO_E161","2850-57518_2850-57941","E161","Make Believe",69,"egg","MakeBelieve-69","collected","Make Believe_69_collected",1,1,0.127,0.846,0.026,0.449,69417,"2850-57518","Make Believe",69,"dad","MakeBelieve-69",0.201,0.735,0.064,0.432,57398,"2850-57941","Make Believe",69,"mom","MakeBelieve-69","medium"
"CO_E088","2850-57574_2850-57575","E088","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1,0.136,0.82,0.044,0.454,74589,"2850-57574","Cooks",2,"dad","Cooks-02",0.119,0.861,0.02,0.45,77064,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_E086","2850-57574_2850-57575","E086","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1,0.159,0.801,0.04,0.44,74257,"2850-57574","Cooks",2,"dad","Cooks-02",0.611,0,0.389,0.389,76721,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_E087","2850-57574_2850-57575","E087","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1,0.337,0.428,0.234,0.448,27511,"2850-57574","Cooks",2,"dad","Cooks-02",0.301,0.577,0.122,0.411,28502,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_E114","2850-57574_2850-57931","E114","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1,0.204,0.726,0.07,0.433,61848,"2850-57574","Cooks",2,"dad","Cooks-02",0.226,0.691,0.083,0.429,67617,"2850-57931","Cooks",2,"mom","Cooks-02","medium"
"CO_E115","2850-57574_2850-57931","E115","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1,0.255,0.622,0.123,0.434,54511,"2850-57574","Cooks",2,"dad","Cooks-02",0.259,0.621,0.12,0.43,59576,"2850-57931","Cooks",2,"mom","Cooks-02","medium"
"CO_E113","2850-57574_2850-57931","E113","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1,0.218,0.685,0.098,0.44,55493,"2850-57574","Cooks",2,"dad","Cooks-02",0.241,0.674,0.085,0.422,60836,"2850-57931","Cooks",2,"mom","Cooks-02","medium"
"CO_E085","2850-57642_2850-57575","E085","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1,0.222,0.699,0.08,0.429,61000,"2850-57642","Cooks",4,"dad","Cooks-04",0.22,0.695,0.085,0.433,59841,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_E089","2850-57642_2850-57575","E089","Cooks",4,"egg","Cooks-04","collected","Cooks_4_collected",1,1,0.206,0.715,0.079,0.436,60072,"2850-57642","Cooks",4,"dad","Cooks-04",0.197,0.732,0.071,0.437,58997,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_E111","2850-57638_2850-57931","E111","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1,0.189,0.732,0.079,0.445,60127,"2850-57638","Cooks",29,"dad","Cooks-29",0.237,0.678,0.085,0.424,63011,"2850-57931","Cooks",2,"mom","Cooks-02","medium"
"CO_E112","2850-57638_2850-57931","E112","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected",1,1,0.17,0.757,0.073,0.451,60595,"2850-57638","Cooks",29,"dad","Cooks-29",0.23,0.693,0.077,0.423,63488,"2850-57931","Cooks",2,"mom","Cooks-02","medium"
"CO_83152","2850-57674_2850-57683","2811-83152","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1,0.133,0.833,0.034,0.451,78224,"2850-57674","Struthers",3,"dad","Struthers-03",0.147,0.806,0.046,0.449,74887,"2850-57683","Struthers",3,"mom","Struthers-03","small"
"CO_83154","2850-57674_2850-57683","2811-83154","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1,0.202,0.713,0.085,0.441,65560,"2850-57674","Struthers",3,"dad","Struthers-03",0.214,0.712,0.074,0.43,62753,"2850-57683","Struthers",3,"mom","Struthers-03","small"
"CO_83153","2850-57674_2850-57683","2811-83153","Struthers",3,"kid","Struthers-03","1","Struthers_3_1",1,1,0.146,0.81,0.045,0.449,70088,"2850-57674","Struthers",3,"dad","Struthers-03",0.171,0.776,0.053,0.441,66978,"2850-57683","Struthers",3,"mom","Struthers-03","small"
"CO_83173","NA_2850-57764","2811-83173","Urban Farm Girlz",8.2,"kid","UrbanFarm-08","2","Urban Farm Girlz_8.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179,0.734,0.087,0.454,64322,"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08","small"
"CO_33722","NA_2850-57771","2881-33722","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219,0.697,0.084,0.433,70895,"2850-57771","Cooks",4.2,"mom","Cooks-04.2","medium"
"CO_E132","2850-57877_2870-65019","E132","Make Believe",17,"egg","MakeBelieve-17","collected","Make Believe_17_collected",1,1,0.171,0.772,0.057,0.443,74785,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",0.105,0.868,0.028,0.462,74656,"2870-65019","Make Believe",17,"mom","MakeBelieve-17","medium"
"CO_E129","NA_2850-57932","E129","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.796,0.058,0.456,75882,"2850-57932","Cooks",18,"mom","Cooks-18","medium"
"CO_E130","NA_2850-57932","E130","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159,0.78,0.061,0.451,74415,"2850-57932","Cooks",18,"mom","Cooks-18","medium"
"CO_E131","NA_2850-57932","E131","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138,0.823,0.04,0.451,75452,"2850-57932","Cooks",18,"mom","Cooks-18","medium"
"CO_E128","NA_2850-57932","E128","Cooks",18,"egg","Cooks-18","collected","Cooks_18_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,0.709,0.079,0.434,61178,"2850-57932","Cooks",18,"mom","Cooks-18","medium"
"CO_E145","2870-65016_2850-57934","E145","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1,0.201,0.73,0.069,0.434,59710,"2870-65016","Boyer",3,"dad","Boyer-03",0.239,0.657,0.104,0.433,53068,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_E147","2870-65016_2850-57934","E147","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1,0.155,0.804,0.041,0.443,78552,"2870-65016","Boyer",3,"dad","Boyer-03",0.173,0.785,0.042,0.434,69756,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_E146","2870-65016_2850-57934","E146","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1,0.147,0.817,0.036,0.444,78504,"2870-65016","Boyer",3,"dad","Boyer-03",0.169,0.773,0.057,0.444,69737,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_E144","2870-65016_2850-57934","E144","Boyer",3,"egg","Boyer-03","collected","Boyer_3_collected",1,1,0.145,0.824,0.032,0.444,79620,"2870-65016","Boyer",3,"dad","Boyer-03",0.127,0.84,0.033,0.453,70697,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_83477","2850-57935_2870-65015","2811-83477","Boyer",14.2,"kid","Boyer-14","1","Boyer_14.2_1",1,1,0.164,0.77,0.065,0.451,65640,"2850-57935","Boyer",14,"dad","Boyer-14",0.115,0.823,0.062,0.473,71691,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_83478","2850-57935_2870-65015","2811-83478","Boyer",14.2,"kid","Boyer-14","1","Boyer_14.2_1",1,1,0.22,0.687,0.093,0.436,59853,"2850-57935","Boyer",14,"dad","Boyer-14",0.134,0.816,0.049,0.458,65453,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_E140","2850-57935_2870-65015","E140","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1,0.153,0.802,0.045,0.446,75653,"2850-57935","Boyer",14,"dad","Boyer-14",0.098,0.871,0.03,0.466,82551,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_E141","2850-57935_2870-65015","E141","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1,0.185,0.754,0.062,0.438,63615,"2850-57935","Boyer",14,"dad","Boyer-14",0.145,0.81,0.044,0.45,69404,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_E142","2850-57935_2870-65015","E142","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1,0.252,0.638,0.11,0.429,55598,"2850-57935","Boyer",14,"dad","Boyer-14",0.188,0.735,0.077,0.445,60570,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_E143","2850-57935_2870-65015","E143","Boyer",14,"egg","Boyer-14","collected","Boyer_14_collected",1,1,0.175,0.763,0.062,0.443,62143,"2850-57935","Boyer",14,"dad","Boyer-14",0.16,0.779,0.061,0.451,67903,"2870-65015","Boyer",14,"mom","Boyer-14","medium"
"CO_E134","2850-57937_2850-57939","E134","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1,0.151,0.797,0.052,0.45,75442,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.14,0.837,0.023,0.441,76382,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_E135","2850-57937_2850-57939","E135","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1,0.162,0.811,0.027,0.432,73862,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.143,0.817,0.04,0.448,74759,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_E133","2850-57937_2850-57939","E133","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1,0.208,0.743,0.049,0.42,55722,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.289,0.59,0.12,0.415,56410,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_33813","2850-57937_2850-57939","2881-33813","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1,0.248,0.694,0.058,0.405,58370,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.295,0.599,0.107,0.406,59047,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_E136","2850-57937_2850-57939","E136","Make Believe",74,"egg","MakeBelieve-74","collected","Make Believe_74_collected",1,1,0.269,0.615,0.116,0.423,57336,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.226,0.687,0.087,0.431,57938,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_E137","NA_2850-57938","E137","Make Believe",34,"egg","MakeBelieve-34","collected","Make Believe_34_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203,0.704,0.094,0.445,54739,"2850-57938","Make Believe",34,"mom","MakeBelieve-34","medium"
"CO_83159","2850-57944_2850-57945","2811-83159","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1,0.596,0.001,0.404,0.404,65735,"2850-57944","Plumbumpy",1,"dad","Plum-01",0.206,0.715,0.079,0.436,64245,"2850-57945","Plumbumpy",1,"mom","Plum-01","solitary"
"CO_83160","2850-57944_2850-57945","2811-83160","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1,0.188,0.75,0.062,0.437,70177,"2850-57944","Plumbumpy",1,"dad","Plum-01",0.167,0.761,0.072,0.453,68500,"2850-57945","Plumbumpy",1,"mom","Plum-01","solitary"
"CO_83157","2850-57944_2850-57945","2811-83157","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1,0.181,0.738,0.08,0.45,69537,"2850-57944","Plumbumpy",1,"dad","Plum-01",0.156,0.799,0.046,0.445,67917,"2850-57945","Plumbumpy",1,"mom","Plum-01","solitary"
"CO_83161","2850-57944_2850-57945","2811-83161","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1,0.188,0.736,0.076,0.444,61930,"2850-57944","Plumbumpy",1,"dad","Plum-01",0.196,0.735,0.069,0.437,60442,"2850-57945","Plumbumpy",1,"mom","Plum-01","solitary"
"CO_83158","2850-57944_2850-57945","2811-83158","Plumbumpy",1,"kid","Plum-01","1","Plumbumpy_1_1",1,1,0.155,0.775,0.069,0.457,62602,"2850-57944","Plumbumpy",1,"dad","Plum-01",0.19,0.748,0.063,0.437,61047,"2850-57945","Plumbumpy",1,"mom","Plum-01","solitary"
"CO_83195","2850-57947_2850-57946","2811-83195","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1,0.205,0.699,0.096,0.445,63335,"2850-57947","Blue Cloud",28,"dad","Nixon-01",0.187,0.73,0.083,0.448,62098,"2850-57946","Blue Cloud",28,"mom","Nixon-01","medium"
"CO_83193","2850-57947_2850-57946","2811-83193","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1,0.19,0.716,0.094,0.452,62212,"2850-57947","Blue Cloud",28,"dad","Nixon-01",0.233,0.64,0.127,0.447,60971,"2850-57946","Blue Cloud",28,"mom","Nixon-01","medium"
"CO_83194","2850-57947_2850-57946","2811-83194","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1,0.179,0.742,0.079,0.45,61858,"2850-57947","Blue Cloud",28,"dad","Nixon-01",0.161,0.755,0.084,0.462,60792,"2850-57946","Blue Cloud",28,"mom","Nixon-01","medium"
"CO_83196","2850-57947_2850-57946","2811-83196","Blue Cloud",1,"kid","Nixon-01","1","Blue Cloud_1_1",1,1,0.182,0.719,0.099,0.458,63800,"2850-57947","Blue Cloud",28,"dad","Nixon-01",0.192,0.73,0.078,0.443,62602,"2850-57946","Blue Cloud",28,"mom","Nixon-01","medium"
"CO_83192","2850-57949_2850-57950","2811-83192","Speedwell",1.2,"kid","Speedwell-01","2","Speedwell_1.2_2",1,1,0.167,0.779,0.054,0.444,67665,"2850-57949","Speedwell",1,"dad","Speedwell-01",0.182,0.751,0.067,0.443,65644,"2850-57950","Speedwell",1,"mom","Speedwell-01","solitary"
"CO_83190","2850-57949_2850-57950","2811-83190","Speedwell",1.2,"kid","Speedwell-01","2","Speedwell_1.2_2",1,1,0.158,0.774,0.068,0.455,63151,"2850-57949","Speedwell",1,"dad","Speedwell-01",0.196,0.732,0.071,0.438,61274,"2850-57950","Speedwell",1,"mom","Speedwell-01","solitary"
"CO_83191","2850-57949_2850-57950","2811-83191","Speedwell",1.2,"kid","Speedwell-01","2","Speedwell_1.2_2",1,1,0.191,0.717,0.091,0.45,65286,"2850-57949","Speedwell",1,"dad","Speedwell-01",0.163,0.781,0.056,0.447,63298,"2850-57950","Speedwell",1,"mom","Speedwell-01","solitary"
"CO_83163","2850-57953_2850-57954","2811-83163","Cathys",1,"kid","Cathys-01","1","Cathys_1_1",1,1,0.184,0.763,0.053,0.435,62584,"2850-57953","Cathys",1,"dad","Cathys-01",0.22,0.687,0.093,0.437,55970,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_83165","2850-57953_2850-57954","2811-83165","Cathys",1,"kid","Cathys-01","1","Cathys_1_1",1,1,0.184,0.77,0.046,0.431,77344,"2850-57953","Cathys",1,"dad","Cathys-01",0.17,0.743,0.087,0.458,69149,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_83162","2850-57953_2850-57954","2811-83162","Cathys",1,"kid","Cathys-01","1","Cathys_1_1",1,1,0.203,0.735,0.062,0.429,70743,"2850-57953","Cathys",1,"dad","Cathys-01",0.188,0.711,0.101,0.457,63227,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_83188","2850-57953_2850-57954","2811-83188","Cathys",2,"kid","Cathys-01","2","Cathys_2_2",1,1,0.198,0.75,0.053,0.427,75051,"2850-57953","Cathys",1,"dad","Cathys-01",0.18,0.749,0.071,0.445,67052,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_83164","2850-57953_2850-57954","2811-83164","Cathys",1,"kid","Cathys-01","1","Cathys_1_1",1,1,0.174,0.759,0.067,0.446,73902,"2850-57953","Cathys",1,"dad","Cathys-01",0.165,0.793,0.042,0.439,66131,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_83189","2850-57953_2850-57954","2811-83189","Cathys",2,"kid","Cathys-01","2","Cathys_2_2",1,1,0.207,0.729,0.064,0.428,70007,"2850-57953","Cathys",1,"dad","Cathys-01",0.208,0.707,0.085,0.439,62643,"2850-57954","Cathys",1,"mom","Cathys-01","solitary"
"CO_E149","2870-65014_2850-57687","E149","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1,0.14,0.817,0.043,0.451,75379,"2870-65014","Boyer",2,"dad","Boyer-02",0.183,0.769,0.048,0.432,82419,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_E151","2870-65014_2850-57687","E151","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1,0.159,0.771,0.069,0.455,59488,"2870-65014","Boyer",2,"dad","Boyer-02",0.252,0.67,0.078,0.413,64909,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_33719","NA_2850-57687","2881-33719","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,0.717,0.068,0.426,74098,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_33720","NA_2850-57687","2881-33720","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197,0.748,0.054,0.429,72312,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_33721","NA_2850-57687","2881-33721","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183,0.771,0.047,0.432,77464,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_33723","NA_2850-57771","2881-33723","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181,0.756,0.063,0.441,66355,"2850-57771","Cooks",4.2,"mom","Cooks-04.2","medium"
"CO_33724","2850-57772_2850-57771","2881-33724","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1",1,1,0.169,0.746,0.085,0.458,64802,"2850-57772","Cooks",2.2,"dad","Cooks-02.2",0.205,0.71,0.085,0.44,64428,"2850-57771","Cooks",4.2,"mom","Cooks-04.2","medium"
"CO_33725","2850-57642_2850-57575","2881-33725","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2",1,1,0.199,0.726,0.075,0.438,63472,"2850-57642","Cooks",4,"dad","Cooks-04",0.211,0.705,0.083,0.436,62368,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_33726","NA_2850-57575","2881-33726","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169,0.76,0.071,0.451,64903,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_33727","NA_2850-57575","2881-33727","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193,0.729,0.078,0.442,63991,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_33728","2850-57642_2850-57575","2881-33728","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2",1,1,0.195,0.744,0.061,0.433,67294,"2850-57642","Cooks",4,"dad","Cooks-04",0.176,0.781,0.043,0.433,66071,"2850-57575","Cooks",4,"mom","Cooks-04","medium"
"CO_33802","NA_2850-57948","2881-33802","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.748,0.072,0.446,64358,"2850-57948","Cooks",15,"mom","Cooks-15","medium"
"CO_33803","NA_2850-57948","2881-33803","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,0.787,0.057,0.45,62007,"2850-57948","Cooks",15,"mom","Cooks-15","medium"
"CO_33804","NA_2850-57948","2881-33804","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164,0.762,0.074,0.455,71335,"2850-57948","Cooks",15,"mom","Cooks-15","medium"
"CO_33806","2850-57953_2850-57934","2881-33806","Boyer",4,"kid","Boyer-03","2","Boyer_4_2",1,1,0.196,0.728,0.075,0.44,65052,"2850-57953","Cathys",1,"dad","Cathys-01",0.167,0.755,0.077,0.455,55283,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_33807","2850-57953_2850-57934","2881-33807","Boyer",4,"kid","Boyer-03","2","Boyer_4_2",1,1,0.173,0.78,0.046,0.437,75557,"2850-57953","Cathys",1,"dad","Cathys-01",0.187,0.746,0.067,0.44,64175,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_33808","2850-57953_2850-57934","2881-33808","Boyer",4,"kid","Boyer-03","2","Boyer_4_2",1,1,0.196,0.734,0.07,0.437,71625,"2850-57953","Cathys",1,"dad","Cathys-01",0.198,0.715,0.087,0.444,60817,"2850-57934","Boyer",3,"mom","Boyer-03","medium"
"CO_33812","2850-57937_2850-57939","2881-33812","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1,0.152,0.813,0.036,0.442,71897,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.139,0.831,0.03,0.445,72752,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_33814","2850-57937_2850-57939","2881-33814","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1,0.196,0.745,0.059,0.432,62340,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.199,0.72,0.081,0.441,63190,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
"CO_33815","2850-57937_2850-57939","2881-33815","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2",1,1,0.21,0.718,0.072,0.431,63957,"2850-57937","Make Believe",74,"dad","MakeBelieve-74",0.2,0.747,0.053,0.427,64639,"2850-57939","Make Believe",74,"mom","MakeBelieve-74","medium"
