"","2.5 %","97.5 %","Estimate","lower.bt","upper.bt","estimate.bt"
"(Intercept)",-20.0683255497259,-8.59917350370113,-14.3337495267135,1.92502756519778e-09,0.000184258019322951,5.95568439648566e-07
"dist.bin3546-1092",-2.70766593258344,1.92713966453319,-0.390263134025124,0.0666922894906252,6.86983208756569,0.676878741235029
"dist.bin31092+",-7.64725542093744,-2.98809630271023,-5.31767586182384,0.000477352464365256,0.0503832599608713,0.00490413838559611
"as.factor(year)2022",-2.78363777135025,1.32073025929924,-0.731453756025504,0.061813235464889,3.74615604391893,0.481208920980252
"as.factor(year)2023",-9.06290041023385,-0.660319194558094,-4.86160980239597,0.000115886370658327,0.516686384685327,0.00773801718076115
"Std.Dev.(Intercept)|Band_mom",3.88391116816251,12.5421363744331,6.97943719344748,48.6139811813027,279885.641198701,1074.31356610432
"Std.Dev.(Intercept)|Band_dad",4.00246236892526,11.8595225644402,6.88965113613105,54.7327564785137,141424.680977923,982.058752634105
