"Band_dad","Band_mom","building_dad","building_mom","dist","pat.clutch.size","fert","prop.fert","year"
"2850-57563","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57606","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57562","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57546","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57554","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2811-06912","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57538","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57505","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57549","2811-38691","Mary Anns est","Cathys est",185.3781345,3,0,0,2021
"2850-57565","2811-38691","Blue Cloud Middle Shed","Cathys est",4705.235243,3,0,0,2021
"2850-57602","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57625","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57630","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57615","2811-38691","Urban Farm Girlz Sheep Shed","Cathys est",2733.095014,3,0,0,2021
"2850-57628","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57619","2811-38691","Reinarz shed est","Cathys est",11353.27955,3,0,0,2021
"2850-57624","2811-38691","Urban Farm Girlz Red Barn","Cathys est",2738.939865,3,0,0,2021
"2850-57836","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57915","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57631","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57901","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57916","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2510-63488","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2811-82916","2811-38691","Make Believe Shed","Cathys est",3351.501,3,0,0,2021
"2850-57912","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57917","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2640-97548","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57614","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57557","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57633","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57607","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57518","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57620","2811-38691","Jims Green Barn est","Cathys est",6168.015566,3,0,0,2021
"2850-57636","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2350-21085","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57701","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57552","2811-38691","Struthers main","Cathys est",3488.116073,3,0,0,2021
"2850-57565","2850-57559","Blue Cloud Middle Shed","Schaaps",6335.802989,5,0,0,2021
"2850-57505","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57549","2850-57559","Mary Anns est","Schaaps",7017.188766,5,0,0,2021
"2850-57599","2850-57559","Cathys est","Schaaps",6915.132474,5,0,0,2021
"2850-57602","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57625","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57615","2850-57559","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,5,0,0,2021
"2850-57619","2850-57559","Reinarz shed est","Schaaps",14915.48545,5,0,0,2021
"2850-57624","2850-57559","Urban Farm Girlz Red Barn","Schaaps",4602.822467,5,0,0,2021
"2850-57628","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57630","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57631","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57836","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57901","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57912","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57915","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57916","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2811-82916","2850-57559","Make Believe Shed","Schaaps",8980.360381,5,0,0,2021
"2850-57917","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2510-63488","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2640-97548","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57518","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57614","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57633","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57620","2850-57559","Jims Green Barn est","Schaaps",8515.620903,5,0,0,2021
"2350-21085","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57557","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57552","2850-57559","Struthers main","Schaaps",5896.626973,5,0,0,2021
"2850-57636","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57505","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57549","2850-57561","Mary Anns est","Schaaps",7017.188766,8,0,0,2021
"2850-57565","2850-57561","Blue Cloud Middle Shed","Schaaps",6335.802989,8,0,0,2021
"2850-57599","2850-57561","Cathys est","Schaaps",6915.132474,8,0,0,2021
"2850-57602","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57615","2850-57561","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,8,0,0,2021
"2850-57624","2850-57561","Urban Farm Girlz Red Barn","Schaaps",4602.822467,8,0,0,2021
"2850-57619","2850-57561","Reinarz shed est","Schaaps",14915.48545,8,0,0,2021
"2850-57625","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57836","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57628","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57630","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57901","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57912","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57631","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57915","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2510-63488","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57916","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2811-82916","2850-57561","Make Believe Shed","Schaaps",8980.360381,8,0,0,2021
"2850-57917","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57620","2850-57561","Jims Green Barn est","Schaaps",8515.620903,8,0,0,2021
"2640-97548","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57518","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57557","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57614","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2350-21085","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57636","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57633","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57552","2850-57561","Struthers main","Schaaps",5896.626973,8,0,0,2021
"2850-57505","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57549","2850-57604","Mary Anns est","Schaaps",7017.188766,7,0,0,2021
"2850-57602","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57565","2850-57604","Blue Cloud Middle Shed","Schaaps",6335.802989,7,0,0,2021
"2850-57599","2850-57604","Cathys est","Schaaps",6915.132474,7,0,0,2021
"2850-57615","2850-57604","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,7,0,0,2021
"2850-57624","2850-57604","Urban Farm Girlz Red Barn","Schaaps",4602.822467,7,0,0,2021
"2850-57619","2850-57604","Reinarz shed est","Schaaps",14915.48545,7,0,0,2021
"2850-57628","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57912","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57836","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2850-57631","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57625","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57630","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57917","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57915","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2510-63488","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2850-57916","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57901","2850-57604","Blue Cloud main","Schaaps",6302.735018,7,0,0,2021
"2811-82916","2850-57604","Make Believe Shed","Schaaps",8980.360381,7,0,0,2021
"2850-57614","2850-57604","Blue Cloud main","Schaaps",6302.735018,7,0,0,2021
"2850-57557","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57518","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2640-97548","2850-57604","Blue Cloud main","Schaaps",6302.735018,7,0,0,2021
"2350-21085","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2850-57633","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57620","2850-57604","Jims Green Barn est","Schaaps",8515.620903,7,0,0,2021
"2850-57636","2850-57604","Blue Cloud main","Schaaps",6302.735018,7,0,0,2021
"2850-57552","2850-57604","Struthers main","Schaaps",5896.626973,7,0,0,2021
"2850-57505","2850-57611","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57549","2850-57611","Mary Anns est","Schaaps",7017.188766,8,0,0,2021
"2850-57599","2850-57611","Cathys est","Schaaps",6915.132474,8,0,0,2021
"2850-57565","2850-57611","Blue Cloud Middle Shed","Schaaps",6335.802989,8,0,0,2021
"2850-57615","2850-57611","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,8,0,0,2021
"2850-57602","2850-57611","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57619","2850-57611","Reinarz shed est","Schaaps",14915.48545,8,0,0,2021
"2850-57628","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57624","2850-57611","Urban Farm Girlz Red Barn","Schaaps",4602.822467,8,0,0,2021
"2850-57625","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57836","2850-57611","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57630","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57901","2850-57611","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57912","2850-57611","Cooks","Schaaps",14316.31219,8,0,0,2021
"2510-63488","2850-57611","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57631","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57916","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57917","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57915","2850-57611","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2811-82916","2850-57611","Make Believe Shed","Schaaps",8980.360381,8,0,0,2021
"2850-57614","2850-57611","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2640-97548","2850-57611","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57557","2850-57611","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57633","2850-57611","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57620","2850-57611","Jims Green Barn est","Schaaps",8515.620903,8,0,0,2021
"2350-21085","2850-57611","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57518","2850-57611","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57636","2850-57611","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57552","2850-57611","Struthers main","Schaaps",5896.626973,8,0,0,2021
"2811-06912","2850-57617","Schaaps","Urban Farm Girlz Red Barn",4602.822467,3,0,0,2021
"2850-57505","2850-57617","Cooks","Urban Farm Girlz Red Barn",13146.32277,3,0,0,2021
"2850-57549","2850-57617","Mary Anns est","Urban Farm Girlz Red Barn",2908.435718,3,0,0,2021
"2850-57538","2850-57617","Schaaps","Urban Farm Girlz Red Barn",4602.822467,3,0,0,2021
"2850-57602","2850-57617","Cooks","Urban Farm Girlz Red Barn",13146.32277,3,0,0,2021
"2850-57599","2850-57617","Cathys est","Urban Farm Girlz Red Barn",2738.939865,3,0,0,2021
"2850-57625","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2850-57565","2850-57617","Blue Cloud Middle Shed","Urban Farm Girlz Red Barn",5405.816766,3,0,0,2021
"2850-57628","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2850-57615","2850-57617","Urban Farm Girlz Sheep Shed","Urban Farm Girlz Red Barn",31.72741803,3,0,0,2021
"2850-57619","2850-57617","Reinarz shed est","Urban Farm Girlz Red Barn",13385.41544,3,0,0,2021
"2850-57631","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2850-57630","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2850-57836","2850-57617","Make Believe","Urban Farm Girlz Red Barn",5781.976718,3,0,0,2021
"2850-57915","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2510-63488","2850-57617","Make Believe","Urban Farm Girlz Red Barn",5781.976718,3,0,0,2021
"2850-57901","2850-57617","Blue Cloud main","Urban Farm Girlz Red Barn",5425.344701,3,0,0,2021
"2850-57912","2850-57617","Cooks","Urban Farm Girlz Red Barn",13146.32277,3,0,0,2021
"2811-82916","2850-57617","Make Believe Shed","Urban Farm Girlz Red Barn",5805.918087,3,0,0,2021
"2850-57916","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2850-57917","2850-57617","Alishas est","Urban Farm Girlz Red Barn",13456.40118,3,0,0,2021
"2640-97548","2850-57617","Blue Cloud main","Urban Farm Girlz Red Barn",5425.344701,3,0,0,2021
"2850-57557","2850-57617","Cooks","Urban Farm Girlz Red Barn",13146.32277,3,0,0,2021
"2850-57614","2850-57617","Blue Cloud main","Urban Farm Girlz Red Barn",5425.344701,3,0,0,2021
"2850-57633","2850-57617","Cooks","Urban Farm Girlz Red Barn",13146.32277,3,0,0,2021
"2850-57620","2850-57617","Jims Green Barn est","Urban Farm Girlz Red Barn",7462.259695,3,0,0,2021
"2850-57518","2850-57617","Make Believe","Urban Farm Girlz Red Barn",5781.976718,3,0,0,2021
"2850-57701","2850-57617","Schaaps","Urban Farm Girlz Red Barn",4602.822467,3,0,0,2021
"2850-57636","2850-57617","Blue Cloud main","Urban Farm Girlz Red Barn",5425.344701,3,0,0,2021
"2850-57552","2850-57617","Struthers main","Urban Farm Girlz Red Barn",4239.054456,3,0,0,2021
"2850-57607","2850-57617","Schaaps","Urban Farm Girlz Red Barn",4602.822467,3,0,0,2021
"2350-21085","2850-57617","Make Believe","Urban Farm Girlz Red Barn",5781.976718,3,0,0,2021
"2811-06912","2850-57635","Schaaps","Make Believe",8944.936855,4,0,0,2021
"2850-57538","2850-57635","Schaaps","Make Believe",8944.936855,4,0,0,2021
"2850-57505","2850-57635","Cooks","Make Believe",8134.783478,4,0,0,2021
"2850-57549","2850-57635","Mary Anns est","Make Believe",3139.663173,4,0,0,2021
"2850-57599","2850-57635","Cathys est","Make Believe",3337.471654,4,0,0,2021
"2850-57602","2850-57635","Cooks","Make Believe",8134.783478,4,0,0,2021
"2850-57565","2850-57635","Blue Cloud Middle Shed","Make Believe",3861.779098,4,0,0,2021
"2850-57615","2850-57635","Urban Farm Girlz Sheep Shed","Make Believe",5761.465774,4,0,0,2021
"2850-57619","2850-57635","Reinarz shed est","Make Believe",8068.720913,4,0,0,2021
"2850-57630","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57624","2850-57635","Urban Farm Girlz Red Barn","Make Believe",5781.976718,4,0,0,2021
"2850-57625","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57628","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57631","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57912","2850-57635","Cooks","Make Believe",8134.783478,4,0,0,2021
"2850-57916","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57915","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57917","2850-57635","Alishas est","Make Believe",8065.260889,4,0,0,2021
"2850-57901","2850-57635","Blue Cloud main","Make Believe",3928.765414,4,0,0,2021
"2811-82916","2850-57635","Make Believe Shed","Make Believe",16.34208163,4,0,0,2021
"2850-57614","2850-57635","Blue Cloud main","Make Believe",3928.765414,4,0,0,2021
"2850-57607","2850-57635","Schaaps","Make Believe",8944.936855,4,0,0,2021
"2850-57620","2850-57635","Jims Green Barn est","Make Believe",3967.210281,4,0,0,2021
"2850-57557","2850-57635","Cooks","Make Believe",8134.783478,4,0,0,2021
"2640-97548","2850-57635","Blue Cloud main","Make Believe",3928.765414,4,0,0,2021
"2850-57701","2850-57635","Schaaps","Make Believe",8944.936855,4,0,0,2021
"2850-57633","2850-57635","Cooks","Make Believe",8134.783478,4,0,0,2021
"2850-57636","2850-57635","Blue Cloud main","Make Believe",3928.765414,4,0,0,2021
"2850-57552","2850-57635","Struthers main","Make Believe",3336.249381,4,0,0,2021
"2811-06912","2850-57854","Schaaps","Cooks",14316.31219,7,0,0,2021
"2850-57538","2850-57854","Schaaps","Cooks",14316.31219,7,0,0,2021
"2850-57565","2850-57854","Blue Cloud Middle Shed","Cooks",8131.940467,7,0,0,2021
"2850-57549","2850-57854","Mary Anns est","Cooks",11115.95446,7,0,0,2021
"2850-57599","2850-57854","Cathys est","Cooks",11307.353,7,0,0,2021
"2850-57619","2850-57854","Reinarz shed est","Cooks",1200.685865,7,0,0,2021
"2850-57615","2850-57854","Urban Farm Girlz Sheep Shed","Cooks",13112.56561,7,0,0,2021
"2850-57630","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2850-57624","2850-57854","Urban Farm Girlz Red Barn","Cooks",13146.32277,7,0,0,2021
"2850-57625","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2850-57836","2850-57854","Make Believe","Cooks",8134.783478,7,0,0,2021
"2850-57628","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2850-57631","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2811-82916","2850-57854","Make Believe Shed","Cooks",8148.946634,7,0,0,2021
"2850-57901","2850-57854","Blue Cloud main","Cooks",8135.083191,7,0,0,2021
"2850-57915","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2850-57917","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2510-63488","2850-57854","Make Believe","Cooks",8134.783478,7,0,0,2021
"2850-57916","2850-57854","Alishas est","Cooks",1546.300542,7,0,0,2021
"2640-97548","2850-57854","Blue Cloud main","Cooks",8135.083191,7,0,0,2021
"2850-57614","2850-57854","Blue Cloud main","Cooks",8135.083191,7,0,0,2021
"2850-57607","2850-57854","Schaaps","Cooks",14316.31219,7,0,0,2021
"2850-57620","2850-57854","Jims Green Barn est","Cooks",5868.726624,7,0,0,2021
"2850-57636","2850-57854","Blue Cloud main","Cooks",8135.083191,7,0,0,2021
"2350-21085","2850-57854","Make Believe","Cooks",8134.783478,7,0,0,2021
"2850-57701","2850-57854","Schaaps","Cooks",14316.31219,7,0,0,2021
"2850-57518","2850-57854","Make Believe","Cooks",8134.783478,7,0,0,2021
"2850-57552","2850-57854","Struthers main","Cooks",9026.103113,7,0,0,2021
"2850-57549","2850-57904","Mary Anns est","Schaaps",7017.188766,9,0,0,2021
"2850-57505","2850-57904","Cooks","Schaaps",14316.31219,9,0,0,2021
"2850-57565","2850-57904","Blue Cloud Middle Shed","Schaaps",6335.802989,9,0,0,2021
"2850-57602","2850-57904","Cooks","Schaaps",14316.31219,9,0,0,2021
"2850-57599","2850-57904","Cathys est","Schaaps",6915.132474,9,0,0,2021
"2850-57615","2850-57904","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,9,0,0,2021
"2850-57619","2850-57904","Reinarz shed est","Schaaps",14915.48545,9,0,0,2021
"2850-57630","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57628","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57624","2850-57904","Urban Farm Girlz Red Barn","Schaaps",4602.822467,9,0,0,2021
"2850-57625","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57836","2850-57904","Make Believe","Schaaps",8944.936855,9,0,0,2021
"2850-57631","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57901","2850-57904","Blue Cloud main","Schaaps",6302.735018,9,0,0,2021
"2850-57915","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57917","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2850-57916","2850-57904","Alishas est","Schaaps",15085.54575,9,0,0,2021
"2510-63488","2850-57904","Make Believe","Schaaps",8944.936855,9,0,0,2021
"2850-57912","2850-57904","Cooks","Schaaps",14316.31219,9,0,0,2021
"2811-82916","2850-57904","Make Believe Shed","Schaaps",8980.360381,9,0,0,2021
"2850-57614","2850-57904","Blue Cloud main","Schaaps",6302.735018,9,0,0,2021
"2850-57620","2850-57904","Jims Green Barn est","Schaaps",8515.620903,9,0,0,2021
"2640-97548","2850-57904","Blue Cloud main","Schaaps",6302.735018,9,0,0,2021
"2850-57633","2850-57904","Cooks","Schaaps",14316.31219,9,0,0,2021
"2850-57518","2850-57904","Make Believe","Schaaps",8944.936855,9,0,0,2021
"2850-57557","2850-57904","Cooks","Schaaps",14316.31219,9,0,0,2021
"2350-21085","2850-57904","Make Believe","Schaaps",8944.936855,9,0,0,2021
"2850-57552","2850-57904","Struthers main","Schaaps",5896.626973,9,0,0,2021
"2850-57636","2850-57904","Blue Cloud main","Schaaps",6302.735018,9,0,0,2021
"2850-57505","2850-57905","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57549","2850-57905","Mary Anns est","Schaaps",7017.188766,5,0,0,2021
"2850-57565","2850-57905","Blue Cloud Middle Shed","Schaaps",6335.802989,5,0,0,2021
"2850-57602","2850-57905","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57599","2850-57905","Cathys est","Schaaps",6915.132474,5,0,0,2021
"2850-57619","2850-57905","Reinarz shed est","Schaaps",14915.48545,5,0,0,2021
"2850-57615","2850-57905","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,5,0,0,2021
"2850-57624","2850-57905","Urban Farm Girlz Red Barn","Schaaps",4602.822467,5,0,0,2021
"2850-57628","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57630","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57625","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57836","2850-57905","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2510-63488","2850-57905","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57917","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57916","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57631","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57912","2850-57905","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57901","2850-57905","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57915","2850-57905","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2811-82916","2850-57905","Make Believe Shed","Schaaps",8980.360381,5,0,0,2021
"2850-57614","2850-57905","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57557","2850-57905","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57633","2850-57905","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57518","2850-57905","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57620","2850-57905","Jims Green Barn est","Schaaps",8515.620903,5,0,0,2021
"2640-97548","2850-57905","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57552","2850-57905","Struthers main","Schaaps",5896.626973,5,0,0,2021
"2350-21085","2850-57905","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57636","2850-57905","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57599","2850-57553","Cathys est","Schaaps",6915.132474,12,0,0,2021
"2850-57565","2850-57553","Blue Cloud Middle Shed","Schaaps",6335.802989,12,0,0,2021
"2850-57602","2850-57553","Cooks","Schaaps",14316.31219,12,0,0,2021
"2850-57619","2850-57553","Reinarz shed est","Schaaps",14915.48545,12,0,0,2021
"2850-57615","2850-57553","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,12,0,0,2021
"2850-57624","2850-57553","Urban Farm Girlz Red Barn","Schaaps",4602.822467,12,0,0,2021
"2850-57836","2850-57553","Make Believe","Schaaps",8944.936855,12,0,0,2021
"2850-57628","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57630","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57901","2850-57553","Blue Cloud main","Schaaps",6302.735018,12,0,0,2021
"2850-57625","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57631","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57912","2850-57553","Cooks","Schaaps",14316.31219,12,0,0,2021
"2510-63488","2850-57553","Make Believe","Schaaps",8944.936855,12,0,0,2021
"2850-57917","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57916","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2811-82916","2850-57553","Make Believe Shed","Schaaps",8980.360381,12,0,0,2021
"2850-57915","2850-57553","Alishas est","Schaaps",15085.54575,12,0,0,2021
"2850-57614","2850-57553","Blue Cloud main","Schaaps",6302.735018,12,0,0,2021
"2640-97548","2850-57553","Blue Cloud main","Schaaps",6302.735018,12,0,0,2021
"2850-57633","2850-57553","Cooks","Schaaps",14316.31219,12,0,0,2021
"2850-57620","2850-57553","Jims Green Barn est","Schaaps",8515.620903,12,0,0,2021
"2850-57636","2850-57553","Blue Cloud main","Schaaps",6302.735018,12,0,0,2021
"2850-57557","2850-57553","Cooks","Schaaps",14316.31219,12,0,0,2021
"2850-57552","2850-57553","Struthers main","Schaaps",5896.626973,12,0,0,2021
"2350-21085","2850-57553","Make Believe","Schaaps",8944.936855,12,0,0,2021
"2850-57518","2850-57553","Make Believe","Schaaps",8944.936855,12,0,0,2021
"2850-57565","2850-57555","Blue Cloud Middle Shed","Reinarz shed est",8623.5855,5,0,0,2021
