"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2640-97331","2850-57733","2640-97331_2850-57733","1","CHR","29","CHR-29",0,0,9.277382025,0,38,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57742","2640-97331_2850-57742","1","CHR","29","CHR-29",0,8,6.502144006,8,3,0.232258064516129,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57742","2640-97331_2850-57742","2","CHR","27","CHR-27",0,10,6.1628208967,9,1,0.290322580645161,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57744","2640-97331_2850-57744","2","CHR","27","CHR-27",0,10,13.29871713,0,25,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57744","2640-97331_2850-57744","1","CHR","29","CHR-29",0,0,14.27662498,0,21,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57745","2640-97331_2850-57745","1","CHR","29","CHR-29",0,3,11.9931834,3,8,0.248387096774194,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57745","2640-97331_2850-57745","2","CHR","27","CHR-27",0,10,12.58730193,4,-5,0.308243727598566,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57806","2640-97331_2850-57806","1","CHR","29","CHR-29",0,11,6.598714514,11,0,0.22258064516129,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57806","2640-97331_2850-57806","2","CHR","27","CHR-27",0,11,8.69850265090909,6,4,0.301075268817204,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57808","2640-97331_2850-57808","1","CHR","29","CHR-29",1,11,0.08,11,0,0.258064516129032,"CHR_29_1",1,"wp",2,4,"yes"
"2640-97331","2850-57808","2640-97331_2850-57808","2","CHR","27","CHR-27",1,10,0.08,10,0,0.32258064516129,"CHR_27_2",1,"wp",3,4,"yes"
"2640-97331","2850-57881","2640-97331_2850-57881","1","CHR","29","CHR-29",0,6,3.021301671,6,5,0.238709677419355,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57881","2640-97331_2850-57881","2","CHR","27","CHR-27",0,10,3.332676517,0,14,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","unb-CHR-145","2640-97331_unb-CHR-145","2","CHR","27","CHR-27",0,10,15.54975474,1,-8,0.318996415770609,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","unb-CHR-145","2640-97331_unb-CHR-145","1","CHR","29","CHR-29",0,0,14.55059605,0,40,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","unb-CHR-76and12","2640-97331_unb-CHR-76and12","2","CHR","27","CHR-27",0,10,10.70336299,8,-2,0.293906810035842,"CHR_27_2",1,NA,0,4,"no"
