"uns_male","n_chick"
"BlueCloud-09_uns1",8
"Cooks-23_uns1",3
"Cooks-27_uns1",3
"Cooks-27_uns2",3
"Cooks-31_uns1",2
"Cooks-31_uns2",1
"Schaaps-24_uns1",1
"Schaaps-54_uns1",5
"Schaaps-54_uns2",1
"Schaaps-71_uns1",3
"Schaaps-71_uns2",1
"Schaaps-80_uns1",1
"Schaaps-80_uns2",1
"UrbanFarm-02_uns1",4
