"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","brood","site_type","fert","fert_type","clutch_size","site_size_dad","site_size_mom"
"CHR_93_2","2640-97588","2850-57730","CHR","CHR","CHR-093","CHR-093",2,"large",2,"wp",4,32,32
"CHR_93_2","2850-57653","2850-57730","CHR","CHR","CHR-045","CHR-093",2,"large",1,"ep_same",4,32,32
"CHR_93_2",NA,"2850-57730",NA,"CHR",NA,"CHR-093",2,"large",1,"dad_unk",4,NA,32
"CHR_95_2","2850-57731","2850-57650","CHR","CHR","CHR-032","CHR-025",2,"large",1,"ep_same",3,32,32
"CHR_95_2","2850-57881","2850-57650","CHR","CHR","CHR-025","CHR-025",2,"large",2,"wp",3,32,32
"CHR_96_1","2850-57808","2850-57568","CHR","CHR","CHR-029","CHR-096",1,"large",4,"ep_same",4,32,32
"CHR_96_2","2640-97589","2850-57568","CHR","CHR","CHR-102","CHR-096",2,"large",1,"ep_same",3,32,32
"CHR_96_2","2850-57570","2850-57568","CHR","CHR","CHR-133","CHR-096",2,"large",2,"ep_same",3,32,32
"CHR_97_1","2850-57589","2850-57583","CHR","CHR","CHR-097","CHR-097",1,"large",4,"wp",4,32,32
"CHR_99_1","2850-57578","2850-57883","CHR","CHR","CHR-099","CHR-099",1,"large",4,"wp",4,32,32
"CHR_99_2","2640-97589","2850-57883","CHR","CHR","CHR-102","CHR-099",2,"large",2,"ep_same",4,32,32
"CHR_99_2","2850-57578","2850-57883","CHR","CHR","CHR-099","CHR-099",2,"large",2,"wp",4,32,32
"Cathy's_2_2","2850-57666","2850-57667","Cathy's","Cathy's","Cathys-02","Cathys-02",2,"solitary",1,"wp",1,1,1
"Cook's_13_1","2850-57675",NA,"Cooks",NA,"Cooks-13",NA,1,"medium",4,"mom_unk",4,9,NA
"Cook's_14_2","2850-57573","2850-57663","Cooks","Cooks","Cooks-31","Cooks-31",2,"medium",4,"wp",4,9,9
"Cook's_17_1","2850-57673","2850-57672","Cooks","Cooks","Cooks-17","Cooks-17",1,"medium",2,"wp",4,9,9
"Cook's_17_1",NA,"2850-57672",NA,"Cooks",NA,"Cooks-17",1,"medium",2,"dad_unk",4,NA,9
"Cook's_27_1","2850-57673","2850-57664","Cooks","Cooks","Cooks-17","Cooks-27",1,"medium",1,"ep_same",3,9,9
"Cook's_27_1","2850-57676","2850-57664","Cooks","Cooks","Cooks-27","Cooks-27",1,"medium",2,"wp",3,9,9
"Cook's_29_1","2850-57619","2850-57853","Reinarz","Cooks","none","Cooks-29",1,"medium",2,"ep_diff",5,1,9
"Cook's_29_1","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29",1,"medium",2,"wp",5,9,9
"Cook's_29_1",NA,"2850-57853",NA,"Cooks",NA,"Cooks-29",1,"medium",1,"dad_unk",5,NA,9
"Cook's_2_1","2850-57633","2850-57637","Cooks","Cooks","Cooks-02","Cooks-02",1,"medium",1,"wp",1,9,9
"Cook's_31_1","2850-57573","2850-57663","Cooks","Cooks","Cooks-31","Cooks-31",1,"medium",3,"wp",3,9,9
"Cook's_33_1","2870-64915","2850-57700","Cooks","Cooks","Cooks-33","Cooks-33",1,"medium",4,"wp",4,9,9
"Cook's_4_1","2850-57574","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04",1,"medium",2,"wp",4,9,9
"Cook's_4_1",NA,"2850-57575",NA,"Cooks",NA,"Cooks-04",1,"medium",2,"dad_unk",4,NA,9
"Cook's_6_1",NA,"2850-57609",NA,"Cooks",NA,"Cooks-06",1,"medium",5,"dad_unk",5,NA,9
"Cook's_8_2","2850-57633","2850-57853","Cooks","Cooks","Cooks-02","Cooks-29",2,"medium",2,"ep_same",5,9,9
"Cook's_8_2","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29",2,"medium",3,"wp",5,9,9
"Dome House_1_1","2850-57643","2811-83207","Dome House","Dome House","DomeHouse-01","DomeHouse-01",1,"solitary",2,"wp",2,1,1
"Dome House_2_2",NA,"2811-83207",NA,"Dome House",NA,"DomeHouse-01",2,"solitary",2,"dad_unk",2,NA,1
"Karen's_1.2_2","2850-57662","2850-57661","Karen's","Karen's","Karens-01","Karens-01",2,"solitary",3,"wp",3,1,1
"Make Believe_13_1","2850-57877","2850-57878","Make Believe","Make Believe","MakeBelieve-13","MakeBelieve-13",1,"medium",3,"wp",3,7,7
"Make Believe_14_1","2350-21085","2850-57576","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-14",1,"medium",1,"ep_same",4,7,7
"Make Believe_14_1","2850-57518","2850-57576","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-14",1,"medium",3,"wp",4,7,7
"Make Believe_26_1","2350-21085","2850-57872","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-26",1,"medium",3,"ep_same",4,7,7
"Make Believe_26_1","2850-57518","2850-57872","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-26",1,"medium",1,"ep_same",4,7,7
"Make Believe_34_1","2350-21085","2850-57635","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-38",1,"medium",1,"ep_same",4,7,7
"Make Believe_34_1","2850-57518","2850-57635","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-38",1,"medium",1,"ep_same",4,7,7
"Make Believe_34_1","2850-57668","2850-57635","Make Believe","Make Believe","MakeBelieve-38","MakeBelieve-38",1,"medium",2,"wp",4,7,7
"Make Believe_38_2","2350-21085","2850-57635","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-38",2,"medium",3,"ep_same",4,7,7
"Make Believe_38_2","2850-57668","2850-57635","Make Believe","Make Believe","MakeBelieve-38","MakeBelieve-38",2,"medium",1,"wp",4,7,7
"Make Believe_48_2","2850-57873","2850-57872","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26",2,"medium",4,"wp",4,7,7
"Make Believe_69_2","2850-57518","2850-57576","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-14",2,"medium",2,"wp",2,7,7
"Make Believe_73_1","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-73",1,"medium",5,"wp",5,7,7
"Make Believe_73_2","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-73",2,"medium",2,"wp",5,7,7
"Make Believe_73_2",NA,"2640-97596",NA,"Make Believe",NA,"MakeBelieve-73",2,"medium",3,"dad_unk",5,NA,7
"Make Believe_8_1","2350-21085","2850-57874","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-08",1,"medium",1,"ep_same",2,7,7
"Make Believe_8_1","2850-57875","2850-57874","Make Believe","Make Believe","MakeBelieve-08","MakeBelieve-08",1,"medium",1,"wp",2,7,7
"Marte's_2_2","2850-57691","2850-57692","Marte's","Marte's","Marty-01","Marty-01",2,"solitary",3,"wp",3,1,1
"Marty's_1_1","2850-57691","2850-57692","Marte's","Marte's","Marty-01","Marty-01",1,"solitary",3,"wp",3,1,1
"Mary Ann's_1_2","2870-64916","2850-57550","Mary Ann's","Mary Ann's","MaryAnns-01","MaryAnns-01",2,"solitary",3,"wp",3,1,1
"McCauley_1_1","2850-57639","2850-57640","McCauley","McCauley","McCauley-01","McCauley-01",1,"small",2,"wp",2,2,2
"McCauley_2_2","2850-57752","2850-57640","McCauley","McCauley","McCauley-04","McCauley-01",2,"small",4,"ep_same",4,2,2
"McCauley_4_1","2850-57752","2850-57753","McCauley","McCauley","McCauley-04","McCauley-04",1,"small",4,"wp",4,2,2
"Speedwell_1_1","2850-57699","2850-57698","Speedwell","Speedwell","Speedwell-01","Speedwell-01",1,"solitary",2,"wp",4,1,1
"Speedwell_1_1",NA,"2850-57698",NA,"Speedwell",NA,"Speedwell-01",1,"solitary",2,"dad_unk",4,NA,1
"Struther's_10_1","2850-57552","2850-57551","Struthers","Struthers","Struthers-10","Struthers-10",1,"small",4,"wp",5,3,3
"Struther's_10_1",NA,"2850-57551",NA,"Struthers",NA,"Struthers-10",1,"small",1,"dad_unk",5,NA,3
"Struther's_20_2","2850-57552","2850-57551","Struthers","Struthers","Struthers-10","Struthers-10",2,"small",4,"wp",5,3,3
"Struther's_20_2",NA,"2850-57551",NA,"Struthers",NA,"Struthers-10",2,"small",1,"dad_unk",5,NA,3
"Struther's_3_2",NA,"2850-57645",NA,"Struthers",NA,"Struthers-03",2,"small",4,"dad_unk",4,NA,3
"Urban Farm_2_1","2850-57643","2850-57608","Dome House","Urban Farm Girlz","DomeHouse-01","UrbanFarm-02",1,"small",1,"ep_diff",3,1,2
"Urban Farm_2_1","2850-57899","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02",1,"small",2,"wp",3,2,2
"Urban Farm_8_1","2850-57868","2850-57629","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-08","UrbanFarm-08",1,"small",3,"wp",3,2,2
"Urban Farm_8_2","2850-57868","2850-57629","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-08","UrbanFarm-08",2,"small",1,"wp",4,2,2
"Urban Farm_8_2",NA,"2850-57629",NA,"Urban Farm Girlz",NA,"UrbanFarm-08",2,"small",3,"dad_unk",4,NA,2
