"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","Brood_ind2","site_cat","fert","fert_type","year"
"Urban Farm_8_2","2850-57868","2850-57629","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-08","UrbanFarm-08","2","small",1,"wp",2022
"Urban Farm_8_2","UrbanFarm-08_uns1","2850-57629",NA,"Urban Farm Girlz",NA,"UrbanFarm-08","2","small",3,"ep_diff",2022
"Blue Cloud_14_1","2850-57614","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-22","BlueCloud-22","1","medium",2,"wp",2023
"Blue Cloud_18.2_1","BlueCloud-18_uns1","2850-57869",NA,"Blue Cloud",NA,"BlueCloud-18","1","medium",3,"ep_diff",2023
"Blue Cloud_18.2_1","BlueCloud-18_uns2","2850-57869",NA,"Blue Cloud",NA,"BlueCloud-18","1","medium",1,"ep_diff",2023
"Blue Cloud_18_collected","2640-97548","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-18","collected","medium",2,"wp",2023
"Blue Cloud_18_collected","2850-57901","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-06","BlueCloud-18","collected","medium",2,"ep_same",2023
"Blue Cloud_1_1","2850-57947","2850-57946","Blue Cloud","Blue Cloud","Nixon-01","Nixon-01","1","medium",4,"wp",2023
"Blue Cloud_22_collected","2850-57901","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-06","BlueCloud-22","collected","medium",3,"ep_same",2023
"Blue Cloud_4.2_1","2850-57659","2850-57928","Blue Cloud","Blue Cloud","BlueCloud-04","BlueCloud-04","1","medium",4,"wp",2023
"Blue Cloud_6.2_1","2640-97548","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-06","1","medium",1,"ep_same",2023
"Blue Cloud_6.2_1","2850-57901","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-06","BlueCloud-06","1","medium",5,"wp",2023
"Blue Cloud_6_collected","2850-57901","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-06","BlueCloud-06","collected","medium",2,"wp",2023
"Boyer_13.2_1","2870-64906","2850-57685","Boyer","Boyer","Boyer-09","Boyer-05","1","medium",2,"ep_same",2023
"Boyer_13_collected","2850-57686","2850-57688","Boyer","Boyer","Boyer-13","Boyer-13","collected","medium",5,"wp",2023
"Boyer_14.2_1","2850-57935","2870-65015","Boyer","Boyer","Boyer-14","Boyer-14","1","medium",2,"wp",2023
"Boyer_14_collected","2850-57935","2870-65015","Boyer","Boyer","Boyer-14","Boyer-14","collected","medium",4,"wp",2023
"Boyer_15_1","2850-57686","2850-57688","Boyer","Boyer","Boyer-13","Boyer-13","1","medium",3,"wp",2023
"Boyer_16_2","2850-57686","2850-57685","Boyer","Boyer","Boyer-05","Boyer-05","2","medium",2,"wp",2023
"Boyer_16_2","2870-65016","2850-57685","Boyer","Boyer","Boyer-03","Boyer-05","2","medium",1,"ep_same",2023
"Boyer_16_2","Boyer-02_uns1","2850-57685",NA,"Boyer",NA,"Boyer-05","2","medium",1,"ep_diff",2023
"Boyer_2.2_1","2870-65014","2850-57687","Boyer","Boyer","Boyer-02","Boyer-02","1","medium",1,"wp",2023
"Boyer_2.3_2","Boyer-02_uns1","2850-57687",NA,"Boyer",NA,"Boyer-02","2","medium",3,"ep_diff",2023
"Boyer_2_collected","2850-57686","2850-57687","Boyer","Boyer","Boyer-13","Boyer-02","collected","medium",2,"ep_same",2023
"Boyer_2_collected","2870-65014","2850-57687","Boyer","Boyer","Boyer-02","Boyer-02","collected","medium",2,"wp",2023
"Boyer_3.2_1","2870-65016","2850-57934","Boyer","Boyer","Boyer-03","Boyer-03","1","medium",1,"wp",2023
"Boyer_3.2_1","UrbanFarm-08_uns1","2850-57934",NA,"Boyer",NA,"Boyer-03","1","medium",2,"ep_diff",2023
"Boyer_3_collected","2870-65016","2850-57934","Boyer","Boyer","Boyer-03","Boyer-03","collected","medium",4,"wp",2023
"Boyer_4_2","2850-57953","2850-57934","Cathys","Boyer","Cathys-01","Boyer-03","2","medium",3,"ep_diff",2023
"Boyer_5_collected","2850-57686","2850-57685","Boyer","Boyer","Boyer-05","Boyer-05","collected","medium",5,"wp",2023
"Boyer_9.2_1","2870-64906","2811-06861","Boyer","Boyer","Boyer-09","Boyer-09","1","medium",4,"wp",2023
"Boyer_9.2_1","Boyer-09_uns1","2811-06861",NA,"Boyer",NA,"Boyer-09","1","medium",1,"ep_diff",2023
"Boyer_9_collected","2870-64906","2811-06861","Boyer","Boyer","Boyer-09","Boyer-09","collected","medium",5,"wp",2023
"Cathys_1_1","2850-57953","2850-57954","Cathys","Cathys","Cathys-01","Cathys-01","1","solitary",4,"wp",2023
"Cathys_2_2","2850-57953","2850-57954","Cathys","Cathys","Cathys-01","Cathys-01","2","solitary",2,"wp",2023
"Cooks_17.2_2","Cooks-29_uns1","2850-57948",NA,"Cooks",NA,"Cooks-15","2","medium",3,"ep_diff",2023
"Cooks_17_1","2811-83118","2850-57948","Cooks","Cooks","Cooks-15","Cooks-15","1","medium",4,"wp",2023
"Cooks_17_1","Cooks-15_uns1","2850-57948",NA,"Cooks",NA,"Cooks-15","1","medium",1,"ep_diff",2023
"Cooks_29_collected","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29","collected","medium",3,"wp",2023
"Cooks_29_collected","Cooks-29_uns1","2850-57853",NA,"Cooks",NA,"Cooks-29","collected","medium",1,"ep_diff",2023
"Cooks_2_collected","2850-57574","2850-57931","Cooks","Cooks","Cooks-02","Cooks-02","collected","medium",3,"wp",2023
"Cooks_2_collected","2850-57638","2850-57931","Cooks","Cooks","Cooks-29","Cooks-02","collected","medium",2,"ep_same",2023
"Cooks_2_collected","Cooks-02_uns1","2850-57931",NA,"Cooks",NA,"Cooks-02","collected","medium",1,"ep_diff",2023
"Cooks_36.2_2","2850-57642","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","2","medium",2,"wp",2023
"Cooks_36.2_2","Cooks-04_uns1","2850-57575",NA,"Cooks",NA,"Cooks-04","2","medium",2,"ep_diff",2023
"Cooks_36_1","2850-57642","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","1","medium",5,"wp",2023
"Cooks_4.2_1","2850-57772","2850-57771","Cooks","Cooks","Cooks-02.2","Cooks-04.2","1","medium",1,"ep_same",2023
"Cooks_4.2_1","Cooks-04.2_uns1","2850-57771",NA,"Cooks",NA,"Cooks-04.2","1","medium",2,"ep_diff",2023
"Cooks_4_collected","2850-57574","2850-57575","Cooks","Cooks","Cooks-02","Cooks-04","collected","medium",3,"ep_same",2023
"Cooks_4_collected","2850-57642","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","collected","medium",2,"wp",2023
"Jays_1.2_2","2811-83229","2850-57952","Jays","Jays","Jays-01","Jays-01","2","solitary",3,"wp",2023
"Jays_1_1","2811-83229","2850-57952","Jays","Jays","Jays-01","Jays-01","1","solitary",2,"wp",2023
"Jays_1_1","2850-57967","2850-57952","Green Mill","Jays","none","Jays-01","1","solitary",3,"ep_diff",2023
"Karens_1_1","2850-57677","2850-57956","Karens","Karens","Karens-01","Karens-01","1","solitary",5,"wp",2023
"Make Believe_31_collected","2850-57877","2850-57878","Make Believe","Make Believe","MakeBelieve-31","MakeBelieve-31","collected","medium",4,"wp",2023
"Make Believe_69_collected","2850-57518","2850-57941","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","collected","medium",5,"wp",2023
"Make Believe_70.3_2","2350-21085","2850-57878","Make Believe","Make Believe","MakeBelieve-70.3","MakeBelieve-70.3","2","medium",2,"wp",2023
"Make Believe_70_collected","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-70","MakeBelieve-70","collected","medium",5,"wp",2023
"Make Believe_72_1","2850-57518","2850-57941","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","1","medium",3,"wp",2023
"Make Believe_74.2_1","2850-57937","2850-57939","Make Believe","Make Believe","MakeBelieve-74","MakeBelieve-74","1","medium",2,"wp",2023
"Make Believe_74.2_1","MakeBelieve-74_uns1","2850-57939",NA,"Make Believe",NA,"MakeBelieve-74","1","medium",2,"ep_diff",2023
"Make Believe_74_collected","2850-57937","2850-57939","Make Believe","Make Believe","MakeBelieve-74","MakeBelieve-74","collected","medium",4,"wp",2023
"Make Believe_8_2","2850-57937","2850-57939","Make Believe","Make Believe","MakeBelieve-74","MakeBelieve-74","2","medium",5,"wp",2023
"Plumbumpy_1_1","2850-57944","2850-57945","Plumbumpy","Plumbumpy","Plum-01","Plum-01","1","solitary",5,"wp",2023
"Red Wagon_1_1","2850-57977","2850-57978","Red Wagon","Red Wagon","RedWagon-01","RedWagon-01","1","solitary",1,"wp",2023
"Speedwell_1.2_2","2850-57949","2850-57950","Speedwell","Speedwell","Speedwell-01","Speedwell-01","2","solitary",3,"wp",2023
"Speedwell_1_1","2850-57949","2850-57950","Speedwell","Speedwell","Speedwell-01","Speedwell-01","1","solitary",3,"wp",2023
"Speedwell_1_1","Speedwell-01_uns1","2850-57950",NA,"Speedwell",NA,"Speedwell-01","1","solitary",1,"ep_diff",2023
"Struthers_23_1","2850-57684","2850-57943","Struthers","Struthers","Struthers-23","Struthers-23","1","small",2,"wp",2023
"Struthers_24_1","2850-57552","2850-57551","Struthers","Struthers","Struthers-24","Struthers-24","1","small",3,"wp",2023
"Struthers_24_1","2850-57659","2850-57551","Blue Cloud","Struthers","BlueCloud-04","Struthers-24","1","small",1,"ep_diff",2023
"Struthers_25_2","2850-57552","2850-57551","Struthers","Struthers","Struthers-24","Struthers-24","2","small",2,"wp",2023
"Struthers_25_2","2850-57674","2850-57551","Struthers","Struthers","Struthers-03","Struthers-24","2","small",1,"ep_same",2023
"Struthers_3_1","2850-57674","2850-57683","Struthers","Struthers","Struthers-03","Struthers-03","1","small",3,"wp",2023
"Struthers_5_2","2850-57674","2850-57683","Struthers","Struthers","Struthers-03","Struthers-03","2","small",3,"wp",2023
