"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","Brood_ind2","site_cat","fert","fert_type","year"
"CHR_27_2","2850-57808","2640-97331","CHR","CHR","CHR-029","CHR-029","2","large",3,"wp",2022
"CHR_29_1","2640-97588","2640-97331","CHR","CHR","CHR-093","CHR-029","1","large",2,"ep_same",2022
"CHR_29_1","2850-57808","2640-97331","CHR","CHR","CHR-029","CHR-029","1","large",2,"wp",2022
"CHR_32_1","2850-57731","2640-97358","CHR","CHR","CHR-032","CHR-032","1","large",4,"wp",2022
"CHR_32_1","2850-57808","2640-97358","CHR","CHR","CHR-029","CHR-032","1","large",1,"ep_same",2022
"CHR_32_3","2850-57731","2640-97358","CHR","CHR","CHR-032","CHR-032","3","large",2,"wp",2022
"CHR_37_1","2850-57806","2850-57735","CHR","CHR","CHR-037","CHR-037","1","large",1,"wp",2022
"CHR_37_1","2850-57808","2850-57735","CHR","CHR","CHR-029","CHR-037","1","large",2,"ep_same",2022
"CHR_39_1","2850-57620","2850-57649","CHR","CHR","CHR-039","CHR-039","1","large",4,"wp",2022
"CHR_39_2","2850-57620","2850-57649","CHR","CHR","CHR-039","CHR-039","2","large",4,"wp",2022
"CHR_43_1","2850-57567","2850-57736","CHR","CHR","CHR-043","CHR-043","1","large",5,"wp",2022
"CHR_45_2","2850-57889","2850-57588","Mayas","CHR","none","CHR-045","2","large",2,"ep_diff",2022
"CHR_45_2","CHR-045_uns1","2850-57588",NA,"CHR",NA,"CHR-045","2","large",2,"ep_diff",2022
"CHR_4_1","2850-57581","2850-57585","CHR","CHR","CHR-066","CHR-004","1","large",2,"ep_same",2022
"CHR_4_1","2850-57806","2850-57585","CHR","CHR","CHR-037","CHR-004","1","large",1,"ep_same",2022
"CHR_4_2","2811-83208","2850-57585","CHR","CHR","CHR-004","CHR-004","2","large",1,"wp",2022
"CHR_4_2","2850-57581","2850-57585","CHR","CHR","CHR-066","CHR-004","2","large",1,"ep_same",2022
"CHR_52_2","2850-57742","2850-57846","CHR","CHR","CHR-110","CHR-110","2","large",1,"wp",2022
"CHR_52_2","CHR-110_uns1","2850-57846",NA,"CHR",NA,"CHR-110","2","large",1,"ep_diff",2022
"CHR_58_1","2850-57808","2850-57571","CHR","CHR","CHR-029","CHR-058","1","large",3,"ep_same",2022
"CHR_58_1","2850-57880","2850-57571","CHR","CHR","CHR-139","CHR-058","1","large",1,"ep_same",2022
"CHR_66_1","2850-57733","2850-57652","CHR","CHR","CHR-011","CHR-066","1","large",2,"ep_same",2022
"CHR_6_2","2850-57581","2850-57746","CHR","CHR","CHR-066","CHR-074","2","large",2,"ep_same",2022
"CHR_6_2","2850-57582","2850-57746","CHR","CHR","CHR-074","CHR-074","2","large",1,"wp",2022
"CHR_6_2","CHR-074_uns2","2850-57746",NA,"CHR",NA,"CHR-074","2","large",1,"ep_diff",2022
"CHR_73_1","2850-57577","2850-57670","CHR","CHR","CHR-128","CHR-073","1","large",1,"ep_same",2022
"CHR_73_1","2850-57671","2850-57670","CHR","CHR","CHR-073","CHR-073","1","large",4,"wp",2022
"CHR_74_1","2850-57582","2850-57746","CHR","CHR","CHR-074","CHR-074","1","large",2,"wp",2022
"CHR_74_1","CHR-074_uns1","2850-57746",NA,"CHR",NA,"CHR-074","1","large",1,"ep_diff",2022
"CHR_78_1","2640-97589","2850-57656","CHR","CHR","CHR-102","CHR-078","1","large",3,"ep_same",2022
"CHR_78_1","2850-57744","2850-57656","CHR","CHR","CHR-078","CHR-078","1","large",2,"wp",2022
"CHR_80_1","2850-57580","2850-57654","CHR","CHR","CHR-080","CHR-080","1","large",2,"wp",2022
"CHR_80_1","2850-57589","2850-57654","CHR","CHR","CHR-097","CHR-080","1","large",1,"ep_same",2022
"CHR_80_1","2850-57733","2850-57654","CHR","CHR","CHR-011","CHR-080","1","large",1,"ep_same",2022
"CHR_93_1","2640-97588","2850-57730","CHR","CHR","CHR-093","CHR-093","1","large",5,"wp",2022
"CHR_93_2","2640-97588","2850-57730","CHR","CHR","CHR-093","CHR-093","2","large",2,"wp",2022
"CHR_93_2","2850-57653","2850-57730","CHR","CHR","CHR-045","CHR-093","2","large",1,"ep_same",2022
"CHR_93_2","CHR-074_uns2","2850-57730",NA,"CHR",NA,"CHR-093","2","large",1,"ep_diff",2022
"CHR_95_2","2850-57731","2850-57650","CHR","CHR","CHR-032","CHR-025","2","large",1,"ep_same",2022
"CHR_95_2","2850-57881","2850-57650","CHR","CHR","CHR-025","CHR-025","2","large",2,"wp",2022
"CHR_96_1","2850-57808","2850-57568","CHR","CHR","CHR-029","CHR-096","1","large",4,"ep_same",2022
"CHR_96_2","2640-97589","2850-57568","CHR","CHR","CHR-102","CHR-096","2","large",1,"ep_same",2022
"CHR_96_2","2850-57570","2850-57568","CHR","CHR","CHR-133","CHR-096","2","large",2,"ep_same",2022
"CHR_97_1","2850-57589","2850-57583","CHR","CHR","CHR-097","CHR-097","1","large",4,"wp",2022
"CHR_99_1","2850-57578","2850-57883","CHR","CHR","CHR-099","CHR-099","1","large",4,"wp",2022
"CHR_99_2","2640-97589","2850-57883","CHR","CHR","CHR-102","CHR-099","2","large",2,"ep_same",2022
"CHR_99_2","2850-57578","2850-57883","CHR","CHR","CHR-099","CHR-099","2","large",2,"wp",2022
"Cathy's_2_2","2850-57666","2850-57667","Cathy's","Cathy's","Cathys-02","Cathys-02","2","solitary",1,"wp",2022
"Cook's_13_1","2850-57675",NA,"Cooks",NA,"Cooks-13",NA,"1","medium",4,"wp",2022
"Cook's_14_2","2850-57573","2850-57663","Cooks","Cooks","Cooks-31","Cooks-31","2","medium",4,"wp",2022
"Cook's_17_1","2850-57673","2850-57672","Cooks","Cooks","Cooks-17","Cooks-17","1","medium",2,"wp",2022
"Cook's_17_1","Cooks-17_uns1","2850-57672",NA,"Cooks",NA,"Cooks-17","1","medium",2,"ep_diff",2022
"Cook's_27_1","2850-57673","2850-57664","Cooks","Cooks","Cooks-17","Cooks-27","1","medium",1,"ep_same",2022
"Cook's_27_1","2850-57676","2850-57664","Cooks","Cooks","Cooks-27","Cooks-27","1","medium",2,"wp",2022
"Cook's_29_1","2850-57619","2850-57853","Reinarz","Cooks","none","Cooks-29","1","medium",2,"ep_diff",2022
"Cook's_29_1","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29","1","medium",2,"wp",2022
"Cook's_29_1","Cooks-29_uns1","2850-57853",NA,"Cooks",NA,"Cooks-29","1","medium",1,"ep_diff",2022
"Cook's_2_1","2850-57633","2850-57637","Cooks","Cooks","Cooks-02","Cooks-02","1","medium",1,"wp",2022
"Cook's_31_1","2850-57573","2850-57663","Cooks","Cooks","Cooks-31","Cooks-31","1","medium",3,"wp",2022
"Cook's_33_1","2870-64915","2850-57700","Cooks","Cooks","Cooks-33","Cooks-33","1","medium",4,"wp",2022
"Cook's_4_1","2850-57574","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","1","medium",2,"wp",2022
"Cook's_4_1","Cooks-04_uns1","2850-57575",NA,"Cooks",NA,"Cooks-04","1","medium",2,"ep_diff",2022
"Cook's_6_1","Cooks-06_uns1","2850-57609",NA,"Cooks",NA,"Cooks-06","1","medium",5,"ep_diff",2022
"Cook's_8_2","2850-57633","2850-57853","Cooks","Cooks","Cooks-02","Cooks-29","2","medium",2,"ep_same",2022
"Cook's_8_2","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29","2","medium",3,"wp",2022
"Dome House_1_1","2850-57643","2811-83207","Dome House","Dome House","DomeHouse-01","DomeHouse-01","1","solitary",2,"wp",2022
"Dome House_2_2","DomeHouse-01_uns1","2811-83207",NA,"Dome House",NA,"DomeHouse-01","2","solitary",2,"ep_diff",2022
"Karen's_1.2_2","2850-57662","2850-57661","Karen's","Karen's","Karens-01","Karens-01","2","solitary",3,"wp",2022
"Make Believe_13_1","2850-57877","2850-57878","Make Believe","Make Believe","MakeBelieve-13","MakeBelieve-13","1","medium",3,"wp",2022
"Make Believe_14_1","2350-21085","2850-57576","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-14","1","medium",1,"ep_same",2022
"Make Believe_14_1","2850-57518","2850-57576","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-14","1","medium",3,"wp",2022
"Make Believe_26_1","2350-21085","2850-57872","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-26","1","medium",3,"ep_same",2022
"Make Believe_26_1","2850-57518","2850-57872","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-26","1","medium",1,"ep_same",2022
"Make Believe_34_1","2350-21085","2850-57635","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-38","1","medium",1,"ep_same",2022
"Make Believe_34_1","2850-57518","2850-57635","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-38","1","medium",1,"ep_same",2022
"Make Believe_34_1","2850-57668","2850-57635","Make Believe","Make Believe","MakeBelieve-38","MakeBelieve-38","1","medium",2,"wp",2022
"Make Believe_38_2","2350-21085","2850-57635","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-38","2","medium",3,"ep_same",2022
"Make Believe_38_2","2850-57668","2850-57635","Make Believe","Make Believe","MakeBelieve-38","MakeBelieve-38","2","medium",1,"wp",2022
"Make Believe_48_2","2850-57873","2850-57872","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","2","medium",4,"wp",2022
"Make Believe_69_2","2850-57518","2850-57576","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-14","2","medium",2,"wp",2022
"Make Believe_73_1","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-73","1","medium",5,"wp",2022
"Make Believe_73_2","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-73","2","medium",2,"wp",2022
"Make Believe_73_2","MakeBelieve-73_uns1","2640-97596",NA,"Make Believe",NA,"MakeBelieve-73","2","medium",3,"ep_diff",2022
"Make Believe_8_1","2350-21085","2850-57874","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-08","1","medium",1,"ep_same",2022
"Make Believe_8_1","2850-57875","2850-57874","Make Believe","Make Believe","MakeBelieve-08","MakeBelieve-08","1","medium",1,"wp",2022
"Marte's_2_2","2850-57691","2850-57692","Marte's","Marte's","Marty-01","Marty-01","2","solitary",3,"wp",2022
"Marty's_1_1","2850-57691","2850-57692","Marte's","Marte's","Marty-01","Marty-01","1","solitary",3,"wp",2022
"Mary Ann's_1_2","2870-64916","2850-57550","Mary Ann's","Mary Ann's","MaryAnns-01","MaryAnns-01","2","solitary",3,"wp",2022
"McCauley_1_1","2850-57639","2850-57640","McCauley","McCauley","McCauley-01","McCauley-01","1","small",2,"wp",2022
"McCauley_2_2","2850-57752","2850-57640","McCauley","McCauley","McCauley-04","McCauley-01","2","small",4,"ep_same",2022
