band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,TS,TS_scaled,throat_avg_bright_scaled,breast_avg_bright_scaled,belly_avg_bright_scaled,vent_avg_bright_scaled
2640-97331,Colorado Horse Rescue,F?,2022-06-17,119,119,119,Y,Y,79,79,79,80,80,79.5,16.76,NA,NA,NA,NA,29,2850-57808,2022-05-18,5,27,2850-57808,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,2022,138,186,NA,NA,119,79.83333333,79,79.83333333,0.564019367,-2.002091962,-1.055910179,-1.191318514,-1.167017767
2640-97358,Colorado Horse Rescue,F,2022-06-17,115,115,115,Y,Y,76.5,76.5,76.5,73,73,73,16.83,NA,NA,NA,NA,32,2850-57731,2022-05-13,5,109,2850-57731,2022-07-01,4,32.2,2850-57731,2022-08-11,3,NA,,NA,NA,13.77641409,0.537489733,659.167,27635.48667,19.740555,0.495234064,642.151,39599.55333,21.14287305,0.469501946,651.4403333,42412.60333,22.67428049,0.46988128,671.7466667,45484.60667,2022,133,182,223,NA,115,73,76.5,73,-1.17504035,-0.720064302,-0.918055636,-0.855857805,-0.605622665
2811-38984,Colorado Horse Rescue,F,2022-06-17,116,116,116,Y,Y,81.5,81.5,81.5,81.5,81.5,81.5,15.8,17.89,2022-07-21,NA,NA,102,2640-97589,2022-05-16,5,102.2,2640-97589,2022-07-04,5,NA,,NA,NA,NA,,NA,NA,14.51881356,0.515995203,679.458,29124.74,20.07807245,0.466369752,606.3786667,40276.61333,23.66085577,0.458228381,627.3723333,47463.67667,25.18879362,0.489744034,662.7626667,50528.72,2022,136,185,NA,NA,116,81.5,81.5,81.5,0.988180275,-0.478534822,-0.867541508,-0.322416673,-0.239334541
2811-83409,Colorado Horse Rescue,F,2022-06-20,112,112,112,Y,Y,73,73.5,73,73,73,73,16.9,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,13.07540379,0.52809376,677.7843333,26229.26,35.11587238,0.427162013,626.04,70442.44,35.97691093,0.422069153,597.723,72169.68333,30.50786972,0.441458139,609.7223333,61198.78667,2022,NA,NA,NA,NA,112,73,73.16666667,73,-1.17504035,-0.948128383,1.383072074,2.286771369,0.535493153
2850-57568,Colorado Horse Rescue,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,79.5,79.5,79.5,15.37,NA,NA,NA,NA,96,2850-57806,2022-05-18,5,96.2,2850-57806,2022-07-10,5,NA,,NA,NA,NA,,NA,NA,15.13231971,0.50506128,659.167,30355.43333,25.47213526,0.452418429,642.151,51097.10333,23.5398787,0.430572869,625.7763333,47220.99667,23.32200897,0.497056741,659.167,46783.95,2022,138,191,NA,NA,118,79.5,NA,79.5,0.479187187,-0.278939015,-0.060245821,-0.348045977,-0.511268316
2850-57571,Colorado Horse Rescue,F,2022-06-17,119,119.5,119,Y,N,86,86,85.5,79.5,79,79,20.23,NA,NA,NA,NA,58,2850-57579,2022-05-24,4,139,2850-57880,2022-06-18,4,NA,,NA,NA,NA,,NA,NA,16.76718677,0.503477031,659.167,33634.97667,24.15598039,0.482387459,642.4716667,48456.89667,22.57087571,0.47703029,625.7763333,45277.17667,14.77255068,0.53662753,666.1736667,29633.73667,2022,144,169,NA,NA,119.1666667,79.16666667,85.83333333,79.16666667,0.394355006,0.252942548,-0.257226499,-0.553331759,-1.756664494
2850-57583,Colorado Horse Rescue,F,2022-06-17,114.5,114,114.5,Y,Y,79,79,79,79,79.5,79,17.7,NA,NA,NA,NA,97,2850-57589,2022-05-28,5,19,2850-57589,2022-06-20,4,NA,,NA,NA,NA,,NA,NA,15.31283815,0.525054732,667.7976667,30717.55333,21.03828348,0.492798435,600.0436667,42202.79667,20.55429379,0.481698876,611.004,41231.91333,27.90630608,0.467220258,622.747,55980.05,2022,148,171,NA,NA,114.3333333,79.16666667,79,79.16666667,0.394355006,-0.220209818,-0.723832721,-0.980549839,0.156524415
2850-57584,Colorado Horse Rescue,F,2022-06-17,113,113,113,Y,Y,73.5,74,74,74,74.5,74,17.9,NA,NA,NA,NA,7,unknown,2022-06-04,5,9,UNB,2022-06-23,4,NA,,NA,NA,NA,,NA,NA,21.23281489,0.505151263,626.7313333,42593.02667,37.2640545,0.421697613,610.363,74751.69333,37.56075607,0.391313514,609.7216667,75346.87667,35.84068794,0.457763047,625.7763333,71896.42,2022,155,174,NA,NA,113,74.16666667,73.83333333,74.16666667,-0.878127714,1.705773376,1.704577073,2.622313046,1.312322655
2850-57585,Colorado Horse Rescue,F,2022-06-17,121,121,121,Y,Y,76,76,76,76,76,76,15.5,NA,NA,NA,NA,4,2811-83208,2022-05-31,4,4.2,2811-83208,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,15.49893652,0.532900141,628.063,31090.86667,38.8499435,0.434593729,588.369,77932.98667,25.59709704,0.444705538,599.3946667,51347.77667,38.00804752,0.431624901,610.0426667,76244.14333,2022,151,200,NA,NA,121,76,76,76,-0.411550718,-0.159665267,1.941927174,0.087781033,1.62804106
2850-57586,Colorado Horse Rescue,F,2022-06-20,116.5,116.5,116.5,Y,Y,78.5,79,79,79,79,78.5,19.4,20.15,2022-07-21,NA,NA,33,2850-57669,2022-05-31,5,33.2,2850-57669,2022-07-06,1,149,2850-57669,2022-07-24,5,NA,,NA,NA,17.96382021,0.500664057,660.109,36035.42333,26.27044201,0.422343167,626.7316667,52698.50667,21.9191675,0.402461873,653.417,43969.85,27.17472416,0.452700011,632.7803333,54512.49667,2022,151,187,205,NA,116.5,78.83333333,78.83333333,78.83333333,0.309522823,0.642250817,0.059231764,-0.691397824,0.049955169
