"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_T014",0.984,0.014,0.002,0.009,55874,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"T014","Blue Cloud","kid","BlueCloud-19",19,1,"Blue Cloud_19_1"
"CO_57659","CO_34041",0.98,0.02,0.001,0.011,55553,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34041","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_57659","CO_83079",0.98,0.02,0,0.01,59964,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83079","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"CO_57659","CO_83080",0.982,0.018,0,0.009,55276,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83080","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"CO_57659","CO_33610",0.982,0.018,0,0.009,63665,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33610","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_57659","CO_33612",0.983,0.015,0.002,0.009,56382,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33612","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_57659","CO_33611",0.987,0.012,0.001,0.007,66160,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33611","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_57659","CO_34088",0.974,0.023,0.002,0.014,58950,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34088","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_57659","CO_33639",0.984,0.008,0.009,0.013,56534,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33639","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_57659","CO_34089",0.976,0.018,0.006,0.015,58085,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34089","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_57659","CO_33637",0.988,0.01,0.002,0.007,62487,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33637","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_57659","CO_33640",0.979,0.009,0.011,0.016,60315,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33640","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_57659","CO_33638",0.979,0.018,0.004,0.012,58039,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33638","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_57659","CO_83141",0.984,0.01,0.006,0.011,59205,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83141","Cathy's","kid","Cathys-02",2,2,"Cathy's_2_2"
"CO_57659","CO_33641",0.981,0.018,0.001,0.01,61237,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33641","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_57659","CO_83277",0.977,0.018,0.005,0.014,60758,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83277","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_57659","CO_83278",0.985,0.014,0.001,0.008,60478,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83278","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_57659","CO_83145",0.992,0.002,0.006,0.007,58364,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83145","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_57659","CO_83279",0.982,0.015,0.002,0.01,58801,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83279","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_57659","CO_83437",0.979,0.019,0.002,0.012,60068,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83437","CHR","kid","CHR-004",4,2,"CHR_4_2"
"CO_57659","CO_83144",0.992,0.008,0,0.004,67205,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83144","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_57659","CO_83438",0.98,0.019,0.001,0.011,59209,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83438","CHR","kid","CHR-004",4,2,"CHR_4_2"
"CO_57659","CO_83143",0.987,0.013,0,0.007,60232,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83143","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_57659","CO_83142",0.987,0.012,0,0.007,61389,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83142","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_57659","CO_83241",0.982,0.018,0.001,0.009,55323,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83241","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_57659","CO_83242",0.983,0.015,0.002,0.009,61882,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83242","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_57659","CO_83243",0.989,0.011,0,0.006,59391,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83243","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_57659","CO_33655",0.98,0.018,0.002,0.011,61593,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_57659","CO_83244",0.981,0.017,0.002,0.011,50817,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83244","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_57659","CO_33657",0.986,0.013,0,0.007,58563,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33657","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_57659","CO_34094",0.983,0.01,0.007,0.012,51106,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34094","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_57659","CO_33656",0.982,0.017,0.001,0.009,61772,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33656","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_57659","CO_34002",0.989,0.011,0.001,0.006,61151,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34002","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_57659","CO_34001",0.984,0.014,0.001,0.009,56714,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34001","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_57659","CO_34003",0.99,0.01,0,0.005,55961,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34003","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_57659","CO_34004",0.99,0.01,0,0.005,54691,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34004","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_57659","CO_83061",0.977,0.02,0.004,0.013,53835,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83061","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_57659","CO_34096",0.985,0.012,0.003,0.009,62038,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34096","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_57659","CO_34095",0.989,0.011,0,0.005,60672,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34095","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_57659","CO_34097",0.965,0.031,0.004,0.019,61239,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34097","CHR","kid","CHR-029",27,2,"CHR_27_2"
