"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_34003","2881-34003","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_34004","2881-34004","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_34094","2881-34094","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_34095","2881-34095","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_34096","2881-34096","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_34097","2881-34097","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_83061","2811-83061","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83062","2811-83062","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83063","2811-83063","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83064","2811-83064","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83065","2811-83065","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83146","2811-83146","CHR","kid","CHR-032",32,3,"CHR_32_3"
"CO_83147","2811-83147","CHR","kid","CHR-032",32,3,"CHR_32_3"
"CO_83095","2811-83095","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_83096","2811-83096","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_83097","2811-83097","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_33631","2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_83122","2811-83122","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_83123","2811-83123","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_83124","2811-83124","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_83125","2811-83125","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_83341","2811-83341","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_83342","2811-83342","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_83343","2811-83343","CHR","kid","CHR-039",39,2,"CHR_39_2"
