"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"10722","CO_57581","CO_83278",0.282,0.608,0.111,0.414,61369,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83278","CHR","kid","CHR-004",4,1,"CHR_4_1"
"10775","CO_57581","CO_83325",0.166,0.785,0.049,0.441,66941,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83325","CHR","kid","CHR-066",16,2,"CHR_16_2"
"10777","CO_57581","CO_83323",0.282,0.588,0.129,0.423,62132,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83323","CHR","kid","CHR-066",16,2,"CHR_16_2"
"10783","CO_57581","CO_83324",0.291,0.578,0.131,0.42,63580,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83324","CHR","kid","CHR-066",16,2,"CHR_16_2"
"10787","CO_57581","CO_83326",0.254,0.641,0.105,0.425,61910,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83326","CHR","kid","CHR-066",16,2,"CHR_16_2"
"10789","CO_57581","CO_33677",0.295,0.565,0.14,0.423,61679,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2881-33677","CHR","kid","CHR-074",6,2,"CHR_6_2"
"10792","CO_57581","CO_33678",0.26,0.645,0.095,0.417,63564,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2881-33678","CHR","kid","CHR-074",6,2,"CHR_6_2"
"11243","CO_57671","CO_34031",0.265,0.605,0.13,0.433,62008,"2850-57671","CHR","dad","CHR-073",NA,NA,NA,"2881-34031","CHR","kid","CHR-073",73,1,"CHR_73_1"
"11245","CO_57671","CO_T002",0.31,0.553,0.137,0.413,55018,"2850-57671","CHR","dad","CHR-073",NA,NA,NA,"T002","CHR","kid","CHR-073",73,1,"CHR_73_1"
"11250","CO_57671","CO_34030",0.236,0.684,0.08,0.422,64071,"2850-57671","CHR","dad","CHR-073",NA,NA,NA,"2881-34030","CHR","kid","CHR-073",73,1,"CHR_73_1"
"11253","CO_57671","CO_34032",0.262,0.632,0.106,0.422,57410,"2850-57671","CHR","dad","CHR-073",NA,NA,NA,"2881-34032","CHR","kid","CHR-073",73,1,"CHR_73_1"
"11982","CO_57582","CO_83275",0.324,0.515,0.161,0.418,56188,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2811-83275","CHR","kid","CHR-074",74,1,"CHR_74_1"
"11983","CO_57582","CO_83275",0.324,0.515,0.161,0.418,56188,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2811-83275","CHR","kid","CHR-074",74,1,"CHR_74_1"
"11984","CO_57582","CO_33679",0.293,0.584,0.123,0.415,62121,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"11985","CO_57582","CO_33679",0.293,0.584,0.123,0.415,62121,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"11992","CO_57582","CO_83276",0.303,0.557,0.14,0.419,57743,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2811-83276","CHR","kid","CHR-074",74,1,"CHR_74_1"
"11993","CO_57582","CO_83276",0.303,0.557,0.14,0.419,57743,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2811-83276","CHR","kid","CHR-074",74,1,"CHR_74_1"
"12098","CO_57582","CO_33698",0.277,0.577,0.146,0.435,51275,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33698","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12099","CO_57582","CO_33698",0.277,0.577,0.146,0.435,51275,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33698","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12122","CO_57582","CO_33696",0.309,0.512,0.179,0.435,56694,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33696","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12123","CO_57582","CO_33696",0.309,0.512,0.179,0.435,56694,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33696","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12138","CO_57582","CO_33697",0.261,0.624,0.115,0.427,50257,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33697","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12139","CO_57582","CO_33697",0.261,0.624,0.115,0.427,50257,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33697","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12146","CO_57582","CO_33699",0.329,0.504,0.167,0.419,51963,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33699","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12147","CO_57582","CO_33699",0.329,0.504,0.167,0.419,51963,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33699","CHR","kid","CHR-148",148,2,"CHR_148_2"
"12653","CO_57744","CO_83428",0.272,0.611,0.117,0.423,62101,"2850-57744","CHR","dad","CHR-078",NA,NA,NA,"2811-83428","CHR","kid","CHR-078",78,1,"CHR_78_1"
"12656","CO_57744","CO_83430",0.283,0.591,0.126,0.421,59782,"2850-57744","CHR","dad","CHR-078",NA,NA,NA,"2811-83430","CHR","kid","CHR-078",78,1,"CHR_78_1"
"13054","CO_57580","CO_34002",0.776,0.165,0.06,0.142,61183,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2881-34002","CHR","kid","CHR-029",29,1,"CHR_29_1"
"13057","CO_57580","CO_34001",0.824,0.107,0.069,0.122,56783,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2881-34001","CHR","kid","CHR-029",29,1,"CHR_29_1"
"13107","CO_57580","CO_83074",0.82,0.082,0.097,0.139,50122,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83074","CHR","kid","CHR-093",93,1,"CHR_93_1"
"13111","CO_57580","CO_83077",0.809,0.129,0.062,0.127,54628,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83077","CHR","kid","CHR-093",93,1,"CHR_93_1"
"13114","CO_57580","CO_83118",0.321,0.499,0.18,0.429,50834,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83118","CHR","kid","CHR-080",80,1,"CHR_80_1"
"13115","CO_57580","CO_83076",0.796,0.161,0.042,0.123,62755,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83076","CHR","kid","CHR-093",93,1,"CHR_93_1"
"13117","CO_57580","CO_83075",0.741,0.182,0.077,0.168,56300,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83075","CHR","kid","CHR-093",93,1,"CHR_93_1"
"13125","CO_57580","CO_83120",0.283,0.58,0.138,0.428,55555,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83120","CHR","kid","CHR-080",80,1,"CHR_80_1"
"13139","CO_57580","CO_83078",0.804,0.15,0.046,0.121,56774,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2811-83078","CHR","kid","CHR-093",93,1,"CHR_93_1"
"13143","CO_57580","CO_34072",0.83,0.1,0.07,0.12,55613,"2850-57580","CHR","dad","CHR-080",NA,NA,NA,"2881-34072","CHR","kid","CHR-093",93,2,"CHR_93_2"
"14432","CO_97588","CO_34002",0.279,0.633,0.088,0.404,60082,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34002","CHR","kid","CHR-029",29,1,"CHR_29_1"
"14433","CO_97588","CO_34001",0.3,0.578,0.122,0.411,55835,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34001","CHR","kid","CHR-029",29,1,"CHR_29_1"
"14482","CO_97588","CO_83118",0.862,0.071,0.067,0.102,50042,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83118","CHR","kid","CHR-080",80,1,"CHR_80_1"
"14495","CO_97588","CO_83074",0.309,0.562,0.129,0.41,49279,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83074","CHR","kid","CHR-093",93,1,"CHR_93_1"
"14497","CO_97588","CO_83075",0.317,0.536,0.147,0.415,55406,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83075","CHR","kid","CHR-093",93,1,"CHR_93_1"
"14501","CO_97588","CO_83076",0.231,0.671,0.098,0.433,61727,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83076","CHR","kid","CHR-093",93,1,"CHR_93_1"
"14502","CO_97588","CO_34072",0.305,0.552,0.142,0.418,54621,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34072","CHR","kid","CHR-093",93,2,"CHR_93_2"
"14506","CO_97588","CO_34073",0.29,0.574,0.136,0.423,58993,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34073","CHR","kid","CHR-093",93,2,"CHR_93_2"
"14510","CO_97588","CO_83078",0.333,0.515,0.152,0.409,55993,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83078","CHR","kid","CHR-093",93,1,"CHR_93_1"
"14512","CO_97588","CO_83077",0.3,0.58,0.12,0.41,53721,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2811-83077","CHR","kid","CHR-093",93,1,"CHR_93_1"
"14956","CO_57589","CO_83119",0.277,0.61,0.114,0.419,56648,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2811-83119","CHR","kid","CHR-080",80,1,"CHR_80_1"
"14967","CO_57589","CO_33681",0.257,0.639,0.105,0.424,61261,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-33681","CHR","kid","CHR-097",19,2,"CHR_19_2"
"14968","CO_57589","CO_33682",0.307,0.543,0.15,0.422,52251,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-33682","CHR","kid","CHR-097",19,2,"CHR_19_2"
"14970","CO_57589","CO_34018",0.263,0.616,0.121,0.429,62595,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-34018","CHR","kid","CHR-097",97,1,"CHR_97_1"
"14972","CO_57589","CO_T003",0.329,0.539,0.132,0.402,53820,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"T003","CHR","kid","CHR-097",19,2,"CHR_19_2"
"14976","CO_57589","CO_34017",0.259,0.625,0.116,0.428,59364,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-34017","CHR","kid","CHR-097",97,1,"CHR_97_1"
"14978","CO_57589","CO_34019",0.282,0.588,0.13,0.424,56303,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-34019","CHR","kid","CHR-097",97,1,"CHR_97_1"
"14979","CO_57589","CO_34020",0.248,0.648,0.104,0.428,59094,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-34020","CHR","kid","CHR-097",97,1,"CHR_97_1"
"14980","CO_57589","CO_33683",0.269,0.617,0.115,0.423,53606,"2850-57589","CHR","dad","CHR-097",NA,NA,NA,"2881-33683","CHR","kid","CHR-097",19,2,"CHR_19_2"
"15430","CO_57578","CO_83441",0.288,0.593,0.119,0.415,56272,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83441","CHR","kid","CHR-099",99,2,"CHR_99_2"
"15433","CO_57578","CO_83306",0.337,0.502,0.161,0.412,55989,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83306","CHR","kid","CHR-099",99,1,"CHR_99_1"
"15436","CO_57578","CO_83439",0.278,0.607,0.116,0.419,62281,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83439","CHR","kid","CHR-099",99,2,"CHR_99_2"
"15438","CO_57578","CO_83308",0.292,0.59,0.119,0.414,61540,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83308","CHR","kid","CHR-099",99,1,"CHR_99_1"
"15442","CO_57578","CO_83307",0.277,0.599,0.124,0.423,61067,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83307","CHR","kid","CHR-099",99,1,"CHR_99_1"
"15444","CO_57578","CO_83309",0.28,0.609,0.111,0.415,62601,"2850-57578","CHR","dad","CHR-099",NA,NA,NA,"2811-83309","CHR","kid","CHR-099",99,1,"CHR_99_1"
"15860","CO_97589","CO_83431",0.326,0.536,0.138,0.406,61842,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83431","CHR","kid","CHR-078",78,1,"CHR_78_1"
"15864","CO_97589","CO_83429",0.311,0.578,0.111,0.4,61974,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83429","CHR","kid","CHR-078",78,1,"CHR_78_1"
"15870","CO_97589","CO_83321",0.302,0.595,0.103,0.401,61902,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83321","CHR","kid","CHR-096",96,2,"CHR_96_2"
"15871","CO_97589","CO_83427",0.306,0.574,0.119,0.406,59777,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83427","CHR","kid","CHR-078",78,1,"CHR_78_1"
"15893","CO_97589","CO_83081",0.274,0.64,0.086,0.406,62997,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83081","CHR","kid","CHR-102",102,1,"CHR_102_1"
"15895","CO_97589","CO_34077",0.322,0.529,0.149,0.413,58827,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2881-34077","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"15896","CO_97589","CO_34078",0.314,0.563,0.122,0.404,64266,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2881-34078","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"15898","CO_97589","CO_83440",0.301,0.591,0.109,0.404,64209,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83440","CHR","kid","CHR-099",99,2,"CHR_99_2"
"15902","CO_97589","CO_83083",0.302,0.573,0.125,0.411,58529,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83083","CHR","kid","CHR-102",102,1,"CHR_102_1"
"15903","CO_97589","CO_34075",0.327,0.542,0.132,0.403,60192,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2881-34075","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"15906","CO_97589","CO_34076",0.29,0.606,0.104,0.407,63857,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2881-34076","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"15908","CO_97589","CO_83442",0.285,0.606,0.109,0.412,64594,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83442","CHR","kid","CHR-099",99,2,"CHR_99_2"
"15917","CO_97589","CO_83082",0.316,0.538,0.146,0.415,55823,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83082","CHR","kid","CHR-102",102,1,"CHR_102_1"
"16350","CO_57742","CO_83231",0.32,0.54,0.139,0.41,58462,"2850-57742","CHR","dad","CHR-110",NA,NA,NA,"2811-83231","CHR","kid","CHR-110",110,1,"CHR_110_1"
"16352","CO_57742","CO_83230",0.265,0.634,0.101,0.418,58306,"2850-57742","CHR","dad","CHR-110",NA,NA,NA,"2811-83230","CHR","kid","CHR-110",110,1,"CHR_110_1"
"16359","CO_57742","CO_83229",0.289,0.565,0.146,0.428,52424,"2850-57742","CHR","dad","CHR-110",NA,NA,NA,"2811-83229","CHR","kid","CHR-110",110,1,"CHR_110_1"
"16369","CO_57742","CO_34093",0.302,0.552,0.146,0.422,53895,"2850-57742","CHR","dad","CHR-110",NA,NA,NA,"2881-34093","CHR","kid","CHR-110",52,2,"CHR_52_2"
"16391","CO_57742","CO_83228",0.333,0.516,0.152,0.409,49979,"2850-57742","CHR","dad","CHR-110",NA,NA,NA,"2811-83228","CHR","kid","CHR-110",110,1,"CHR_110_1"
"16820","CO_57647","CO_83415",0.278,0.614,0.108,0.415,58950,"2850-57647","CHR","dad","CHR-112",NA,NA,NA,"2811-83415","CHR","kid","CHR-112",112,1,"CHR_112_1"
"16836","CO_57647","CO_83414",0.37,0.424,0.206,0.418,49159,"2850-57647","CHR","dad","CHR-112",NA,NA,NA,"2811-83414","CHR","kid","CHR-112",112,1,"CHR_112_1"
"17210","CO_57577","CO_34029",0.247,0.66,0.094,0.424,67005,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2881-34029","CHR","kid","CHR-073",73,1,"CHR_73_1"
"17274","CO_57577","CO_83319",0.271,0.622,0.107,0.418,58703,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2811-83319","CHR","kid","CHR-128",128,1,"CHR_128_1"
"17283","CO_57577","CO_83465",0.242,0.648,0.11,0.434,66961,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2811-83465","CHR","kid","CHR-128",150,2,"CHR_150_2"
"17284","CO_57577","CO_83318",0.315,0.546,0.139,0.412,57681,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2811-83318","CHR","kid","CHR-128",128,1,"CHR_128_1"
"17290","CO_57577","CO_83317",0.284,0.611,0.105,0.41,67258,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2811-83317","CHR","kid","CHR-128",128,1,"CHR_128_1"
"17298","CO_57577","CO_83316",0.323,0.531,0.146,0.411,53343,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2811-83316","CHR","kid","CHR-128",128,1,"CHR_128_1"
"17698","CO_57570","CO_83322",0.329,0.536,0.134,0.402,57330,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83322","CHR","kid","CHR-096",96,2,"CHR_96_2"
"17718","CO_57570","CO_83320",0.352,0.497,0.152,0.4,51636,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83320","CHR","kid","CHR-096",96,2,"CHR_96_2"
"17739","CO_57570","CO_83468",0.32,0.538,0.142,0.411,56028,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83468","CHR","kid","CHR-133",151,2,"CHR_151_2"
"17754","CO_57570","CO_83466",0.385,0.423,0.191,0.403,52312,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83466","CHR","kid","CHR-133",151,2,"CHR_151_2"
"18090","CO_57880","CO_34023",0.308,0.54,0.152,0.422,54097,"2850-57880","CHR","dad","CHR-139",NA,NA,NA,"2881-34023","CHR","kid","CHR-058",58,1,"CHR_58_1"
"19108","CO_57633","CO_83240",0.321,0.526,0.153,0.416,56237,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA,"2811-83240","Cooks","kid","Cooks-02",2,1,"Cook's_2_1"
"19113","CO_57633","CO_34057",0.319,0.53,0.151,0.416,58222,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA,"2881-34057","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"19126","CO_57633","CO_34055",0.322,0.544,0.134,0.406,60236,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA,"2881-34055","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"19548","CO_57574","CO_34026",0.334,0.511,0.155,0.41,52620,"2850-57574","Cooks","dad","Cooks-04",NA,NA,NA,"2881-34026","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"19552","CO_57574","CO_34027",0.269,0.609,0.121,0.426,56270,"2850-57574","Cooks","dad","Cooks-04",NA,NA,NA,"2881-34027","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"19584","CO_57574","CO_34087",0.764,0.137,0.099,0.167,53409,"2850-57574","Cooks","dad","Cooks-04",NA,NA,NA,"2881-34087","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
"19596","CO_57574","CO_34085",0.779,0.131,0.09,0.155,54366,"2850-57574","Cooks","dad","Cooks-04",NA,NA,NA,"2881-34085","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
"20896","CO_57675","CO_34063",0.291,0.582,0.127,0.418,62638,"2850-57675","Cooks","dad","Cooks-13",NA,NA,NA,"2881-34063","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"20900","CO_57675","CO_34062",0.307,0.55,0.142,0.418,56873,"2850-57675","Cooks","dad","Cooks-13",NA,NA,NA,"2881-34062","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"20901","CO_57675","CO_34061",0.251,0.64,0.109,0.429,59902,"2850-57675","Cooks","dad","Cooks-13",NA,NA,NA,"2881-34061","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"20902","CO_57675","CO_34060",0.244,0.662,0.094,0.425,61434,"2850-57675","Cooks","dad","Cooks-13",NA,NA,NA,"2881-34060","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"21348","CO_57673","CO_34036",0.282,0.586,0.132,0.425,58328,"2850-57673","Cooks","dad","Cooks-17",NA,NA,NA,"2881-34036","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"21353","CO_57673","CO_34035",0.306,0.567,0.128,0.411,60882,"2850-57673","Cooks","dad","Cooks-17",NA,NA,NA,"2881-34035","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"21362","CO_57673","CO_83131",0.306,0.52,0.174,0.434,57469,"2850-57673","Cooks","dad","Cooks-17",NA,NA,NA,"2811-83131","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"21777","CO_57676","CO_83132",0.282,0.616,0.102,0.41,57888,"2850-57676","Cooks","dad","Cooks-27",NA,NA,NA,"2811-83132","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"21787","CO_57676","CO_83130",0.224,0.689,0.086,0.431,61115,"2850-57676","Cooks","dad","Cooks-27",NA,NA,NA,"2811-83130","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"22236","CO_57638","CO_34056",0.334,0.5,0.166,0.416,55758,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2881-34056","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"22237","CO_57638","CO_83069",0.352,0.539,0.109,0.378,53109,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2811-83069","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"22241","CO_57638","CO_83070",0.351,0.494,0.155,0.402,51296,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2811-83070","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"22242","CO_57638","CO_34058",0.293,0.568,0.14,0.424,56721,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2881-34058","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"22243","CO_57638","CO_34059",0.306,0.586,0.108,0.401,61839,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2881-34059","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"22249","CO_57638","CO_83071",0.32,0.549,0.131,0.405,55290,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA,"2811-83071","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"22647","CO_57573","CO_34005",0.626,0.254,0.12,0.247,59825,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-34005","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"22659","CO_57573","CO_34007",0.713,0.197,0.09,0.188,61724,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-34007","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"22665","CO_57573","CO_34008",0.664,0.269,0.067,0.202,64141,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-34008","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"22666","CO_57573","CO_34006",0.692,0.213,0.096,0.202,57680,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-34006","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"22671","CO_57573","CO_34009",0.645,0.252,0.103,0.229,58644,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-34009","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"22681","CO_57573","CO_33659",0.299,0.582,0.119,0.41,60097,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33659","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"22682","CO_57573","CO_83261",0.355,0.478,0.167,0.406,57806,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2811-83261","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"22687","CO_57573","CO_33658",0.308,0.563,0.129,0.41,64463,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33658","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"22690","CO_57573","CO_83260",0.358,0.491,0.152,0.397,56443,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2811-83260","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"22691","CO_57573","CO_33660",0.314,0.558,0.128,0.407,57670,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33660","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"22692","CO_57573","CO_83258",0.329,0.512,0.159,0.415,56253,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2811-83258","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"22702","CO_57573","CO_33661",0.353,0.488,0.159,0.403,57575,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33661","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"23122","CO_64915","CO_33620",0.344,0.507,0.149,0.403,52406,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33620","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"23123","CO_64915","CO_33618",0.27,0.629,0.101,0.416,55041,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33618","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"23135","CO_64915","CO_33619",0.325,0.549,0.126,0.401,54828,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33619","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"23152","CO_64915","CO_33621",0.338,0.48,0.182,0.422,50134,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33621","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"23571","CO_57643","CO_83281",0.316,0.544,0.141,0.412,59690,"2850-57643","Dome House","dad","DomeHouse-01",NA,NA,NA,"2811-83281","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"23573","CO_57643","CO_83282",0.367,0.452,0.181,0.407,49937,"2850-57643","Dome House","dad","DomeHouse-01",NA,NA,NA,"2811-83282","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"23660","CO_57643","CO_83098",0.333,0.528,0.139,0.403,56899,"2850-57643","Dome House","dad","DomeHouse-01",NA,NA,NA,"2811-83098","Urban Farm Girlz","kid","UrbanFarm-02",2,1,"Urban Farm_2_1"
"24224","CO_57751","CO_34013",0.27,0.615,0.115,0.422,54875,"2850-57751","Jay's","dad","Jays-01",NA,NA,NA,"2881-34013","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"24235","CO_57751","CO_34012",0.281,0.585,0.134,0.427,59096,"2850-57751","Jay's","dad","Jays-01",NA,NA,NA,"2881-34012","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"25293","CO_57662","CO_34027",0.819,0.128,0.053,0.117,62222,"2850-57662","Karen's","dad","Karens-01",NA,NA,NA,"2881-34027","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"25318","CO_57662","CO_34085",0.286,0.563,0.151,0.432,59888,"2850-57662","Karen's","dad","Karens-01",NA,NA,NA,"2881-34085","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
