"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"1660","CO_57565","CO_34041",0.304,0.567,0.129,0.412,57118,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-34041","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"1662","CO_57565","CO_34037",0.262,0.622,0.116,0.427,56999,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-34037","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"1667","CO_57565","CO_34039",0.252,0.66,0.088,0.418,59130,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-34039","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"2134","CO_57614","CO_83080",0.354,0.484,0.162,0.404,55126,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2811-83080","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"2147","CO_57614","CO_33609",0.295,0.578,0.128,0.416,60539,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2881-33609","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"2148","CO_57614","CO_33610",0.251,0.667,0.082,0.416,63506,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2881-33610","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"2151","CO_57614","CO_83079",0.31,0.566,0.124,0.407,59647,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2811-83079","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"2164","CO_57614","CO_33612",0.285,0.61,0.105,0.41,56131,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2881-33612","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"3117","CO_57686","CO_33637",0.261,0.645,0.094,0.417,67625,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33637","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"3122","CO_57686","CO_33640",0.25,0.656,0.094,0.422,65157,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33640","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"3124","CO_57686","CO_33638",0.242,0.67,0.088,0.423,62707,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33638","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"3125","CO_57686","CO_33639",0.253,0.644,0.103,0.425,61156,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33639","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"3126","CO_57686","CO_33641",0.247,0.665,0.087,0.42,66169,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33641","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"3369","CO_57686","CO_34052",0.824,0.094,0.082,0.129,60764,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-34052","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"3600","CO_57689","CO_34088",0.253,0.632,0.115,0.431,62216,"2850-57689","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-34088","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"3603","CO_57689","CO_34089",0.273,0.597,0.13,0.429,61218,"2850-57689","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-34089","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"4560","CO_57666","CO_83141",0.238,0.668,0.094,0.428,61125,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2811-83141","Cathy's","kid","Cathys-02",2,2,"Cathy's_2_2"
"4833","CO_57666","CO_33601",0.623,0.294,0.083,0.23,63318,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-33601","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"4835","CO_57666","CO_33686",0.583,0.338,0.079,0.248,63181,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-33686","Urban Farm Girlz","kid","UrbanFarm-08",8,2,"Urban Farm_8_2"
"4838","CO_57666","CO_34054",0.698,0.239,0.063,0.182,60712,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-34054","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"4839","CO_57666","CO_33602",0.597,0.349,0.054,0.229,67239,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-33602","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"4841","CO_57666","CO_34051",0.635,0.247,0.118,0.242,60869,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-34051","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"4861","CO_57666","CO_33603",0.553,0.385,0.063,0.255,67033,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA,"2881-33603","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"5064","CO_83208","CO_83438",0.257,0.619,0.123,0.433,59519,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83438","CHR","kid","CHR-004",4,2,"CHR_4_2"
