"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33619","CO_64915",0.325,0.549,0.126,0.401,54828,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33619","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33619","CO_57700",0.277,0.595,0.128,0.426,65372,"2850-57700","Cooks","mom","Cooks-33",NA,NA,NA,"2881-33619","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33620","CO_64915",0.344,0.507,0.149,0.403,52406,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33620","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33620","CO_57700",0.294,0.56,0.146,0.426,62618,"2850-57700","Cooks","mom","Cooks-33",NA,NA,NA,"2881-33620","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33621","CO_64915",0.338,0.48,0.182,0.422,50134,"2870-64915","Cooks","dad","Cooks-33",NA,NA,NA,"2881-33621","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33621","CO_57700",0.311,0.577,0.112,0.401,59800,"2850-57700","Cooks","mom","Cooks-33",NA,NA,NA,"2881-33621","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33622","CO_21085",0.345,0.529,0.127,0.391,55043,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33622","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33622","CO_97596",0.297,0.604,0.099,0.401,56105,"2640-97596","Make Believe","mom","MakeBelieve-73",NA,NA,NA,"2881-33622","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33623","CO_97596",0.304,0.573,0.124,0.41,56691,"2640-97596","Make Believe","mom","MakeBelieve-73",NA,NA,NA,"2881-33623","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33624","CO_97596",0.296,0.565,0.138,0.421,59154,"2640-97596","Make Believe","mom","MakeBelieve-73",NA,NA,NA,"2881-33624","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33625","CO_97596",0.255,0.642,0.103,0.424,59267,"2640-97596","Make Believe","mom","MakeBelieve-73",NA,NA,NA,"2881-33625","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33626","CO_21085",0.343,0.532,0.125,0.391,53776,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33626","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
