"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_83304","CO_57808",0.293,0.59,0.118,0.413,57105,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83304","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_83320","CO_57570",0.352,0.497,0.152,0.4,51636,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83320","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_83321","CO_97589",0.302,0.595,0.103,0.401,61902,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83321","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_83322","CO_57570",0.329,0.536,0.134,0.402,57330,"2850-57570","CHR","dad","CHR-133",NA,NA,NA,"2811-83322","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_83427","CO_97589",0.306,0.574,0.119,0.406,59777,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83427","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83429","CO_97589",0.311,0.578,0.111,0.4,61974,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83429","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83431","CO_97589",0.326,0.536,0.138,0.406,61842,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83431","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83432","CO_64907",0.324,0.521,0.155,0.415,53183,"2870-64907","CHR","dad","none",NA,NA,NA,"2811-83432","CHR","kid","CHR-133",133,1,"CHR_133_1"
"CO_83437","CO_57581",0.269,0.632,0.099,0.415,60882,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83437","CHR","kid","CHR-004",4,2,"CHR_4_2"
"CO_83440","CO_97589",0.301,0.591,0.109,0.404,64209,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83440","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83442","CO_97589",0.285,0.606,0.109,0.412,64594,"2640-97589","CHR","dad","CHR-102",NA,NA,NA,"2811-83442","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83445","CO_57646",0.316,0.543,0.141,0.412,58547,"2850-57646","CHR","dad","CHR-054",NA,NA,NA,"2811-83445","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"CO_T001","CO_57808",0.26,0.658,0.082,0.411,54041,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"T001","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_T010","CO_57808",0.28,0.607,0.113,0.417,53694,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"T010","CHR","kid","CHR-058",58,1,"CHR_58_1"
