"Ind2","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_33719","2881-33719","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_33721","2881-33721","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_33720","2881-33720","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_83167","2811-83167","Jays",1,"kid","Jays-01","1","Jays_1_1"
"CO_83168","2811-83168","Jays",1,"kid","Jays-01","1","Jays_1_1"
"CO_83170","2811-83170","Jays",1,"kid","Jays-01","1","Jays_1_1"
"CO_E110","E110","Cooks",2,"egg","Cooks-02","collected","Cooks_2_collected"
