"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_57871",0.985,0.013,0.002,0.008,61918,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57871","Blue Cloud",22,"mom","BlueCloud-22","","Blue Cloud_22_"
"CO_57572","CO_57869",0.989,0.011,0,0.006,63684,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57869","Blue Cloud",18,"mom","BlueCloud-18","","Blue Cloud_18_"
"CO_57572","CO_57928",0.989,0.007,0.004,0.007,60235,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57928","Blue Cloud",4,"mom","BlueCloud-04","","Blue Cloud_4_"
"CO_57572","CO_57877",0.991,0.008,0,0.004,60894,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57877","Make Believe",31,"dad","MakeBelieve-31","","Make Believe_31_"
"CO_57572","CO_57926",0.982,0.015,0.003,0.011,60949,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57926","Blue Cloud",NA,"dad","none","","Blue Cloud_NA_"
"CO_57572","CO_57932",0.992,0.007,0,0.004,61746,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57932","Cooks",18,"mom","Cooks-18","","Cooks_18_"
"CO_57572","CO_57930",0.989,0.011,0,0.005,57839,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57930","Blue Cloud",NA,"dad","none","","Blue Cloud_NA_"
"CO_57572","CO_57927",0.972,0.027,0.001,0.015,63463,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57927","Blue Cloud",NA,"dad","none","","Blue Cloud_NA_"
"CO_57572","CO_57933",0.988,0.009,0.003,0.007,58313,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57933","Cooks",18,"dad","Cooks-18","","Cooks_18_"
"CO_57572","CO_57935",0.988,0.011,0.002,0.007,61281,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57935","Boyer",14,"dad","Boyer-14","","Boyer_14_"
